PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTCATR5	ENDDINT
1	10/01/2017 09:11:30	1	05	0	1	2	3	1790	0	0	1	0	0	0	0	2	0	 	1	6	18	88	6	8	2	0	1	2	7	8	2	7	8	3	6	7	1	6	8	10	12	14	16	17	18	20	21	22	25	3	6	7	1	4	5	6	0	0	0	0	1	1	1	0	0	0	0	0	4	2	2	28/02/2017 10:23:40
2	18/03/2017 10:05:41	1	05	0	1	2	3	477	0	0	1	0	0	0	0	3	0	 	2	8	11	88	11	10	50	0	1	1	2	3	1	2	2	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	0	0	0	1	1	1	0	0	0	0	0	0	14	1	3	18/03/2017 13:48:54
3	10/01/2017 09:14:17	1	05	0	4	3	5	1196	0	1	1	0	0	0	0	3	3	2	1	18	16	88	18	12	10	0	1	1	3	4	1	4	6	5	2	3	5	3	2	11	12	13	14	15	16	17	18	19	20	4	5	1	0	1	3	8	0	0	0	0	0	1	0	0	0	0	0	0	3	2	2	30/01/2017 12:29:56
4	10/01/2017 09:21:29	1	05	0	3	4	1	950	0	1	1	0	0	0	0	2	3	2	2	8	18	16	8	30	5	0	1	1	3	8	5	2	7	7	1	8	8	6	5	11	13	14	17	18	20	22	25	28	32	6	7	10	1	2	4	3	0	0	0	1	1	1	0	0	0	0	0	0	2	2	2	12/01/2017 10:45:24
5	28/01/2017 19:16:18	1	05	0	1	2	3	1423	0	1	1	0	0	0	0	3	3	2	1	18	16	88	18	12	10	0	1	2	1	3	1	4	2	5	3	1	2	3	1	5	6	7	8	9	10	11	12	13	14	1	3	4	0	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0	2	2	2	30/01/2017 12:35:28
6	18/03/2017 15:13:26	1	05	0	1	2	3	1496	0	0	1	0	0	0	0	3	0	 	2	8	88	 	8	30	10	0	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	0	0	0	1	1	1	0	0	0	0	0	0	14	1	3	18/03/2017 18:28:41
7	09/03/2017 10:27:46	1	04	0	1	2	3	879	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	0	0	1	1	1	0	0	1	0	0	0	14	1	3	10/03/2017 08:01:40
8	10/03/2017 15:55:21	1	04	0	1	2	3	692	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	2	1	2	3	0	13	14	2	1	0	0	1	1	0	0	0	0	0	0	0	13	1	3	10/03/2017 16:35:38
9	13/03/2017 12:45:41	1	04	0	1	2	3	952	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	2	4	5	6	7	8	9	10	11	12	2	1	2	3	0	13	14	2	1	0	0	1	1	1	0	0	0	0	0	0	13	1	3	13/03/2017 14:31:20
10	13/03/2017 19:10:19	1	04	0	1	2	3	731	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	3	1	2	3	0	1	2	3	0	0	0	1	1	1	0	0	0	0	0	0	1	1	3	14/03/2017 10:55:48
11	14/03/2017 12:22:23	1	04	0	1	2	3	3183	0	0	1	0	0	0	0	3	2	2	0	 	 	 	 	 	 	 	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	0	0	1	1	1	1	0	1	1	0	0	14	1	3	17/03/2017 16:12:50
12	06/11/2016 08:42:07	1	06	0	1	3	4	950	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	0	2	4	5	3	4	5	3	6	9	3	5	1	11	12	14	17	18	20	21	24	26	27	9	5	7	0	7	3	6	0	0	0	0	1	1	0	0	0	0	0	0	7	2	2	28/02/2017 10:50:58
13	03/11/2016 14:20:06	1	06	0	1	2	3	572	1	1	0	0	0	0	0	2	0	 	2	1	88	 	1	320	0	0	1	1	2	4	1	2	4	1	2	4	1	2	4	10	11	12	13	14	15	16	17	18	19	1	2	4	0	1	3	6	1	1	0	1	1	1	1	1	0	0	0	0	5	1	1	04/11/2016 16:51:05
14	05/11/2016 14:21:39	1	006	0	2	6	8	1064	0	1	1	0	0	1	0	3	3	3	2	18	19	88	2	30	20	-77	1	1	4	6	4	2	1	4	3	2	1	3	5	16	17	18	19	20	21	22	23	24	25	5	4	3	1	5	7	9	0	0	0	0	0	0	1	1	0	0	0	0	5	1	1	07/11/2016 16:59:12
15	06/11/2016 09:39:14	1	06	0	3	7	9	1500	1	1	1	0	0	0	0	3	0	 	1	18	19	88	18	45	35	0	1	3	4	2	9	7	4	5	1	4	4	2	1	13	14	16	18	21	22	24	26	27	30	9	10	1	1	2	3	4	0	0	0	1	0	1	0	0	0	0	0	1	4	1	1	28/02/2017 11:29:12
16	05/11/2016 10:59:21	1	06	1	1	3	5	1160	1	1	1	0	0	0	0	2	0	 	2	2	88	 	2	55	35	0	1	4	5	2	3	2	1	4	2	5	1	3	5	7	8	14	12	13	17	18	19	23	24	2	3	4	1	5	1	4	0	0	0	0	1	1	0	0	0	0	0	0	5	1	1	08/11/2016 19:06:29
17	05/11/2016 11:34:19	1	06	0	1	2	3	1000	1	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	5	5	2	4	5	3	6	1	3	4	11	12	14	17	18	20	21	23	29	28	3	4	6	1	5	4	7	0	0	0	1	1	1	0	0	0	0	0	0	5	1	1	16/01/2017 08:39:40
18	12/09/2016 11:11:46	1	07	0	12	1	13	1450	1	0	1	1	1	0	0	3	0	 	2	8	16	88	8	4	6	0	1	2	8	6	8	12	15	2	5	6	2	8	4	16	18	20	22	24	26	28	30	34	36	3	4	6	1	18	9	16	1	0	0	0	1	1	0	0	1	1	1	0	1	1	1	15/09/2016 17:41:48
