PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
1	1	6	2014	10	10	88	2	0	 	 
2	1	6	2015	9	10	88	1	1	88	 
3	1	6	2014	10	10	12	2	2	88	 
3	2	6	2015	10	10	88	1	2	88	 
4	1	6	2014	10	10	14	2	1	88	 
4	2	6	2015	9	10	88	2	0	 	 
5	1	6	2014	10	10	12	2	2	88	 
5	2	6	2015	10	10	88	2	2	88	 
6	1	6	2015	9	10	88	1	1	0	 
13	1	2	2014	9	10	88	2	0	 	 
13	2	10	2014	9	14	88	3	1	88	 
14	1	6	2014	10	10	14	3	1	88	 
14	2	3	2015	8	10	14	2	1	88	 
15	1	6	2014	11	10	6	2	1	88	 
15	2	3	2015	7	10	14	2	1	88	 
16	1	6	2014	10	10	88	2	1	88	 
17	1	6	2014	10	10	8	2	0	 	 
17	2	3	2015	8	10	11	3	0	 	 
18	1	2	2014	10	10	8	3	2	88	 
18	2	6	2014	9	5	8	2	2	88	 
18	3	10	2015	11	14	88	2	0	 	 
19	1	2	2014	10	8	10	1	1	0	 
19	2	3	2015	9	10	11	1	1	0	 
20	1	6	2015	10	10	88	2	1	88	 
20	2	2	2014	10	10	88	2	1	2	88
21	1	2	2014	10	10	8	2	1	88	 
21	2	6	2015	12	10	88	2	1	88	 
21	3	2	2013	9	10	8	2	1	88	 
22	1	2	2015	10	10	8	3	1	88	 
22	2	2	2015	10	10	8	2	1	88	 
23	1	3	2015	11	10	88	2	1	88	 
23	2	2	2014	10	6	88	1	1	88	 
26	1	6	2014	10	13	88	1	0	 	 
26	2	6	2015	10	13	88	1	0	 	 
27	1	6	2015	9	10	88	1	0	 	 
28	1	6	2015	10	10	88	1	0	 	 
29	1	6	2015	9	10	88	-88	0	 	 
30	1	6	2015	10	10	88	1	1	88	 
31	1	6	2015	9	10	88	1	0	 	 
32	1	6	2015	9	10	88	2	0	 	 
35	1	3	2014	8	10	1	3	1	0	 
35	2	3	2015	8	10	1	3	1	0	 
35	3	3	2016	8	10	1	3	0	 	 
36	1	10	2015	10	10	11	2	0	 	 
36	2	3	2014	9	10	11	3	1	0	 
37	1	3	2015	9	10	1	3	0	 	 
38	1	3	2014	8	10	6	3	0	 	 
38	2	3	2015	9	10	6	3	0	 	 
38	3	3	2016	8	10	6	3	0	 	 
40	1	3	2014	8	10	1	3	1	88	 
40	2	3	2015	8	10	1	3	0	 	 
41	1	3	2014	8	10	11	3	1	88	 
41	2	3	2015	8	10	11	3	0	 	 
41	3	3	2016	8	10	11	3	0	 	 
42	1	3	2014	8	10	1	3	1	88	 
42	2	3	2015	8	10	1	3	1	88	 
42	3	3	2016	8	10	1	3	0	 	 
43	1	3	2014	8	10	11	3	1	0	 
43	2	3	2015	8	10	11	3	0	 	 
43	3	3	2016	8	10	11	3	0	 	 
44	1	3	2014	8	10	11	3	1	88	 
44	2	3	2015	8	10	11	3	1	0	 
44	3	3	2016	8	10	11	3	0	 	 
45	1	3	2014	8	10	11	3	1	0	 
45	2	3	2015	8	10	11	3	0	 	 
45	3	3	2016	8	10	11	3	0	 	 
46	1	3	2014	8	10	11	3	1	0	 
46	2	3	2015	8	10	11	3	1	0	 
46	3	3	2016	8	10	11	3	0	 	 
49	1	 	 	 	 	 	 	 	 	 
52	1	3	2015	8	10	5	2	0	 	 
53	1	3	2015	6	10	5	1	0	 	 
55	1	3	2013	5	10	5	3	0	 	 
56	1	3	2015	6	10	5	3	0	 	 
57	1	3	2014	9	10	88	2	0	 	 
57	2	6	2015	11	8	10	3	0	 	 
58	1	2	2015	9	8	10	4	0	 	 
61	1	3	2015	7	10	11	2	1	3	88
62	1	3	2015	8	10	88	4	1	88	 
63	1	3	2015	7	10	1	2	1	88	 
63	2	3	2014	8	10	11	2	1	88	 
64	1	3	2015	8	10	88	3	1	88	 
65	1	3	2015	8	10	11	3	1	3	88
66	1	3	2015	7	10	88	3	0	 	 
66	2	3	2014	8	10	88	-88	0	 	 
67	1	3	2015	8	10	3	2	0	 	 
68	1	3	2015	8	10	88	3	0	 	 
68	2	3	2014	8	10	88	3	1	88	 
68	3	3	2013	8	10	88	3	1	3	88
69	1	3	2015	8	10	88	3	1	3	88
70	1	3	2015	8	10	88	3	0	 	 
70	2	3	2014	8	10	88	3	0	 	 
71	1	3	2015	8	10	88	-88	0	 	 
71	2	3	2014	10	10	88	-88	0	 	 
71	3	3	2013	8	10	88	-88	0	 	 
72	1	3	2015	10	10	88	3	0	 	 
72	2	3	2014	10	10	11	3	0	 	 
73	1	3	2016	6	10	88	3	0	 	 
73	2	3	2015	8	10	88	3	0	 	 
73	3	3	2014	8	10	88	3	0	 	 
74	1	3	2015	10	10	88	3	0	 	 
74	2	3	2014	8	10	88	3	0	 	 
74	3	3	2013	8	10	88	3	0	 	 
75	1	3	2013	10	10	88	3	0	 	 
75	2	3	2014	8	10	88	3	0	 	 
75	3	3	2015	10	10	88	3	0	 	 
76	1	3	2015	7	10	88	2	0	 	 
76	2	6	2016	9	5	88	2	0	 	 
77	1	3	2014	8	10	88	2	0	 	 
77	2	3	2015	8	10	88	2	0	 	 
77	3	6	2016	9	10	88	2	0	 	 
78	1	3	2015	8	10	88	3	0	 	 
78	2	6	2016	9	10	88	2	0	 	 
79	1	3	2014	8	10	88	3	0	 	 
79	2	3	2015	8	10	3	3	0	 	 
