CHILDCODE	ACTIDR5	ACTR5	ACTMTHR5	ACTDYMTR5	ACTWEKR5	ACTDAYHR5	ACTHRSR5	PYMRECR5	ERNCSHR5	HWPAIDR5	PDPCPRR5	ERNKNDR5	HWKINDR5	PDPCKNR5	PRFACTR5	MTHPRFR5	ACTOWNR5
11001	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11001	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11002	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11003	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	1	13	12	25	 	 	12	3	6000	4	 	 	 	 	1	12	1
11004	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11004	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	1	12	2	26	 	 	10	1	200	2	 	 	 	 	1	10	3
11006	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11006	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11008	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11009	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11011	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	1	10	12	20	 	 	8	0	 	 	 	 	 	 	1	12	6
11012	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11012	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	1	13	12	26	 	 	9	1	9000	4	 	 	 	 	1	12	3
11013	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	1	10	12	26	 	 	4	1	450	2	 	 	 	 	1	12	6
11014	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	1	19	12	15	 	 	5	1	2000	4	 	 	 	 	1	12	2
11015	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	1	1	6	20	 	 	4	0	 	 	 	 	 	 	1	6	2
11018	2	12	6	25	 	 	8	1	150	2	 	 	 	 	0	 	3
11018	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	1	10	12	30	 	 	14	1	5000	4	 	 	 	 	1	12	2
11019	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	1	13	8	26	 	 	8	1	2000	4	 	 	 	 	1	12	1
11021	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	1	13	12	26	 	 	8	1	9000	4	 	 	 	 	1	12	1
11022	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11023	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11023	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11023	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	1	13	10	25	 	 	8	1	8000	4	 	 	 	 	1	10	3
11025	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	1	13	12	26	 	 	12	1	6000	4	 	 	 	 	1	12	1
11031	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	1	13	12	27	 	 	8	1	12000	4	 	 	 	 	1	12	1
11032	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	1	13	12	22	 	 	9	1	10900	4	 	 	 	 	1	12	1
11035	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	1	13	12	24	 	 	9	1	23000	4	 	 	 	 	1	12	1
11036	2	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	3	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
