CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
11001	1	1	1	1	1
11001	2	7	2	2	2
11001	3	5	5	3	3
11002	1	1	1	1	1
11002	2	7	4	3	3
11003	1	1	1	1	1
11003	2	7	3	3	3
11004	1	1	1	1	1
11004	2	7	5	4	3
11005	1	1	1	1	1
11005	2	7	1	1	1
11005	3	5	2	2	2
11006	1	1	1	1	1
11006	2	7	5	4	3
11007	1	1	1	1	1
11007	2	7	3	2	2
11008	1	1	1	1	1
11008	2	7	4	2	2
11009	1	1	2	5	5
11010	1	1	1	1	1
11010	2	7	2	1	1
11010	3	5	3	2	2
11011	1	1	1	1	1
11011	2	7	4	2	1
11012	1	1	1	1	1
11012	2	7	4	2	2
11013	1	1	1	1	2
11013	2	7	1	1	1
11014	1	1	1	1	1
11014	2	7	3	3	3
11015	1	1	1	1	1
11015	2	5	5	3	3
11015	3	7	5	3	3
11016	1	1	1	1	1
11016	2	7	2	1	1
11018	1	1	2	2	2
11018	2	7	4	4	3
11019	1	1	1	1	1
11019	2	7	3	3	2
11021	1	1	1	1	1
11021	2	7	4	2	2
11022	1	1	2	2	2
11022	2	7	2	2	2
11022	3	5	3	2	3
11023	1	1	1	1	1
11023	2	7	3	1	1
11023	3	5	5	4	5
11024	1	1	1	1	1
11024	2	7	5	3	4
11025	1	1	1	2	2
11025	2	7	3	3	3
11026	1	1	1	1	1
11026	2	7	2	1	1
11026	3	5	3	2	2
11030	1	1	2	2	2
11030	2	5	2	2	2
11030	3	7	2	2	2
11030	4	6	2	5	5
11031	1	1	2	4	4
11032	1	1	1	1	1
11032	2	7	1	1	1
11032	3	5	1	1	1
11034	1	1	1	2	2
11034	2	7	2	2	2
11034	3	5	3	4	4
11035	1	1	1	1	2
11035	2	7	1	1	1
11035	3	5	1	1	1
11036	1	1	2	2	2
11036	2	7	2	2	2
11036	3	5	2	3	3
11036	4	3	4	5	5
11037	1	1	1	1	1
11037	2	7	5	2	2
11038	1	1	1	1	1
11039	1	1	1	1	1
11039	2	7	4	1	1
11040	1	1	1	1	1
11040	2	7	1	1	1
11040	3	5	4	2	2
11041	1	1	1	1	1
11041	2	7	1	1	1
11041	3	5	1	1	1
11042	1	1	1	1	1
11042	2	7	5	4	3
11043	1	7	1	1	1
11043	2	1	1	1	2
11044	1	1	1	1	1
11045	1	1	1	1	1
11045	2	5	3	5	5
11045	3	4	1	5	5
11045	4	7	5	3	3
11046	1	1	1	1	1
11046	2	7	4	2	2
11047	1	1	2	3	3
11047	2	7	3	3	3
11048	1	7	4	3	3
11048	2	1	1	1	1
11049	1	1	1	1	1
11049	2	7	3	1	1
11049	3	5	4	3	2
11050	1	1	1	1	1
11050	2	7	4	3	3
21001	1	1	1	2	2
21001	2	6	1	88	88
21002	1	1	2	2	2
21002	2	6	1	88	88
21003	1	1	1	5	5
21003	2	6	1	88	88
21004	1	1	1	2	2
21004	2	7	4	4	4
21005	1	1	1	1	1
21006	1	1	1	2	2
21006	2	7	5	3	4
21007	1	1	1	1	1
21007	2	7	5	4	2
21007	3	6	1	88	88
21008	1	1	1	1	1
21008	2	7	3	2	2
21008	3	5	5	3	3
21009	1	1	1	1	2
21009	2	7	5	4	3
21010	1	1	2	2	2
21010	2	7	4	3	3
21010	3	6	1	5	5
21011	1	1	1	1	1
21011	2	7	4	1	1
21011	3	5	5	3	3
21012	1	1	1	1	2
21013	1	1	1	1	1
21013	2	7	5	3	3
21014	1	1	1	2	3
21015	1	1	1	2	2
21015	2	7	3	3	3
21015	3	6	1	88	88
21016	1	1	2	5	5
21016	2	6	1	88	88
21017	1	1	2	5	5
21017	2	6	2	88	88
21018	1	1	1	1	1
21018	2	7	5	2	2
21018	3	6	1	88	88
21019	1	1	1	2	2
21019	2	7	5	3	3
21020	1	1	1	1	1
21020	2	7	5	3	3
21021	1	1	2	3	2
21021	2	7	4	3	3
21021	3	5	5	4	4
21022	1	1	1	1	1
21022	2	7	5	4	4
21023	1	1	1	1	2
21023	2	7	4	2	3
21024	1	1	1	1	1
21024	2	7	4	3	3
21025	1	1	2	2	2
21025	2	7	4	4	4
21026	1	1	1	1	2
21026	2	7	3	3	3
21026	3	6	1	88	88
21027	1	1	1	1	1
21027	2	7	3	3	3
21028	1	1	1	1	1
21028	2	5	2	1	1
21028	3	7	3	1	1
21029	1	1	1	1	1
21029	2	7	5	3	3
21029	3	5	5	3	5
21030	1	1	1	1	2
21030	2	6	1	88	88
21031	1	1	1	2	2
21032	1	1	2	5	5
21033	1	1	1	3	4
21033	2	6	1	88	88
21034	1	1	1	5	5
21035	1	1	2	5	5
21036	1	1	1	1	2
