CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVNONHR5	MVSPRLR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
11004	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11005	1	2016	1	4	7	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	4
11006	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11007	1	2017	1	3	3	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	4
11007	2	2016	12	3	3	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	4
11007	3	2015	12	3	3	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	4
11007	4	2014	10	3	3	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	4
11009	1	2015	10	2	1	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	3
11009	2	2016	10	2	1	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	3
11013	1	2015	1	3	2	Y	 	 	 	 	 	 	 	 	 	 	14	88	1	4
11015	1	2016	2	1	1	N	N	N	N	Y	N	N	N	N	N	N	23	88	1	4
11015	2	2015	1	1	1	N	Y	N	N	Y	N	N	N	N	N	N	23	88	1	4
11022	1	2015	15	5	8	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
11024	1	2015	1	3	1	N	N	N	N	Y	N	N	N	N	N	N	22	88	1	4
11025	1	2015	0	4	6	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
11027	1	2015	1	5	6	N	N	N	N	Y	N	N	N	N	N	N	12	88	0	 
11032	1	2016	9	5	6	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
11035	1	2015	16	4	6	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
11036	1	2015	5	4	4	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
11036	2	2016	10	5	4	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
11037	1	2016	3	4	6	Y	 	 	 	 	 	 	 	 	 	 	6	88	1	4
11037	2	2015	3	4	6	Y	 	 	 	 	 	 	 	 	 	 	6	88	1	4
11038	1	2016	5	1	1	N	Y	Y	N	N	N	N	N	N	N	N	25	88	1	1
11040	1	2016	3	4	6	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
11041	1	2015	1	4	6	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
11045	1	2014	1	2	3	Y	 	 	 	 	 	 	 	 	 	 	28	88	1	5
11046	1	2017	1	3	4	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
11046	2	2016	12	3	4	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
11046	3	2015	9	3	4	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
11049	1	2015	6	3	2	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	3
11049	2	2016	3	2	1	Y	 	 	 	 	 	 	 	 	 	 	12	88	1	5
21002	1	2015	12	2	2	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21005	1	2014	1	1	1	N	N	N	Y	N	N	N	N	N	N	N	5	88	1	4
21010	1	2015	1	1	1	N	N	N	N	Y	N	N	N	N	N	N	1	88	1	5
21011	1	2016	2	2	3	N	N	N	Y	N	N	N	N	N	N	N	24	88	1	4
21012	1	2016	2	3	1	N	N	N	N	Y	N	N	N	N	N	N	12	88	1	4
21012	2	2015	1	2	2	N	Y	Y	N	N	N	N	N	N	N	N	9	88	0	 
21013	1	2016	2	2	1	N	N	Y	N	N	N	N	N	N	N	N	9	25	1	1
21013	2	2014	1	2	1	N	N	N	Y	N	N	N	N	N	N	N	24	88	1	1
21013	3	2013	2	1	1	N	N	N	N	Y	N	N	N	N	N	N	24	88	1	1
21014	1	2016	1	2	1	N	N	N	N	Y	N	N	N	N	N	N	1	88	1	4
21014	2	2015	3	2	1	N	N	N	N	Y	N	N	N	N	N	N	1	88	1	6
21019	1	2014	12	3	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21019	2	2015	12	3	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21019	3	2016	10	3	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21022	1	2016	1	2	1	N	Y	Y	N	N	N	N	N	N	N	N	22	88	1	4
