CHILDCODE	SCHCSTIDR5	FEESR5
11001	1	-77
11001	2	-77
11001	3	-77
11001	4	-77
11002	1	 
11002	2	 
11002	3	 
11002	4	 
11003	1	-77
11003	2	-77
11003	3	-77
11003	4	-77
11004	1	 
11004	2	 
11004	3	 
11004	4	 
11005	1	-77
11005	2	-77
11005	3	-77
11005	4	-77
11006	1	 
11006	2	 
11006	3	 
11006	4	 
11007	1	-77
11007	2	-77
11007	3	-77
11007	4	-77
11008	1	-77
11008	2	-77
11008	3	-77
11008	4	-77
11009	1	 
11009	2	 
11009	3	 
11009	4	 
11010	1	1600
11010	2	2000
11010	3	0
11010	4	0
11011	1	-77
11011	2	-77
11011	3	-77
11011	4	-77
11012	1	10000
11012	2	0
11012	3	0
11012	4	0
11013	1	 
11013	2	 
11013	3	 
11013	4	 
11014	1	 
11014	2	 
11014	3	 
11014	4	 
11015	1	 
11015	2	 
11015	3	 
11015	4	 
11016	1	0
11016	2	1150
11016	3	0
11016	4	0
11018	1	-77
11018	2	-77
11018	3	-77
11018	4	-77
11019	1	-77
11019	2	-77
11019	3	-77
11019	4	-77
11021	1	 
11021	2	 
11021	3	 
11021	4	 
11022	1	-77
11022	2	-77
11022	3	-77
11022	4	-77
11023	1	4500
11023	2	500
11023	3	0
11023	4	0
11024	1	 
11024	2	 
11024	3	 
11024	4	 
11025	1	-77
11025	2	-77
11025	3	-77
11025	4	-77
11026	1	0
11026	2	1100
11026	3	0
11026	4	0
11027	1	40000
11027	2	1500
11027	3	700
11027	4	0
11030	1	11000
11030	2	4800
11030	3	5000
11030	4	0
11031	1	 
11031	2	 
11031	3	 
11031	4	 
11032	1	-77
11032	2	-77
11032	3	-77
11032	4	-77
11034	1	-77
11034	2	-77
11034	3	-77
11034	4	-77
11035	1	82000
11035	2	5200
11035	3	0
11035	4	0
11036	1	34000
11036	2	0
11036	3	0
11036	4	0
11037	1	-77
11037	2	-77
11037	3	-77
11037	4	-77
11038	1	 
11038	2	 
11038	3	 
11038	4	 
11039	1	-77
11039	2	-77
11039	3	-77
11039	4	-77
11040	1	-77
11040	2	-77
11040	3	-77
11040	4	-77
11041	1	-77
11041	2	-77
11041	3	-77
11041	4	-77
11042	1	1500
11042	2	250
11042	3	0
11042	4	0
11043	1	125000
11043	2	18220
11043	3	0
11043	4	0
11044	1	 
11044	2	 
11044	3	 
11044	4	 
11045	1	 
11045	2	 
11045	3	 
11045	4	 
11046	1	-77
11046	2	-77
11046	3	-77
11046	4	-77
11047	1	2000
11047	2	5000
11047	3	0
11047	4	0
11048	1	 
11048	2	 
11048	3	 
11048	4	 
11049	1	10000
11049	2	5000
11049	3	0
11049	4	0
11050	1	 
11050	2	 
11050	3	 
11050	4	 
21001	1	 
21001	2	 
21001	3	 
21001	4	 
21002	1	 
21002	2	 
21002	3	 
21002	4	 
21003	1	 
21003	2	 
21003	3	 
21003	4	 
21004	1	 
21004	2	 
21004	3	 
21004	4	 
21005	1	-77
21005	2	-77
21005	3	-77
21005	4	-77
21006	1	-77
21006	2	-77
21006	3	-77
21006	4	-77
21007	1	2000
21007	2	3000
21007	3	0
21007	4	0
21008	1	-77
21008	2	-77
21008	3	-77
21008	4	-77
21009	1	180
21009	2	250
21009	3	0
21009	4	0
21010	1	2000
21010	2	300
21010	3	0
21010	4	0
21011	1	51000
21011	2	600
21011	3	0
21011	4	0
21012	1	 
21012	2	 
21012	3	 
21012	4	 
21013	1	 
21013	2	 
21013	3	 
21013	4	 
21014	1	 
21014	2	 
21014	3	 
21014	4	 
21015	1	 
21015	2	 
21015	3	 
21015	4	 
21016	1	 
21016	2	 
21016	3	 
21016	4	 
21017	1	 
21017	2	 
21017	3	 
21017	4	 
21018	1	750
21018	2	7250
21018	3	0
21018	4	0
21019	1	10000
21019	2	3000
21019	3	0
21019	4	0
21020	1	 
21020	2	 
21020	3	 
21020	4	 
21021	1	3000
21021	2	1000
21021	3	0
21021	4	0
21022	1	 
21022	2	 
21022	3	 
21022	4	 
21023	1	5000
21023	2	0
21023	3	0
21023	4	0
21024	1	-77
21024	2	-77
21024	3	-77
21024	4	-77
21025	1	-77
21025	2	-77
21025	3	-77
21025	4	-77
21026	1	-77
21026	2	-77
21026	3	-77
21026	4	-77
21027	1	-77
21027	2	-77
21027	3	-77
21027	4	-77
21028	1	50000
21028	2	2000
21028	3	0
21028	4	0
21029	1	-77
21029	2	-77
21029	3	-77
21029	4	-77
21030	1	0
21030	2	0
21030	3	0
21030	4	0
21031	1	 
21031	2	 
21031	3	 
21031	4	 
21032	1	 
21032	2	 
21032	3	 
21032	4	 
21033	1	 
21033	2	 
21033	3	 
21033	4	 
21034	1	 
21034	2	 
21034	3	 
21034	4	 
21035	1	 
21035	2	 
21035	3	 
21035	4	 
21036	1	 
21036	2	 
21036	3	 
21036	4	 
21037	1	 
21037	2	 
21037	3	 
21037	4	 
21038	1	 
21038	2	 
21038	3	 
21038	4	 
21039	1	0
21039	2	5000
21039	3	5000
21039	4	500
21040	1	-77
21040	2	-77
21040	3	-77
21040	4	-77
21042	1	 
21042	2	 
21042	3	 
21042	4	 
21043	1	-77
21043	2	-77
21043	3	-77
21043	4	-77
21044	1	 
21044	2	 
21044	3	 
21044	4	 
21045	1	 
21045	2	 
21045	3	 
21045	4	 
21046	1	 
21046	2	 
21046	3	 
21046	4	 
21047	1	-77
21047	2	-77
21047	3	-77
21047	4	-77
21048	1	 
21048	2	 
21048	3	 
21048	4	 
21049	1	-77
21049	2	-77
21049	3	-77
21049	4	-77
21050	1	0
21050	2	3000
21050	3	1000
21050	4	0
31002	1	1500
31002	2	6500
31002	3	45000
31002	4	0
31005	1	5000
31005	2	1500
31005	3	0
31005	4	0
31006	1	 
31006	2	 
31006	3	 
31006	4	 
31007	1	80000
31007	2	8000
31007	3	55000
31007	4	0
31009	1	3000
31009	2	3000
31009	3	0
31009	4	0
31010	1	800
31010	2	870
31010	3	0
31010	4	0
31011	1	3000
31011	2	500
31011	3	0
31011	4	0
31012	1	1500
31012	2	2500
31012	3	6000
31012	4	0
31013	1	7000
31013	2	8000
31013	3	0
31013	4	0
31014	1	 
31014	2	 
31014	3	 
31014	4	 
31015	1	 
31015	2	 
31015	3	 
31015	4	 
31016	1	 
31016	2	 
31016	3	 
31016	4	 
31018	1	6000
31018	2	2500
31018	3	35000
31018	4	0
31019	1	-77
31019	2	-77
31019	3	-77
31019	4	-77
31020	1	110000
31020	2	15000
31020	3	30000
31020	4	0
31022	1	1000
31022	2	1875
31022	3	8000
31022	4	0
31023	1	0
31023	2	1600
31023	3	30000
31023	4	0
31024	1	500
31024	2	800
31024	3	0
31024	4	0
31025	1	-77
31025	2	-77
31025	3	-77
31025	4	-77
31026	1	 
31026	2	 
31026	3	 
31026	4	 
31027	1	0
31027	2	650
31027	3	0
31027	4	0
31028	1	 
31028	2	 
31028	3	 
31028	4	 
31029	1	 
31029	2	 
31029	3	 
31029	4	 
31030	1	 
31030	2	 
31030	3	 
31030	4	 
31031	1	1000
31031	2	1800
31031	3	0
31031	4	0
31032	1	 
31032	2	 
31032	3	 
31032	4	 
31033	1	1000
31033	2	2000
31033	3	0
31033	4	0
31034	1	1500
31034	2	800
31034	3	0
31034	4	0
31035	1	 
31035	2	 
31035	3	 
31035	4	 
31036	1	-77
31036	2	-77
31036	3	-77
31036	4	-77
31038	1	-77
31038	2	-77
31038	3	-77
31038	4	-77
31039	1	1000
31039	2	2000
31039	3	0
31039	4	0
31040	1	-77
31040	2	-77
31040	3	-77
31040	4	-77
31041	1	6000
31041	2	3000
31041	3	0
31041	4	0
31042	1	1000
31042	2	5000
31042	3	12000
31042	4	0
31043	1	-77
31043	2	-77
31043	3	-77
31043	4	-77
31047	1	-77
