CHILDCODE	LANDIDR5	TOTINDR5	TOTLNDR5	PRIRRR5
11001	1	0	 	 
11001	2	0	 	 
11002	1	.0299999993294477	1.70000004768372	5
11002	2	0	0	 
11003	1	.0399999991059303	0	 
11003	2	0	0	 
11004	1	.0199999995529652	0	 
11004	2	0	0	 
11005	1	.0299999993294477	0	 
11005	2	0	0	 
11006	1	.0199999995529652	0	 
11006	2	0	0	 
11007	1	.0500000007450581	 	 
11007	2	0	 	 
11008	1	.0500000007450581	0	 
11008	2	.00999999977648258	0	 
11009	1	0	2	5
11009	2	0	0	 
11010	1	.0599999986588955	4	4
11010	2	-77	-77	 
11011	1	.0199999995529652	0	 
11011	2	0	0	 
11012	1	.0700000002980232	0	 
11012	2	0	0	 
11013	1	.0199999995529652	0	 
11013	2	0	0	 
11014	1	.0599999986588955	0	 
11014	2	0	0	 
11015	1	.0299999993294477	0	 
11015	2	0	0	 
11016	1	0	0	 
11016	2	.0399999991059303	0	 
11018	1	.0299999993294477	5	5
11018	2	0	0	 
11019	1	0	 	 
11019	2	0	 	 
11021	1	.0299999993294477	0	 
11021	2	0	0	 
11022	1	.0399999991059303	0	 
11022	2	.0199999995529652	0	 
11023	1	.0199999995529652	 	 
11023	2	0	 	 
11024	1	.0500000007450581	0	 
11024	2	0	0	 
11025	1	.0399999991059303	 	 
11025	2	0	 	 
11026	1	.0399999991059303	0	 
11026	2	0	0	 
11027	1	.0199999995529652	5	4
11027	2	0	0	 
11029	1	0	1.5	2
11029	2	0	0	 
11030	1	.0799999982118607	0	 
11030	2	0	0	 
11031	1	.0199999995529652	0	 
11031	2	0	0	 
11032	1	.0199999995529652	 	 
11032	2	0	 	 
11034	1	0	1.5	2
11034	2	0	0	 
11035	1	0	 	 
11035	2	0	 	 
11036	1	.0900000035762787	 	 
11036	2	0	 	 
11037	1	.0399999991059303	0	 
11037	2	0	0	 
11038	1	.0199999995529652	0	 
11038	2	0	0	 
11039	1	.00999999977648258	 	 
11039	2	0	 	 
11040	1	.0199999995529652	0	 
11040	2	0	0	 
11041	1	.0299999993294477	0	 
11041	2	0	0	 
11042	1	.0199999995529652	0	 
11042	2	0	0	 
11043	1	.100000001490116	150	3
11043	2	0	0	 
11044	1	.0199999995529652	 	 
11044	2	0	 	 
11045	1	.0199999995529652	0	 
11045	2	0	0	 
11046	1	0	 	 
11046	2	0	 	 
11047	1	0	 	 
11047	2	0	 	 
11048	1	.0399999991059303	2	5
11048	2	0	0	 
11049	1	0	 	 
11049	2	0	 	 
11050	1	.0199999995529652	0	 
11050	2	0	0	 
21001	1	.0500000007450581	2	4
21001	2	0	0	 
21002	1	.0199999995529652	1	1
21002	2	0	0	 
21003	1	.0500000007450581	1	5
21003	2	0	0	 
21004	1	.0399999991059303	2	5
21004	2	0	0	 
21005	1	.0599999986588955	5	5
21005	2	0	0	 
21006	1	.0500000007450581	3	5
21006	2	0	0	 
21007	1	.0299999993294477	6	5
21007	2	0	0	 
21008	1	.300000011920929	2	5
21008	2	0	0	 
21009	1	.0299999993294477	5	5
21009	2	0	0	 
21010	1	.0500000007450581	0	 
21010	2	0	0	 
21011	1	.0500000007450581	.5	5
21011	2	0	0	 
21012	1	.0299999993294477	0	 
21012	2	0	0	 
21013	1	.0299999993294477	0	 
21013	2	0	0	 
21014	1	.0299999993294477	0	 
21014	2	0	0	 
21015	1	.0399999991059303	0	 
21015	2	0	0	 
21016	1	.0500000007450581	6	5
21016	2	0	0	 
21017	1	.0399999991059303	.5	5
21017	2	0	0	 
21018	1	.0500000007450581	3	4
21018	2	0	0	 
21019	1	.0500000007450581	0	 
21019	2	0	0	 
21020	1	.0500000007450581	0	 
21020	2	0	0	 
21021	1	.0500000007450581	0	 
21021	2	0	0	 
21022	1	.0500000007450581	0	 
21022	2	0	0	 
21023	1	.0500000007450581	0	 
21023	2	0	0	 
21024	1	 	 	 
21024	2	 	 	 
