CHILDCODE	ASSTIDR5	ASSETR5	NUMASTR5	ASACTR5	NMOWNR5	VLASTR5
10008	1	23	5	23	5	5000
10014	1	30	6	23	6	10000
10015	1	9	10	2	10	10000
10017	1	21	1	21	1	3000
10018	1	23	2	23	2	1000
10021	1	15	2	5	2	1000
10025	1	23	5	23	5	10000
10026	1	23	4	23	4	30000
10027	1	21	1	21	1	2000
10027	2	23	10	23	10	10000
10029	1	21	1	5	1	2000
10036	1	13	6	9	6	1500
10038	1	15	20	12	20	30000
10040	1	23	8	23	8	5000
10041	1	13	5	5	5	1000
10042	1	13	1	5	1	200
10043	1	30	1	24	1	250000
10044	1	21	1	5	1	3000
10046	1	23	4	23	4	20000
10050	1	30	1	24	1	70000
10051	1	1	6	11	6	800
10051	2	3	1	11	1	1000
10052	1	1	10	11	10	5000
10052	2	3	1	11	1	10000
10052	3	23	15	23	15	20000
10056	1	23	6	23	6	10000
10057	1	30	1	23	1	20000
10058	1	13	4	7	4	1000
10059	1	13	10	14	10	5000
10063	1	30	1	5	1	70000
10064	1	1	2	11	2	600
10065	1	21	1	5	1	2000
10066	1	17	20	16	20	10000
10070	1	21	2	5	2	2000
10076	1	23	4	23	4	10000
10081	1	17	10	16	10	10000
10083	1	13	2	5	2	200
10085	1	23	5	23	5	5000
10087	1	30	10	26	10	70000
10090	1	30	4	14	4	100000
10092	1	23	5	23	5	10000
10099	1	23	4	23	4	4000
20001	1	1	4	5	4	400
20002	1	1	4	11	4	300
20003	1	1	3	11	3	1000
20004	1	1	4	11	4	500
20005	1	1	4	11	4	300
20006	1	1	5	11	5	1500
20007	1	1	5	11	5	800
20008	1	1	5	11	5	500
20008	2	4	1	11	1	2000
20008	3	3	1	11	1	1000
20008	4	2	1	11	1	10000
20009	1	1	3	11	3	500
20010	1	1	3	11	3	400
20011	1	1	4	11	4	400
20011	2	4	3	11	3	1500
20014	1	1	2	11	2	500
20015	1	1	3	11	0	1200
20016	1	1	4	11	4	400
20017	1	1	3	5	3	500
20018	1	1	6	11	6	1000
20018	2	3	1	11	1	1000
20018	3	4	2	11	2	800
20019	1	1	2	5	2	700
20020	1	1	4	11	4	300
20021	1	1	3	11	3	150
20022	1	1	3	11	3	1000
20022	2	3	1	11	1	1000
20024	1	1	5	5	5	600
20024	2	7	1	11	1	100000
20024	3	4	3	11	3	10000
20025	1	1	3	11	3	600
20027	1	1	2	5	2	400
20028	1	1	3	5	3	500
20030	1	1	3	11	3	1500
20031	1	1	3	11	3	400
20031	2	4	3	11	3	1000
20033	1	1	3	11	3	1000
20033	2	3	1	11	1	1200
20035	1	1	1	5	1	100
20036	1	30	1	21	1	5000
20037	1	1	4	5	4	500
20039	1	1	2	11	2	100
20041	1	4	1	11	0	0
20041	2	3	1	11	1	1500
20043	1	7	1	11	1	300000
20043	2	4	2	11	2	70000
20043	3	1	6	11	6	2000
20043	4	3	1	11	1	10000
20044	1	1	3	11	3	350
20044	2	3	2	11	0	0
20045	1	1	4	11	4	1000
20046	1	1	2	5	2	400
20049	1	7	1	11	1	200000
20049	2	4	2	11	2	20000
20049	3	3	1	11	1	2000
20050	1	1	3	11	3	400
20051	1	1	3	11	3	4500
20051	2	4	4	11	4	1200
20051	3	5	20	11	20	4000
20053	1	4	3	11	3	9000
20053	2	1	6	11	6	800
20054	1	1	5	11	5	1500
20056	1	7	1	11	1	100000
20056	2	4	3	11	3	10000
20056	3	3	1	11	1	3000
20057	1	4	4	11	4	1200
20057	2	1	3	11	3	500
20058	1	1	3	11	3	500
20059	1	1	4	11	4	700
20060	1	13	10	7	10	3000
20061	1	1	3	11	3	300
20062	1	1	2	11	2	200
20063	1	1	3	5	3	500
20064	1	1	2	11	2	900
20065	1	1	5	11	5	2000
20066	1	25	1	24	1	150000
20068	1	1	3	11	2	200
20069	1	1	4	5	4	500
20070	1	1	5	11	5	2000
20070	2	3	1	11	0	500
20071	1	1	3	11	3	550
20072	1	22	3	22	3	4000
20073	1	1	4	11	4	1000
20074	1	1	4	11	4	1000
20074	2	3	1	11	0	0
20074	3	4	1	11	1	1500
20075	1	1	2	11	2	500
20075	2	4	1	11	1	500
20075	3	25	1	24	1	150000
20076	1	1	4	11	4	400
20076	2	3	1	11	0	3000
20078	1	1	4	11	4	300
20079	1	1	5	11	5	700
20080	1	1	3	11	3	400
20081	1	1	3	11	3	250
20082	1	1	3	11	3	500
20083	1	1	5	11	5	700
20083	2	7	1	11	1	200000
20084	1	1	3	5	3	500
20085	1	1	4	11	4	350
20086	1	1	3	11	3	1500
20086	2	7	1	11	0	0
20087	1	1	3	11	3	1200
20087	2	3	1	11	1	500
20088	1	1	4	29	4	500
20089	1	1	5	11	5	700
20091	1	1	4	5	4	1000
20092	1	1	4	11	4	700
20092	2	3	1	11	1	500
20093	1	1	3	5	3	500
20095	1	1	3	11	3	300
20095	2	3	1	11	1	1500
20096	1	1	3	11	3	500
20097	1	1	3	11	3	700
20097	2	3	1	11	1	3000
20097	3	5	1	11	1	5000
20098	1	1	4	11	4	1500
20099	1	1	2	5	2	500
30003	1	17	4	16	0	 
30007	1	13	15	7	15	2000
30008	1	21	8	21	8	40000
30010	1	1	5	11	5	2000
30010	2	23	15	23	15	2000
30011	1	 	 	 	 	 
30012	1	23	10	23	10	5000
30014	1	21	10	21	10	9000
30016	1	30	0	26	0	 
