CHILDCODE	HHITMIDR5	OWNITMR5	NUMOWNR5
10001	1	1	1
10001	2	0	 
10001	3	0	 
10001	4	1	1
10001	5	1	1
10001	6	0	 
10001	7	1	2
10001	8	1	5
10001	9	0	 
10001	10	1	3
10001	11	1	3
10001	12	1	1
10001	13	1	1
10001	14	0	 
10001	15	0	 
10001	16	0	 
10001	17	0	 
10001	18	1	1
10001	19	0	 
10001	20	0	 
10002	1	1	1
10002	2	0	 
10002	3	0	 
10002	4	0	 
10002	5	0	 
10002	6	0	 
10002	7	0	 
10002	8	1	2
10002	9	0	 
10002	10	1	1
10002	11	1	1
10002	12	0	 
10002	13	1	1
10002	14	0	 
10002	15	0	 
10002	16	0	 
10002	17	0	 
10002	18	0	 
10002	19	0	 
10002	20	0	 
10003	1	0	 
10003	2	0	 
10003	3	0	 
10003	4	0	 
10003	5	1	1
10003	6	0	 
10003	7	1	1
10003	8	1	2
10003	9	0	 
10003	10	1	1
10003	11	1	2
10003	12	0	 
10003	13	1	1
10003	14	0	 
10003	15	0	 
10003	16	0	 
10003	17	0	 
10003	18	0	 
10003	19	0	 
10003	20	0	 
10004	1	1	1
10004	2	0	 
10004	3	0	 
10004	4	1	1
10004	5	1	1
10004	6	0	 
10004	7	1	2
10004	8	1	3
10004	9	0	 
10004	10	1	2
10004	11	1	2
10004	12	0	 
10004	13	1	1
10004	14	0	 
10004	15	0	 
10004	16	0	 
10004	17	0	 
10004	18	0	 
10004	19	0	 
10004	20	0	 
10005	1	1	1
10005	2	0	 
10005	3	0	 
10005	4	0	 
10005	5	1	1
10005	6	0	 
10005	7	1	2
10005	8	1	3
10005	9	0	 
10005	10	1	2
10005	11	1	3
10005	12	0	 
10005	13	1	1
10005	14	0	 
10005	15	0	 
10005	16	0	 
10005	17	0	 
10005	18	0	 
10005	19	0	 
10005	20	0	 
10007	1	1	1
10007	2	0	 
10007	3	0	 
10007	4	1	1
10007	5	1	1
10007	6	0	 
10007	7	1	2
10007	8	1	4
10007	9	0	 
10007	10	1	4
10007	11	1	2
10007	12	1	1
10007	13	1	1
10007	14	1	1
10007	15	1	1
10007	16	0	 
10007	17	0	 
10007	18	0	 
10007	19	0	 
10007	20	0	 
10008	1	1	1
10008	2	0	 
10008	3	0	 
10008	4	0	 
10008	5	1	1
10008	6	0	 
10008	7	1	1
10008	8	1	3
10008	9	0	 
10008	10	1	2
10008	11	1	3
10008	12	1	1
10008	13	1	1
10008	14	0	 
10008	15	0	 
10008	16	0	 
10008	17	0	 
10008	18	0	 
10008	19	0	 
10008	20	0	 
10009	1	1	1
10009	2	0	 
10009	3	0	 
10009	4	0	 
10009	5	0	 
10009	6	0	 
10009	7	1	1
10009	8	1	2
10009	9	0	 
10009	10	1	2
10009	11	1	1
10009	12	0	 
10009	13	1	1
10009	14	0	 
10009	15	0	 
10009	16	0	 
10009	17	0	 
10009	18	0	 
10009	19	0	 
10009	20	0	 
10010	1	1	1
10010	2	0	 
10010	3	0	 
10010	4	0	 
10010	5	1	2
10010	6	0	 
10010	7	1	2
10010	8	1	4
10010	9	0	 
10010	10	1	2
10010	11	1	2
10010	12	1	1
10010	13	1	1
10010	14	0	 
10010	15	0	 
10010	16	0	 
10010	17	0	 
10010	18	0	 
10010	19	0	 
10010	20	0	 
10011	1	1	1
10011	2	0	 
10011	3	0	 
10011	4	0	 
10011	5	0	 
10011	6	0	 
10011	7	1	1
10011	8	0	 
10011	9	0	 
10011	10	1	1
10011	11	1	1
10011	12	0	 
10011	13	1	1
10011	14	0	 
10011	15	0	 
10011	16	0	 
10011	17	0	 
10011	18	0	 
10011	19	0	 
10011	20	0	 
10012	1	1	1
10012	2	0	 
10012	3	0	 
10012	4	1	1
10012	5	1	1
10012	6	0	 
10012	7	1	1
10012	8	1	5
10012	9	0	 
10012	10	1	5
10012	11	1	2
10012	12	1	1
10012	13	1	1
10012	14	0	 
10012	15	0	 
10012	16	0	 
10012	17	0	 
10012	18	0	 
10012	19	0	 
10012	20	0	 
10013	1	1	1
10013	2	0	 
10013	3	0	 
10013	4	0	 
10013	5	1	1
10013	6	0	 
10013	7	1	1
10013	8	1	4
10013	9	0	 
10013	10	1	2
10013	11	1	2
10013	12	1	1
10013	13	1	1
10013	14	0	 
10013	15	0	 
10013	16	0	 
10013	17	0	 
10013	18	0	 
10013	19	0	 
10013	20	0	 
10014	1	1	1
10014	2	0	 
10014	3	0	 
10014	4	1	1
10014	5	0	 
10014	6	0	 
10014	7	1	2
10014	8	1	3
10014	9	0	 
10014	10	1	2
10014	11	1	2
10014	12	1	1
10014	13	1	1
10014	14	0	 
10014	15	0	 
10014	16	0	 
10014	17	0	 
10014	18	0	 
10014	19	0	 
10014	20	0	 
10015	1	1	1
10015	2	0	 
10015	3	0	 
10015	4	1	1
10015	5	1	1
10015	6	0	 
10015	7	1	2
10015	8	1	4
10015	9	0	 
10015	10	1	2
10015	11	1	3
10015	12	1	1
10015	13	1	1
10015	14	0	 
10015	15	1	1
10015	16	0	 
10015	17	0	 
10015	18	1	1
10015	19	0	 
10015	20	0	 
10016	1	1	1
10016	2	0	 
10016	3	0	 
10016	4	0	 
10016	5	1	2
10016	6	0	 
10016	7	1	2
10016	8	1	4
10016	9	0	 
10016	10	1	2
10016	11	1	3
10016	12	1	1
10016	13	1	1
10016	14	0	 
10016	15	0	 
10016	16	0	 
10016	17	0	 
10016	18	0	 
10016	19	0	 
10016	20	0	 
10017	1	1	1
10017	2	0	 
10017	3	0	 
10017	4	1	1
10017	5	1	2
10017	6	0	 
10017	7	1	2
10017	8	1	2
10017	9	0	 
10017	10	1	1
10017	11	1	1
10017	12	0	 
10017	13	1	1
10017	14	0	 
10017	15	0	 
10017	16	0	 
10017	17	0	 
10017	18	0	 
10017	19	0	 
10017	20	0	 
10018	1	1	1
10018	2	0	 
10018	3	0	 
10018	4	1	1
10018	5	1	3
10018	6	0	 
10018	7	1	1
10018	8	1	3
10018	9	0	 
10018	10	1	2
10018	11	1	2
10018	12	0	 
10018	13	1	1
10018	14	0	 
10018	15	0	 
10018	16	0	 
10018	17	0	 
10018	18	0	 
10018	19	0	 
10018	20	0	 
10019	1	1	1
10019	2	0	 
10019	3	0	 
10019	4	1	1
10019	5	1	1
10019	6	0	 
10019	7	1	3
10019	8	1	4
10019	9	0	 
10019	10	1	3
10019	11	1	3
10019	12	1	1
10019	13	1	1
10019	14	0	 
10019	15	0	 
10019	16	0	 
10019	17	0	 
10019	18	1	1
10019	19	0	 
10019	20	0	 
10020	1	1	1
10020	2	0	 
10020	3	0	 
10020	4	1	1
10020	5	1	1
10020	6	0	 
10020	7	1	2
10020	8	1	5
10020	9	1	1
10020	10	1	3
10020	11	1	3
10020	12	1	1
10020	13	1	1
10020	14	1	1
10020	15	1	1
10020	16	0	 
10020	17	1	1
10020	18	1	1
10020	19	0	 
10020	20	0	 
10021	1	1	1
10021	2	0	 
10021	3	0	 
10021	4	1	1
10021	5	1	1
10021	6	0	 
10021	7	1	1
10021	8	1	3
10021	9	0	 
10021	10	1	2
10021	11	1	1
10021	12	1	1
10021	13	1	1
10021	14	0	 
10021	15	0	 
10021	16	0	 
10021	17	0	 
10021	18	0	 
10021	19	0	 
10021	20	0	 
10023	1	1	1
10023	2	0	 
10023	3	0	 
10023	4	1	1
10023	5	1	1
10023	6	0	 
10023	7	1	3
10023	8	1	4
10023	9	1	1
10023	10	1	4
10023	11	1	3
10023	12	1	1
10023	13	1	1
10023	14	0	 
10023	15	0	 
10023	16	0	 
10023	17	0	 
10023	18	0	 
10023	19	0	 
10023	20	0	 
10024	1	1	1
10024	2	0	 
10024	3	0	 
10024	4	1	1
10024	5	1	2
10024	6	0	 
10024	7	1	2
10024	8	1	3
10024	9	0	 
10024	10	1	1
10024	11	1	2
10024	12	0	 
10024	13	1	1
10024	14	0	 
10024	15	0	 
10024	16	0	 
10024	17	0	 
10024	18	0	 
10024	19	0	 
10024	20	0	 
10025	1	1	1
10025	2	0	 
10025	3	0	 
10025	4	1	1
10025	5	1	1
10025	6	0	 
10025	7	1	2
10025	8	1	5
10025	9	0	 
10025	10	1	4
10025	11	1	4
10025	12	1	1
10025	13	1	1
10025	14	0	 
10025	15	0	 
10025	16	0	 
10025	17	0	 
10025	18	0	 
10025	19	0	 
10025	20	0	 
10026	1	1	1
10026	2	0	 
10026	3	0	 
10026	4	1	1
10026	5	1	1
10026	6	0	 
10026	7	1	2
10026	8	1	4
10026	9	0	 
10026	10	1	3
10026	11	1	2
10026	12	1	1
10026	13	1	1
10026	14	0	 
10026	15	0	 
10026	16	0	 
10026	17	1	1
10026	18	1	1
10026	19	0	 
10026	20	0	 
10027	1	1	1
10027	2	0	 
10027	3	0	 
10027	4	1	1
10027	5	1	1
10027	6	0	 
10027	7	1	2
10027	8	1	3
10027	9	1	1
10027	10	1	3
10027	11	1	2
10027	12	1	1
10027	13	1	1
10027	14	0	 
10027	15	0	 
10027	16	0	 
10027	17	0	 
10027	18	0	 
10027	19	0	 
10027	20	0	 
10028	1	1	1
10028	2	0	 
10028	3	0	 
10028	4	1	1
10028	5	1	1
10028	6	0	 
10028	7	1	3
10028	8	1	5
10028	9	1	1
10028	10	1	3
10028	11	1	4
10028	12	1	1
10028	13	1	1
10028	14	0	 
10028	15	0	 
10028	16	0	 
10028	17	0	 
10028	18	0	 
10028	19	0	 
10028	20	0	 
10029	1	1	1
10029	2	0	 
10029	3	0	 
10029	4	1	1
10029	5	1	2
10029	6	0	 
10029	7	1	2
10029	8	1	4
10029	9	0	 
10029	10	1	2
10029	11	1	1
10029	12	1	1
10029	13	1	1
10029	14	0	 
10029	15	0	 
10029	16	0	 
10029	17	0	 
10029	18	0	 
10029	19	0	 
10029	20	0	 
10030	1	1	1
10030	2	0	 
10030	3	0	 
10030	4	1	1
10030	5	1	1
10030	6	0	 
10030	7	1	2
10030	8	1	3
10030	9	0	 
10030	10	1	2
10030	11	1	5
10030	12	1	1
10030	13	1	1
10030	14	0	 
10030	15	0	 
10030	16	0	 
10030	17	0	 
10030	18	0	 
10030	19	0	 
10030	20	0	 
10031	1	1	1
10031	2	0	 
10031	3	0	 
10031	4	1	1
10031	5	1	1
10031	6	0	 
10031	7	1	2
10031	8	1	6
10031	9	1	1
10031	10	1	4
10031	11	1	3
10031	12	1	1
10031	13	1	1
10031	14	0	 
10031	15	0	 
10031	16	0	 
10031	17	0	 
10031	18	0	 
10031	19	0	 
10031	20	0	 
10032	1	1	1
10032	2	0	 
10032	3	0	 
10032	4	1	1
10032	5	1	1
10032	6	0	 
10032	7	0	 
10032	8	0	 
10032	9	0	 
10032	10	1	2
10032	11	1	2
10032	12	1	1
10032	13	1	1
10032	14	0	 
10032	15	0	 
10032	16	0	 
10032	17	0	 
10032	18	0	 
10032	19	0	 
10032	20	0	 
10033	1	1	1
10033	2	0	 
10033	3	0	 
10033	4	0	 
10033	5	1	2
10033	6	0	 
10033	7	1	2
10033	8	1	2
10033	9	0	 
10033	10	1	2
10033	11	1	2
10033	12	0	 
10033	13	1	1
10033	14	0	 
10033	15	0	 
10033	16	0	 
10033	17	0	 
10033	18	0	 
10033	19	0	 
10033	20	0	 
10034	1	1	1
10034	2	0	 
10034	3	0	 
10034	4	1	1
10034	5	1	1
10034	6	0	 
10034	7	1	1
10034	8	1	4
10034	9	0	 
10034	10	1	2
10034	11	1	2
10034	12	1	1
10034	13	1	1
10034	14	0	 
10034	15	0	 
10034	16	0	 
10034	17	0	 
10034	18	0	 
10034	19	0	 
10034	20	0	 
10035	1	1	1
10035	2	0	 
10035	3	0	 
10035	4	0	 
10035	5	1	1
10035	6	0	 
10035	7	1	1
10035	8	1	3
10035	9	0	 
10035	10	1	1
10035	11	1	1
10035	12	0	 
10035	13	1	1
10035	14	0	 
10035	15	0	 
10035	16	0	 
10035	17	0	 
10035	18	0	 
10035	19	0	 
10035	20	0	 
10036	1	1	1
10036	2	0	 
10036	3	0	 
10036	4	1	1
10036	5	0	 
10036	6	0	 
10036	7	1	2
10036	8	1	2
10036	9	0	 
10036	10	1	2
10036	11	1	3
10036	12	1	1
10036	13	1	1
10036	14	0	 
10036	15	0	 
10036	16	0	 
10036	17	0	 
10036	18	0	 
10036	19	0	 
10036	20	0	 
10037	1	1	1
10037	2	0	 
10037	3	0	 
10037	4	1	1
10037	5	1	2
10037	6	0	 
10037	7	1	2
10037	8	1	5
10037	9	0	 
10037	10	1	2
10037	11	1	3
10037	12	1	1
10037	13	1	1
10037	14	0	 
10037	15	0	 
10037	16	0	 
10037	17	0	 
10037	18	1	1
10037	19	0	 
10037	20	0	 
10038	1	1	1
10038	2	0	 
10038	3	0	 
10038	4	1	2
10038	5	1	1
10038	6	0	 
10038	7	1	2
10038	8	1	6
10038	9	0	 
10038	10	1	3
10038	11	1	2
10038	12	0	 
10038	13	1	1
10038	14	0	 
