CHILDCODE	IMEVIDR5	RKEVR5	LOSS13R5	LOSS14R5	LOSS15R5	LOSS16R5	RESEVR51	RESEVR52	RESEVR53
10001	1	36	 	3	 	 	17	88	88
10001	2	88	 	 	 	 	 	 	 
10001	3	88	 	 	 	 	 	 	 
10002	1	42	 	 	3	3	2	18	88
10002	2	47	 	3	3	3	2	18	88
10002	3	88	 	 	 	 	 	 	 
10003	1	37	 	 	3	 	16	7	88
10003	2	88	 	 	 	 	 	 	 
10003	3	88	 	 	 	 	 	 	 
10004	1	61	 	2	 	 	9	88	88
10004	2	47	 	3	3	3	2	88	88
10004	3	88	 	 	 	 	 	 	 
10005	1	37	 	 	 	4	16	7	88
10005	2	88	 	 	 	 	 	 	 
10005	3	88	 	 	 	 	 	 	 
10007	1	88	 	 	 	 	 	 	 
10007	2	88	 	 	 	 	 	 	 
10007	3	88	 	 	 	 	 	 	 
10008	1	47	2	3	4	2	2	17	88
10008	2	88	 	 	 	 	 	 	 
10008	3	88	 	 	 	 	 	 	 
10009	1	39	 	 	 	3	16	7	88
10009	2	47	 	 	 	2	2	7	88
10009	3	88	 	 	 	 	 	 	 
10010	1	47	 	 	 	2	2	18	88
10010	2	88	 	 	 	 	 	 	 
10010	3	88	 	 	 	 	 	 	 
10011	1	38	 	 	3	 	16	7	88
10011	2	47	 	 	2	 	2	7	88
10011	3	88	 	 	 	 	 	 	 
10012	1	88	 	 	 	 	 	 	 
10012	2	88	 	 	 	 	 	 	 
10012	3	88	 	 	 	 	 	 	 
10013	1	47	 	 	3	2	2	21	88
10013	2	88	 	 	 	 	 	 	 
10013	3	88	 	 	 	 	 	 	 
10014	1	88	 	 	 	 	 	 	 
10014	2	88	 	 	 	 	 	 	 
10014	3	88	 	 	 	 	 	 	 
10015	1	23	 	 	2	 	17	88	88
10015	2	88	 	 	 	 	 	 	 
10015	3	88	 	 	 	 	 	 	 
10016	1	47	 	2	3	3	2	1	88
10016	2	37	 	 	 	3	9	10	88
10016	3	88	 	 	 	 	 	 	 
10017	1	47	 	2	2	 	2	6	7
10017	2	88	 	 	 	 	 	 	 
10017	3	88	 	 	 	 	 	 	 
10018	1	47	 	2	2	 	17	2	7
10018	2	88	 	 	 	 	 	 	 
10018	3	88	 	 	 	 	 	 	 
10019	1	36	 	3	 	 	2	9	88
10019	2	88	 	 	 	 	 	 	 
10019	3	88	 	 	 	 	 	 	 
10020	1	36	 	1	 	 	17	88	88
10020	2	88	 	 	 	 	 	 	 
10020	3	88	 	 	 	 	 	 	 
10021	1	47	 	 	2	2	6	2	7
10021	2	88	 	 	 	 	 	 	 
10021	3	88	 	 	 	 	 	 	 
10023	1	47	 	 	 	2	2	17	88
10023	2	88	 	 	 	 	 	 	 
10023	3	88	 	 	 	 	 	 	 
10024	1	47	 	2	 	 	6	2	7
10024	2	88	 	 	 	 	 	 	 
10024	3	88	 	 	 	 	 	 	 
10025	1	39	4	 	 	 	17	18	88
10025	2	88	 	 	 	 	 	 	 
10025	3	88	 	 	 	 	 	 	 
10026	1	1	 	 	 	2	5	7	88
10026	2	37	 	 	3	 	9	7	88
10026	3	88	 	 	 	 	 	 	 
10027	1	47	 	 	2	1	2	17	7
10027	2	37	 	2	 	 	16	17	7
10027	3	88	 	 	 	 	 	 	 
10028	1	88	 	 	 	 	 	 	 
10028	2	88	 	 	 	 	 	 	 
10028	3	88	 	 	 	 	 	 	 
10029	1	47	 	2	2	3	6	2	7
10029	2	88	 	 	 	 	 	 	 
10029	3	88	 	 	 	 	 	 	 
10030	1	47	2	4	3	4	2	18	88
10030	2	88	 	 	 	 	 	 	 
10030	3	88	 	 	 	 	 	 	 
10031	1	29	 	 	2	 	17	16	88
10031	2	47	 	 	 	2	2	18	88
10031	3	88	 	 	 	 	 	 	 
10032	1	42	 	 	2	4	9	28	88
10032	2	47	 	3	3	3	2	17	88
10032	3	88	 	 	 	 	 	 	 
10033	1	47	 	 	 	2	2	18	88
10033	2	88	 	 	 	 	 	 	 
10033	3	88	 	 	 	 	 	 	 
10034	1	42	 	 	4	 	28	9	88
10034	2	47	 	2	3	2	2	18	88
10034	3	88	 	 	 	 	 	 	 
