CHILDCODE	LANDIDR5	TOTINDR5	USEINDR5	TOTLNDR5	USERANR5	USEDRYR5	PRIRRR5
10001	1	.0599999986588955	1	0	 	 	 
10001	2	0	 	0	 	 	 
10001	3	0	 	0	 	 	 
10001	4	 	 	0	 	 	 
10001	5	0	 	0	 	 	 
10002	1	0	 	 	 	 	 
10002	2	0	 	 	 	 	 
10002	3	0	 	 	 	 	 
10002	4	 	 	 	 	 	 
10002	5	0	 	 	 	 	 
10003	1	0	 	 	 	 	 
10003	2	0	 	 	 	 	 
10003	3	0	 	 	 	 	 
10003	4	 	 	 	 	 	 
10003	5	0	 	 	 	 	 
10004	1	0	 	 	 	 	 
10004	2	0	 	 	 	 	 
10004	3	0	 	 	 	 	 
10004	4	 	 	 	 	 	 
10004	5	0	 	 	 	 	 
10005	1	.0299999993294477	1	0	 	 	 
10005	2	0	 	0	 	 	 
10005	3	0	 	0	 	 	 
10005	4	 	 	0	 	 	 
10005	5	0	 	0	 	 	 
10007	1	0	 	 	 	 	 
10007	2	0	 	 	 	 	 
10007	3	0	 	 	 	 	 
10007	4	 	 	 	 	 	 
10007	5	0	 	 	 	 	 
10008	1	.0500000007450581	1	 	 	 	 
10008	2	0	 	 	 	 	 
10008	3	0	 	 	 	 	 
10008	4	 	 	 	 	 	 
10008	5	0	 	 	 	 	 
10009	1	.0299999993294477	1	0	 	 	 
10009	2	0	 	0	 	 	 
10009	3	0	 	0	 	 	 
10009	4	 	 	0	 	 	 
10009	5	0	 	0	 	 	 
10010	1	.0299999993294477	1	0	 	 	 
10010	2	0	 	0	 	 	 
10010	3	0	 	0	 	 	 
10010	4	 	 	0	 	 	 
10010	5	0	 	0	 	 	 
10011	1	.0199999995529652	1	0	 	 	 
10011	2	0	 	0	 	 	 
10011	3	0	 	0	 	 	 
10011	4	 	 	0	 	 	 
10011	5	0	 	0	 	 	 
10012	1	.0299999993294477	1	0	 	 	 
10012	2	0	 	0	 	 	 
10012	3	0	 	0	 	 	 
10012	4	 	 	0	 	 	 
10012	5	0	 	0	 	 	 
10013	1	0	 	 	 	 	 
10013	2	0	 	 	 	 	 
10013	3	0	 	 	 	 	 
10013	4	 	 	 	 	 	 
10013	5	0	 	 	 	 	 
10014	1	.0399999991059303	1	0	 	 	 
10014	2	0	 	0	 	 	 
10014	3	0	 	0	 	 	 
10014	4	 	 	0	 	 	 
10014	5	0	 	0	 	 	 
10015	1	.0199999995529652	1	0	 	 	 
10015	2	0	 	0	 	 	 
10015	3	0	 	0	 	 	 
10015	4	 	 	0	 	 	 
10015	5	0	 	0	 	 	 
10016	1	0	 	 	 	 	 
10016	2	0	 	 	 	 	 
10016	3	0	 	 	 	 	 
10016	4	 	 	 	 	 	 
10016	5	0	 	 	 	 	 
10017	1	0	 	 	 	 	 
10017	2	0	 	 	 	 	 
10017	3	0	 	 	 	 	 
10017	4	 	 	 	 	 	 
10017	5	0	 	 	 	 	 
10018	1	0	 	 	 	 	 
10018	2	0	 	 	 	 	 
10018	3	0	 	 	 	 	 
10018	4	 	 	 	 	 	 
10018	5	0	 	 	 	 	 
10019	1	0	 	 	 	 	 
10019	2	0	 	 	 	 	 
10019	3	0	 	 	 	 	 
10019	4	 	 	 	 	 	 
10019	5	0	 	 	 	 	 
10020	1	.00999999977648258	1	0	 	 	 
10020	2	0	 	0	 	 	 
10020	3	0	 	0	 	 	 
10020	4	 	 	0	 	 	 
10020	5	0	 	0	 	 	 
10021	1	.0500000007450581	1	0	 	 	 
10021	2	0	 	0	 	 	 
10021	3	0	 	0	 	 	 
10021	4	 	 	0	 	 	 
10021	5	0	 	0	 	 	 
10023	1	.100000001490116	1	2	5	11	 
10023	2	0	 	0	 	 	 
10023	3	0	 	0	 	 	 
10023	4	 	 	0	 	 	 
10023	5	0	 	0	 	 	 
10024	1	.0299999993294477	1	0	 	 	 
10024	2	0	 	0	 	 	 
10024	3	.00999999977648258	1	0	 	 	 
10024	4	 	 	0	 	 	 
10024	5	0	 	0	 	 	 
10025	1	.0199999995529652	1	0	 	 	 
10025	2	0	 	0	 	 	 
10025	3	0	 	0	 	 	 
10025	4	 	 	0	 	 	 
10025	5	0	 	0	 	 	 
10026	1	.0799999982118607	1	5	5	13	4
10026	2	0	 	0	 	 	 
10026	3	0	 	0	 	 	 
10026	4	 	 	0	 	 	 
10026	5	0	 	0	 	 	 
10027	1	.0500000007450581	1	0	 	 	 
10027	2	0	 	0	 	 	 
10027	3	0	 	0	 	 	 
10027	4	 	 	0	 	 	 
10027	5	0	 	0	 	 	 
10028	1	.0199999995529652	1	0	 	 	 
10028	2	0	 	0	 	 	 
10028	3	0	 	0	 	 	 
10028	4	 	 	0	 	 	 
10028	5	0	 	0	 	 	 
10029	1	0	 	 	 	 	 
10029	2	0	 	 	 	 	 
10029	3	0	 	 	 	 	 
10029	4	 	 	 	 	 	 
10029	5	0	 	 	 	 	 
10030	1	0	 	 	 	 	 
10030	2	0	 	 	 	 	 
10030	3	0	 	 	 	 	 
10030	4	 	 	 	 	 	 
10030	5	0	 	 	 	 	 
10031	1	0	 	0	 	 	 
10031	2	.0299999993294477	1	0	 	 	 
10031	3	0	 	20	14	14	4
10031	4	 	 	0	 	 	 
10031	5	0	 	0	 	 	 
10032	1	0	 	 	 	 	 
10032	2	0	 	 	 	 	 
10032	3	0	 	 	 	 	 
10032	4	 	 	 	 	 	 
10032	5	0	 	 	 	 	 
10033	1	.0199999995529652	1	0	 	 	 
10033	2	0	 	0	 	 	 
10033	3	0	 	0	 	 	 
10033	4	 	 	0	 	 	 
10033	5	0	 	0	 	 	 
10034	1	0	 	 	 	 	 
10034	2	0	 	 	 	 	 
10034	3	0	 	 	 	 	 
10034	4	 	 	 	 	 	 
10034	5	0	 	 	 	 	 
10035	1	0	 	 	 	 	 
10035	2	0	 	 	 	 	 
10035	3	0	 	 	 	 	 
10035	4	 	 	 	 	 	 
10035	5	0	 	 	 	 	 
10036	1	.0199999995529652	1	0	 	 	 
10036	2	0	 	0	 	 	 
10036	3	0	 	0	 	 	 
10036	4	 	 	0	 	 	 
10036	5	0	 	0	 	 	 
10037	1	.0199999995529652	1	0	 	 	 
10037	2	0	 	0	 	 	 
10037	3	0	 	0	 	 	 
10037	4	 	 	0	 	 	 
10037	5	0	 	0	 	 	 
10038	1	.0500000007450581	1	1.5	5	11	 
10038	2	0	 	0	 	 	 
10038	3	0	 	0	 	 	 
10038	4	 	 	0	 	 	 
10038	5	0	 	0	 	 	 
10039	1	.0299999993294477	1	0	 	 	 
10039	2	0	 	0	 	 	 
10039	3	0	 	0	 	 	 
10039	4	 	 	0	 	 	 
10039	5	0	 	0	 	 	 
10040	1	0	 	 	 	 	 
10040	2	0	 	 	 	 	 
10040	3	0	 	 	 	 	 
10040	4	 	 	 	 	 	 
10040	5	0	 	 	 	 	 
10041	1	.0299999993294477	1	0	 	 	 
10041	2	0	 	0	 	 	 
10041	3	0	 	0	 	 	 
10041	4	 	 	0	 	 	 
10041	5	0	 	0	 	 	 
10042	1	0	 	 	 	 	 
10042	2	0	 	 	 	 	 
10042	3	0	 	 	 	 	 
10042	4	 	 	 	 	 	 
10042	5	0	 	 	 	 	 
10043	1	.0299999993294477	1	0	 	 	 
10043	2	0	 	0	 	 	 
10043	3	0	 	0	 	 	 
10043	4	 	 	0	 	 	 
10043	5	0	 	0	 	 	 
10044	1	0	 	 	 	 	 
10044	2	0	 	 	 	 	 
10044	3	0	 	 	 	 	 
10044	4	 	 	 	 	 	 
10044	5	0	 	 	 	 	 
10045	1	0	 	 	 	 	 
10045	2	0	 	 	 	 	 
10045	3	0	 	 	 	 	 
10045	4	 	 	 	 	 	 
10045	5	0	 	 	 	 	 
10046	1	0	 	 	 	 	 
10046	2	0	 	 	 	 	 
10046	3	0	 	 	 	 	 
10046	4	 	 	 	 	 	 
10046	5	0	 	 	 	 	 
10047	1	0	 	 	 	 	 
10047	2	0	 	 	 	 	 
10047	3	0	 	 	 	 	 
10047	4	 	 	 	 	 	 
10047	5	0	 	 	 	 	 
10048	1	0	 	 	 	 	 
10048	2	0	 	 	 	 	 
10048	3	0	 	 	 	 	 
10048	4	 	 	 	 	 	 
10048	5	0	 	 	 	 	 
10049	1	.0500000007450581	2	.5	5	11	 
10049	2	0	 	0	 	 	 
10049	3	0	 	0	 	 	 
10049	4	 	 	0	 	 	 
10049	5	0	 	0	 	 	 
10050	1	0	 	 	 	 	 
10050	2	0	 	 	 	 	 
10050	3	0	 	 	 	 	 
10050	4	 	 	 	 	 	 
10050	5	0	 	 	 	 	 
10051	1	.0500000007450581	1	5	5	5	1
10051	2	0	 	0	 	 	 
10051	3	0	 	0	 	 	 
10051	4	 	 	0	 	 	 
10051	5	0	 	0	 	 	 
10052	1	.0500000007450581	1	5	5	11	 
10052	2	0	 	0	 	 	 
10052	3	0	 	0	 	 	 
10052	4	 	 	0	 	 	 
10052	5	0	 	0	 	 	 
10053	1	.0199999995529652	1	 	 	 	 
10053	2	0	 	 	 	 	 
10053	3	0	 	 	 	 	 
10053	4	 	 	 	 	 	 
10053	5	0	 	 	 	 	 
10054	1	0	 	 	 	 	 
10054	2	0	 	 	 	 	 
10054	3	0	 	 	 	 	 
10054	4	 	 	 	 	 	 
10054	5	0	 	 	 	 	 
10055	1	.0299999993294477	1	0	 	 	 
10055	2	0	 	0	 	 	 
10055	3	0	 	0	 	 	 
