PLACEID	PLCCODE	DEPARTID	CLUSTID	MAPLOC	STRTDINT	CHRINF1	CHRINF2	CHRINF3	INTBEGDT	INTBEGH	POPSIZE	CITY	TIMECAP	TRANS1	TRANS2	TRANS3	TIMPRVCA	PRTRANS1	PRTRANS2	PRTRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	OTRASPEN	MAINRTE	JANACC	FEBACC	MARACC	APRACC	MAYACC	JUNACC	JULACC	AUGACC	SEPACC	OCTACC	NOVACC	DECACC	NTRLDIST	CURRVULN	CSFRWTR1	CSFRWTR2	CSFRWTR3	CSFRWTR4	CSFRWTR5	CSFRWTR6	CSFRWTR7	CSFRWTR8	CSFRWTR9	CSFRWTR10	CSFRWTR11	CSFRWTR12	CSFRWTR13	CSFRWTR14	CSFRWTR15	CSFRWTR16	CSFRWTR17	CSFRWTR18	CSFRWTR19	CSFRWTR20	CSFRWTR21	CSFRWTR22	RECYCLE	SOCINF1	SOCINF2	SOCINF3	SRVINF1	SRVINF2	SRVINF3	CMNGARB1	CMNGARB2	CMNGARB3	PRGINF1	PRGINF2	PRGINF3	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	ECNINF1	ECNINF2	ECNINF3	PRCINF1	PRCINF2	PRCINF3	PRCINF4	PRCINF5	PRCINF6	PRCINF7	PRCINF8	PRCINF9	PRCINF10	IMPCROP	PRICCROP	MINCROP	MAXCROP	EDCINF1	EDCINF2	EDCINF3	LTRCYCMP	TYPAUTOR	HLTINF1	MIDWIFE	BIRTHATT	TRADHLR	CURIOSO	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	ANESTST	DENTIST	BLOODBNK	OTHRPERS	NTRLTRNG	CPRTINF1	CPRTINF2	CPRTINF3	CHORGACC	CHPOLICE	CHPLCWMN	CHHEALTH	CHDEMUNA	CHCHRDNA	CHCMTDNA	CHNGODNA	CHTWNDNA	CHSCHDNA	CHOTHDNA	CHSCHOOL	CHPARCHR	CHINFMLY	CHAUTCOM	CHNGOOTH	CHOTHOR1	CHOTHOR2	CHOTHOR3	WMORGACC	WMPOLICE	WMPLCWMN	WMHEALTH	WMCEM	WMSCHOOL	WMPARCHR	WMINFMLY	WMNAUTCM	WMNGOOTH	WMOTHOR1	WMOTHOR2	WMOTHOR3	DISTRICT	DISTFNC	DISTUSE	OTHRDNA	OTHRFNC	OTHRUSE	ENDDINT
101	PE01C01	24	1	1	08/08/2016	1	2	88	08/08/2016	14:00	125000	0	-88	88	 	 	-88	88	 	 	1	1	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	0	0	0	88	1	88	0	0	88	0	0	0	0	0	88	0	0	0	1	88	0	1	2	88	1	2	88	1	2	3	1	2	3	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	ARROZ	11.5	 	 	1	2	3	0	 	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	88	88	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	 	 	11/08/2016
102	PE01C02	24	1	0	08/08/2016	5	8	88	09/08/2016	16:10	25000	1	15	6	88	 	15	6	88	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	1	1	1	1	88	1	5	88	88	5	88	88	2	1	8	5	88	88	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	8	88	6	7	10	11	12	13	14	15	16	17	-88	-88	 	 	8	88	88	0	 	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	88	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	 	 	12/08/2016
201	PE02C01	20	2	0	02/09/2016	4	8	88	02/09/2016	13:01	1600	1	40	6	5	88	60	6	5	88	0	1	1	1	0	0	 	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	88	88	88	0	0	88	0	0	0	0	0	88	0	0	0	0	88	0	4	8	88	4	8	88	2	8	88	1	4	8	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	4	8	88	5	6	7	3	10	88	88	88	88	88	BANANO	2	 	 	1	4	88	0	 	3	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	4	8	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	 	 	03/09/2016
202	PE02C02	20	2	0	30/08/2016	1	7	11	30/08/2016	10:31	3000	1	25	6	88	 	40	6	88	 	1	0	0	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	88	0	0	88	88	88	0	7	11	88	7	11	88	2	6	88	7	9	10	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	11	88	2	3	4	5	6	10	88	88	88	88	BANANO	3	 	 	9	88	88	0	 	10	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	7	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	 	 	31/08/2016
203	PE02C03	20	2	0	01/08/2016	9	10	88	03/09/2016	11:00	3800	1	15	6	88	 	30	6	88	 	1	0	1	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	88	0	0	88	0	88	1	9	10	88	5	9	10	3	1	8	1	4	9	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	9	10	88	3	5	6	7	8	11	88	88	88	88	ARROZ	3	 	 	1	88	88	0	 	2	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	9	88	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	 	 	03/09/2016
204	PE02C04	20	2	0	30/08/2016	1	13	88	30/08/2016	10:18	6500	1	15	6	88	 	30	6	88	 	1	0	1	1	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	88	0	1	13	88	1	13	88	2	1	8	1	4	5	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	13	88	6	8	9	10	11	12	88	88	88	88	BANANO	2	 	 	4	88	88	0	 	5	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	13	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	 	 	01/09/2016-15:10
205	PE02C05	20	2	0	04/09/2016	4	9	88	04/09/2016	10:00	11000	1	5	6	88	 	10	6	88	 	1	0	1	0	0	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	0	88	0	0	88	0	0	0	0	1	88	0	0	0	0	88	1	4	9	88	4	9	88	1	9	6	1	2	4	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	9	88	3	4	7	8	5	6	10	88	88	88	BANANO	4	 	 	1	2	88	0	 	3	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	4	9	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	 	 	06/09/2016
301	PE03C01	20	3	0	27/10/2016	3	4	8	26/09/2016	17:45	350	1	90	1	88	 	240	8	6	1	0	0	1	1	0	0	 	3	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	88	0	88	88	88	88	88	88	88	88	88	88	88	88	0	88	88	88	88	0	88	0	3	4	88	3	5	88	7	8	2	3	7	6	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	3	88	88	1	2	6	9	88	88	88	88	88	88	PAPA	6	 	 	7	88	88	0	 	6	1	1	1	0	1	1	1	0	0	1	0	0	0	0	0	1	3	88	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	 	 	27/09/2016
304	PE03C04	20	3	0	30/09/2016	1	88	88	30/09/2016	11:21	110	1	240	1	88	 	180	6	88	 	0	0	1	1	0	0	 	3	0	1	1	1	0	0	0	0	0	0	0	0	1	1	88	88	0	88	88	88	0	88	0	0	88	0	0	88	0	1	88	0	0	0	1	88	0	1	88	88	1	88	88	8	7	6	3	4	1	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	88	88	5	6	7	8	88	88	88	88	88	88	CAFE	5	 	 	3	88	88	0	 	4	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	88	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	 	 	30/09/2015
305	PE03C05	20	3	0	30/09/2016	1	2	88	30/09/2016	08:35	260	1	150	1	88	 	180	6	88	 	0	0	1	1	0	0	 	3	0	0	1	1	1	0	0	0	0	0	0	0	1	1	88	0	1	88	0	0	88	88	0	0	88	0	0	0	0	0	88	1	0	88	0	88	0	1	3	88	1	88	88	6	7	2	1	7	88	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	3	88	4	6	7	8	88	88	88	88	88	88	MAIZ	10	 	 	5	88	88	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	 	 	 	0	1	0	0	 	 	30/09/2016
