PLACEID	RSID	AGERES	SEXRES	CAPAC
101	1	40	2	2
101	2	59	1	8
101	3	34	1	2
101	4	25	2	7
101	5	28	2	7
101	6	38	2	7
101	7	42	1	7
101	8	35	1	7
101	9	27	1	7
101	10	35	1	7
101	11	52	1	7
101	12	48	2	7
101	13	28	2	7
101	14	36	2	7
101	15	27	2	7
101	16	50	1	7
101	17	35	2	7
101	18	65	1	7
102	1	42	2	3
102	2	49	2	3
102	3	40	1	3
102	4	39	1	2
102	5	50	1	2
102	6	38	2	7
102	7	20	2	7
102	8	37	1	2
102	9	48	1	4
102	10	52	1	7
102	11	50	2	7
102	12	40	1	7
102	13	38	1	7
102	14	42	1	7
102	15	23	2	7
102	16	48	1	7
102	17	51	2	7
102	18	46	1	7
102	19	54	1	7
102	20	35	2	7
102	21	50	1	7
201	1	55	2	4
201	2	37	2	4
201	3	32	2	3
201	4	65	1	2
201	5	35	2	7
201	6	48	2	7
201	7	55	2	10
201	8	39	1	2
201	9	67	1	9
201	10	24	2	7
202	1	38	1	8
202	2	58	2	7
202	3	34	2	7
202	4	34	2	7
202	5	50	2	7
202	6	27	2	7
202	7	66	1	2
202	8	28	2	10
202	9	50	2	4
202	10	40	1	3
202	11	42	2	8
202	12	44	2	6
203	1	50	2	4
203	2	38	1	3
203	3	50	2	3
203	4	35	2	6
203	5	35	2	10
203	6	43	2	7
203	7	34	2	7
203	8	55	1	7
203	9	42	2	1
203	10	46	1	2
203	11	24	2	7
204	1	40	1	2
204	2	38	2	10
204	3	39	2	6
204	4	45	2	4
204	5	37	1	3
204	6	48	2	3
204	7	58	2	3
204	8	29	1	3
204	9	35	1	7
204	10	24	2	7
204	11	43	2	7
204	12	41	2	7
204	13	71	1	1
205	1	45	2	4
205	2	45	2	4
205	3	45	2	3
205	4	57	2	2
205	5	35	1	7
205	6	45	1	7
205	7	50	2	7
205	8	45	1	7
205	9	69	1	2
205	10	52	2	7
301	1	34	2	7
301	2	50	1	7
301	3	36	1	2
301	4	23	1	2
301	5	30	1	9
301	6	26	2	3
301	7	34	2	4
301	8	34	1	10
301	9	42	2	7
304	1	27	1	1
304	2	39	1	8
304	3	50	1	4
304	4	32	2	3
304	5	34	1	2
304	6	35	1	3
304	7	49	1	7
304	8	23	2	3
305	1	49	1	2
305	2	40	1	9
305	3	-79	1	2
305	4	42	2	7
305	5	35	2	4
305	6	24	2	7
305	7	23	2	3
305	8	42	2	7
306	1	51	1	4
306	2	55	1	9
306	3	40	1	2
306	4	35	1	2
306	5	59	2	7
306	6	35	1	7
306	7	36	2	7
306	8	42	1	2
306	9	81	1	7
306	10	28	1	3
307	1	33	2	4
307	2	64	1	9
307	3	42	1	2
307	4	44	2	10
307	5	45	2	7
307	6	42	2	7
307	7	81	1	7
307	8	28	1	3
308	1	36	1	2
308	2	49	1	7
308	3	50	1	7
308	4	54	1	4
308	5	27	2	2
308	6	49	1	7
308	7	28	1	3
