PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
101	1	5000	 	 
101	2	3000	 	 
101	3	-88	 	 
101	4	500	 	 
101	5	2000	 	 
101	6	-88	 	 
101	7	150	 	 
101	8	400	 	 
101	9	30	 	 
101	10	75	 	 
101	11	-88	 	 
101	12	-88	 	 
101	13	3000	 	 
101	14	50	 	 
102	1	-88	 	 
102	2	-88	 	 
102	3	-88	 	 
102	4	-88	 	 
102	5	-88	 	 
102	6	-88	 	 
102	7	-88	 	 
102	8	-88	 	 
102	9	30	 	 
102	10	-88	 	 
102	11	-88	 	 
102	12	-88	 	 
102	13	-88	 	 
102	14	40	 	 
201	1	2000	 	 
201	2	1000	 	 
201	3	2000	 	 
201	4	500	 	 
201	5	1500	 	 
201	6	200	 	 
201	7	200	 	 
201	8	250	 	 
201	9	20	 	 
201	10	-88	 	 
201	11	10	 	 
201	12	-88	 	 
201	13	1000	 	 
201	14	70	 	 
202	1	1500	 	 
202	2	700	 	 
202	3	-88	 	 
202	4	400	 	 
202	5	2000	 	 
202	6	120	 	 
202	7	120	 	 
202	8	600	 	 
202	9	20	 	 
202	10	20	 	 
202	11	15	 	 
202	12	-88	 	 
202	13	1500	 	 
202	14	20	 	 
203	1	1500	 	 
203	2	700	 	 
203	3	-88	 	 
203	4	150	 	 
203	5	-88	 	 
203	6	200	 	 
203	7	150	 	 
203	8	400	 	 
203	9	25	 	 
203	10	20	 	 
203	11	10	 	 
203	12	-88	 	 
203	13	700	 	 
203	14	30	 	 
204	1	-88	 	 
204	2	-88	 	 
204	3	-88	 	 
204	4	250	 	 
204	5	-88	 	 
204	6	180	 	 
204	7	180	 	 
204	8	250	 	 
204	9	25	 	 
204	10	-88	 	 
204	11	10	 	 
204	12	-88	 	 
204	13	-88	 	 
204	14	20	 	 
205	1	3500	 	 
205	2	1800	 	 
205	3	-88	 	 
205	4	400	 	 
205	5	1500	 	 
205	6	150	 	 
205	7	150	 	 
205	8	350	 	 
205	9	30	 	 
205	10	-88	 	 
205	11	-88	 	 
205	12	-88	 	 
205	13	2000	 	 
205	14	30	 	 
301	1	3000	 	 
301	2	1500	 	 
301	3	3500	 	 
301	4	500	 	 
301	5	2000	 	 
301	6	-88	 	 
301	7	-88	 	 
301	8	500	 	 
301	9	30	 	 
301	10	-88	 	 
301	11	10	 	 
301	12	-88	 	 
301	13	2000	 	 
301	14	1200	 	 
304	1	1800	 	 
304	2	1000	 	 
304	3	-88	 	 
304	4	700	 	 
304	5	2000	 	 
304	6	60	 	 
304	7	-88	 	 
304	8	500	 	 
304	9	20	 	 
304	10	-88	 	 
304	11	10	 	 
304	12	-88	 	 
304	13	2000	 	 
304	14	30	 	 
305	1	2500	 	 
