PLACEID	PRLDIDR5	AVLNDPRC	MNLNDPRC	MXLDNPRC
101	1	40000	 	 
101	2	-88	 	 
101	3	350	 	 
102	1	-8888	 	 
102	2	-8888	 	 
102	3	750	 	 
201	1	100000	 	 
201	2	50000	 	 
201	3	78	 	 
202	1	40000	 	 
202	2	10000	 	 
202	3	100	 	 
203	1	50000	 	 
203	2	-88	 	 
203	3	3	 	 
204	1	-77	45000	80000
204	2	-88	 	 
204	3	-77	150	200
205	1	80000	 	 
205	2	-88	 	 
205	3	50	 	 
301	1	40000	 	 
301	2	20000	 	 
301	3	20	 	 
304	1	40000	 	 
304	2	20000	 	 
304	3	3	 	 
305	1	10000	 	 
305	2	2500	 	 
305	3	30	 	 
306	1	30000	 	 
306	2	15000	 	 
306	3	60	 	 
307	1	12000	 	 
307	2	5000	 	 
307	3	20	 	 
308	1	30000	 	 
308	2	15000	 	 
308	3	25	 	 
309	1	20000	 	 
309	2	5000	 	 
309	3	10	 	 
310	1	15000	 	 
310	2	10000	 	 
310	3	10	 	 
311	1	20000	 	 
311	2	10000	 	 
311	3	50	 	 
312	1	20000	 	 
312	2	10000	 	 
312	3	15	 	 
313	1	10000	 	 
313	2	5000	 	 
313	3	52	 	 
314	1	25000	 	 
314	2	10000	 	 
314	3	40	 	 
401	1	-88	 	 
401	2	-77	5000	8000
401	3	70	 	 
402	1	-88	 	 
402	2	20000	 	 
402	3	40	 	 
403	1	-88	 	 
403	2	40000	 	 
403	3	60	 	 
404	1	-88	 	 
404	2	30000	 	 
404	3	100	 	 
405	1	-88	 	 
405	2	-77	5000	6000
405	3	15	 	 
406	1	-88	 	 
406	2	10000	 	 
406	3	10	 	 
408	1	-8888	 	 
408	2	20000	 	 
408	3	60	 	 
501	1	-88	 	 
501	2	3000	 	 
501	3	70	 	 
503	1	-88	 	 
503	2	-77	5000	10000
503	3	15.6000003814697	 	 
504	1	-88	 	 
504	2	-77	4000	5000
504	3	6.69999980926514	 	 
505	1	-88	 	 
505	2	3000	 	 
505	3	6	 	 
507	1	60000	 	 
507	2	3000	 	 
507	3	50	 	 
508	1	4000	 	 
508	2	-88	 	 
508	3	10	 	 
509	1	-77	40000	50000
509	2	-88	 	 
509	3	25	 	 
510	1	50000	 	 
510	2	-88	 	 
510	3	42	 	 
511	1	-88	 	 
511	2	6000	 	 
511	3	10	 	 
512	1	-88	 	 
512	2	8000	 	 
512	3	130	 	 
601	1	-88	 	 
601	2	-88	 	 
601	3	800	 	 
602	1	-88	 	 
602	2	-88	 	 
602	3	3000	 	 
701	1	-88	 	 
701	2	-88	 	 
701	3	3600	 	 
702	1	-88	 	 
702	2	-88	 	 
702	3	1500	 	 
703	1	-88	 	 
703	2	50000	 	 
703	3	1000	 	 
704	1	-88	 	 
704	2	-88	 	 
704	3	-77	1800	2600
801	1	-88	 	 
801	2	-88	 	 
801	3	762	 	 
802	1	-88	 	 
802	2	-88	 	 
802	3	 	 	 
803	1	-88	 	 
803	2	-88	 	 
803	3	150	 	 
901	1	60000	 	 
901	2	-88	 	 
901	3	25	 	 
902	1	60000	 	 
902	2	-88	 	 
902	3	15	 	 
903	1	40000	 	 
903	2	-88	 	 
903	3	20	 	 
904	1	-77	60000	80000
904	2	-88	 	 
904	3	15	 	 
905	1	60000	 	 
905	2	-88	 	 
905	3	-77	25	30
906	1	10000	 	 
906	2	-88	 	 
906	3	40	 	 
907	1	30000	 	 
907	2	-88	 	 
907	3	15	 	 
908	1	45000	 	 
908	2	-88	 	 
908	3	30	 	 
909	1	-77	80000	100000
909	2	-88	 	 
909	3	35	 	 
910	1	-77	60000	80000
910	2	-88	 	 
910	3	15	 	 
911	1	80000	 	 
911	2	88	 	 
911	3	10	 	 
912	1	40000	 	 
912	2	-88	 	 
912	3	20	 	 
1001	1	-88	 	 
1001	2	-88	 	 
1001	3	10000	 	 
1003	1	-88	 	 
1003	2	-88	 	 
1003	3	1500	 	 
1004	1	-88	 	 
1004	2	-88	 	 
1004	3	1000	 	 
1005	1	-88	 	 
1005	2	-88	 	 
1005	3	1500	 	 
1006	1	-88	 	 
1006	2	-88	 	 
1006	3	500	 	 
1101	1	50000	 	 
1101	2	-88	 	 
1101	3	20	 	 
1102	1	30000	 	 
1102	2	-88	 	 
1102	3	10	 	 
1103	1	6000	 	 
1103	2	-88	 	 
1103	3	30	 	 
1104	1	20000	 	 
1104	2	-88	 	 
1104	3	10	 	 
1105	1	20000	 	 
1105	2	-88	 	 
1105	3	15	 	 
1106	1	30000	 	 
1106	2	-88	 	 
1106	3	5	 	 
1107	1	20000	 	 
1107	2	-88	 	 
1107	3	-77	30	50
1108	1	20000	 	 
1108	2	-88	 	 
1108	3	10	 	 
1202	1	-88	 	 
1202	2	-88	 	 
1202	3	1500	 	 
1203	1	-88	 	 
1203	2	-88	 	 
1203	3	1500	 	 
1302	1	-88	 	 
1302	2	-88	 	 
1302	3	-77	100	250
1303	1	-88	 	 
1303	2	-88	 	 
1303	3	-77	84	167
1304	1	-88	 	 
1304	2	-88	 	 
1304	3	350	 	 
1402	1	-88	 	 
1402	2	-88	 	 
1402	3	-77	900	1500
1403	1	-88	 	 
1403	2	-88	 	 
1403	3	-77	1000	2500
1404	1	-88	 	 
1404	2	-88	 	 
1404	3	800	 	 
1501	1	-88	 	 
1501	2	-88	 	 
1501	3	40	 	 
1502	1	-88	 	 
1502	2	20000	 	 
1502	3	40	 	 
1503	1	-88	 	 
1503	2	1500	 	 
1503	3	30	 	 
1504	1	-88	 	 
1504	2	20000	 	 
1504	3	60	 	 
1505	1	-88	 	 
1505	2	-88	 	 
1505	3	-77	-77	-77
1506	1	20000	 	 
1506	2	20000	 	 
1506	3	15	 	 
1507	1	-77	-77	-77
1507	2	-77	-77	-77
1507	3	-77	-77	-77
1508	1	-77	-77	-77
1508	2	-88	 	 
1508	3	-77	-88	-88
1509	1	-88	 	 
1509	2	-88	 	 
1509	3	50	 	 
1601	1	-77	5000	8000
1601	2	-77	3000	4000
1601	3	-88	 	 
1602	1	-77	150000	300000
1602	2	-77	15000	10000
1602	3	-77	80	120
1603	1	7000	 	 
1603	2	3000	 	 
1603	3	-88	 	 
1604	1	70000	 	 
1604	2	8000	 	 
1604	3	20	 	 
1605	1	50000	 	 
1605	2	2000	 	 
1605	3	70	 	 
1606	1	20000	 	 
1606	2	10000	 	 
1606	3	10	 	 
1607	1	-88	 	 
1607	2	-88	 	 
1607	3	-88	 	 
1608	1	-88	 	 
1608	2	-88	 	 
1608	3	-88	 	 
1701	1	-77	20000	25000
1701	2	16000	 	 
1701	3	6	 	 
1702	1	-77	35000	40000
1702	2	12000	 	 
1702	3	-77	20	50
1703	1	35000	 	 
1703	2	6000	 	 
1703	3	30	 	 
1704	1	5000	 	 
1704	2	20000	 	 
1704	3	20	 	 
1705	1	-77	13000	20000
1705	2	3000	 	 
1705	3	-77	6	10
1708	1	15000	 	 
1708	2	1500	 	 
1708	3	20	 	 
1709	1	5000	 	 
1709	2	18000	 	 
1709	3	50	 	 
1710	1	30000	 	 
1710	2	-88	 	 
1710	3	-77	500	2000
1711	1	-77	15000	30000
1711	2	1000	 	 
1711	3	10	 	 
1801	1	15000	 	 
1801	2	2000	 	 
1801	3	-77	100	200
1802	1	20000	 	 
1802	2	2000	 	 
1802	3	50	 	 
1803	1	25000	 	 
1803	2	7000	 	 
1803	3	30	 	 
1804	1	10000	 	 
1804	2	4000	 	 
1804	3	30	 	 
1805	1	10000	 	 
1805	2	4000	 	 
1805	3	30	 	 
1806	1	20000	 	 
1806	2	2000	 	 
1806	3	50	 	 
1807	1	90000	 	 
1807	2	10000	 	 
1807	3	-77	800	1500
1901	1	300000	 	 
1901	2	-88	 	 
1901	3	700	 	 
1902	1	250000	 	 
1902	2	-88	 	 
1902	3	400	 	 
1903	1	250000	 	 
1903	2	-88	 	 
1903	3	50	 	 
1904	1	240000	 	 
1904	2	-88	 	 
1904	3	1000	 	 
1905	1	-77	140000	180000
1905	2	-88	 	 
1905	3	-77	50	100
2001	1	-88	 	 
2001	2	-88	 	 
2001	3	-77	500	800
2002	1	-88	 	 
2002	2	-88	 	 
2002	3	-88	 	 
2003	1	-88	 	 
2003	2	-88	 	 
2003	3	1000	 	 
2004	1	-88	 	 
2004	2	-88	 	 
2004	3	-77	800	9000
2005	1	-88	 	 
2005	2	-88	 	 
2005	3	800	 	 
2006	1	-88	 	 
2006	2	-88	 	 
2006	3	600	 	 
2007	1	-88	 	 
2007	2	-88	 	 
2007	3	150	 	 
2008	1	-88	 	 
2008	2	-88	 	 
2008	3	300	 	 
8002	1	-88	 	 
8002	2	-88	 	 
8002	3	450	 	 
8003	1	50000	 	 
8003	2	10000	 	 
8003	3	100	 	 
8004	1	40000	 	 
8004	2	18000	 	 
8004	3	133.300003051758	 	 
8006	1	-88	 	 
8006	2	25000	 	 
8006	3	120	 	 
8007	1	-88	 	 
8007	2	-88	 	 
8007	3	800	 	 
8008	1	-88	 	 
8008	2	15000	 	 
8008	3	-77	2000	5000
8009	1	70000	 	 
8009	2	-88	 	 
8009	3	-77	900	1500
8010	1	-88	 	 
8010	2	-88	 	 
8010	3	-77	600	800
8011	1	-88	 	 
8011	2	-88	 	 
8011	3	160	 	 
8012	1	70000	 	 
8012	2	-88	 	 
8012	3	-77	1000	1500
8014	1	-88	 	 
8014	2	-88	 	 
8014	3	180	 	 
8015	1	-77	60000	80000
8015	2	-88	 	 
8015	3	10	 	 
8016	1	-88	 	 
8016	2	-88	 	 
8016	3	30	 	 
8017	1	-88	 	 
8017	2	-88	 	 
8017	3	1500	 	 
8018	1	-88	 	 
8018	2	-88	 	 
8018	3	1500	 	 
8019	1	-88	 	 
8019	2	-88	 	 
8019	3	-77	1300	2500
8020	1	-88	 	 
8020	2	-88	 	 
8020	3	50	 	 
8021	1	75000	 	 
8021	2	-88	 	 
8021	3	-77	500	1500
8022	1	-88	 	 
8022	2	7000	 	 
8022	3	150	 	 
8023	1	-88	 	 
8023	2	30000	 	 
8023	3	40	 	 
8024	1	50000	 	 
8024	2	-88	 	 
8024	3	74	 	 
8025	1	50000	 	 
8025	2	-88	 	 
8025	3	150	 	 
8026	1	-88	 	 
8026	2	-88	 	 
8026	3	150	 	 
8027	1	-77	90000	330000
8027	2	-88	 	 
8027	3	-77	200	3000
8028	1	-88	 	 
8028	2	-88	 	 
8028	3	-77	3000	4500
8029	1	-88	 	 
8029	2	-88	 	 
8029	3	120	 	 
8030	1	-88	 	 
8030	2	-88	 	 
8030	3	450	 	 
8031	1	-88	 	 
8031	2	-88	 	 
8031	3	150	 	 
8032	1	30000	 	 
8032	2	-88	 	 
8032	3	40	 	 
8033	1	100000	 	 
8033	2	10000	 	 
8033	3	-77	1500	2500
8034	1	-88	 	 
8034	2	-88	 	 
8034	3	20	 	 
