PLACEID	DWAGIDR5	EARNMALE	EARNFMLE
202	1	-1111	-1111
202	2	35	-1111
202	3	-1111	-1111
202	4	30	-1111
302	1	-1111	-1111
302	2	12	-1111
302	3	30	-1111
302	4	-8888	-8888
304	1	-1111	0
304	2	25	-1111
304	3	40	-1111
304	4	-8888	-8888
305	1	-1111	-1111
305	2	25	-1111
305	3	35	-1111
305	4	-8888	-8888
309	1	-1111	-1111
309	2	24	24
309	3	40	-1111
309	4	-8888	-8888
310	1	-1111	0
310	2	-1111	-1111
310	3	-1111	-1111
310	4	-8888	-8888
311	1	-1111	-1111
311	2	10	10
311	3	30	-1111
311	4	-8888	-8888
312	1	-1111	-1111
312	2	15	-1111
312	3	35	-1111
312	4	-8888	-8888
313	1	-1111	-1111
313	2	25	-1111
313	3	50	-1111
313	4	-1111	-1111
314	1	-1111	-1111
314	2	25	-1111
314	3	40	-1111
314	4	-8888	-8888
404	1	-1111	-1111
404	2	20	20
404	3	-8888	-8888
404	4	-8888	-8888
405	1	-2222	-2222
405	2	30	30
405	3	60	-1111
405	4	-8888	-8888
406	1	-1111	-1111
406	2	25	25
406	3	50	-1111
406	4	-8888	-8888
503	1	-1111	-1111
503	2	20	20
503	3	20	-1111
503	4	-8888	-8888
505	1	-1111	-1111
505	2	20	20
505	3	30	-1111
505	4	-8888	-8888
506	1	-1111	-1111
506	2	20	20
506	3	-8888	-8888
506	4	-8888	-8888
507	1	-8888	-8888
507	2	15	15
507	3	-1111	-1111
507	4	-8888	-8888
601	1	-1111	-1111
601	2	40	-1111
601	3	60	-1111
601	4	40	-1111
701	1	-8888	-8888
701	2	-8888	-8888
701	3	40	-1111
701	4	20	-1111
702	1	-8888	-8888
702	2	-8888	-8888
702	3	50	-1111
702	4	35	-1111
703	1	-8888	-8888
703	2	-8888	-8888
703	3	40	-1111
703	4	30	-1111
707	1	-8888	-8888
707	2	-8888	-8888
707	3	50	-1111
707	4	30	-1111
708	1	-8888	-8888
708	2	-8888	-8888
708	3	60	-1111
708	4	40	-1111
709	1	-8888	-8888
709	2	-8888	-8888
709	3	80	-1111
709	4	60	50
710	1	-8888	-8888
710	2	-8888	-8888
710	3	60	-1111
710	4	40	-1111
711	1	40	-1111
711	2	25	-1111
711	3	60	-1111
711	4	30	-1111
712	1	-8888	-8888
712	2	-8888	-8888
712	3	50	-1111
712	4	30	-1111
713	1	-1111	-1111
713	2	-1111	-1111
713	3	60	-1111
713	4	30	30
714	1	-8888	-8888
714	2	-8888	-8888
714	3	50	-1111
714	4	40	40
715	1	-8888	-8888
715	2	0	-8888
715	3	40	-1111
715	4	30	-1111
716	1	-8888	-8888
716	2	-888	-8888
716	3	50	-1111
716	4	40	-1111
717	1	-8888	-8888
717	2	-8888	-8888
717	3	60	-1111
717	4	40	-1111
718	1	-8888	-8888
718	2	-8888	-8888
718	3	60	-1111
718	4	35	-1111
719	1	-8888	-8888
719	2	-8888	-8888
719	3	50	-1111
719	4	30	-1111
801	1	-8888	-8888
801	2	-8888	-8888
801	3	60	-1111
801	4	40	-1111
802	1	-8888	-8888
802	2	-8888	-8888
802	3	80	-1111
802	4	50	-1111
803	1	-8888	-8888
803	2	-8888	-8888
803	3	100	-1111
803	4	50	-1111
804	1	-8888	-8888
804	2	-8888	-8888
804	3	50	-1111
804	4	30	20
903	1	-8888	-8888
903	2	300	150
903	3	-8888	-8888
903	4	-8888	-8888
1004	1	-8888	-8888
1004	2	-8888	-8888
1004	3	-8888	-8888
1004	4	150	150
1005	1	-7777	-7777
1005	2	40	25
1005	3	-7777	-7777
1005	4	-7777	-7777
1104	1	20	-1111
1104	2	20	20
1104	3	-1111	-1111
1104	4	-1111	-1111
1201	1	-1111	-1111
1201	2	-1111	-1111
1201	3	50	-1111
1201	4	30	30
1202	1	-1111	-1111
1202	2	-1111	-1111
1202	3	50	-1111
1202	4	40	40
1203	1	-1111	-1111
1203	2	-1111	-1111
1203	3	40	-1111
1203	4	25	25
1204	1	-1111	-1111
1204	2	-1111	-1111
1204	3	40	-1111
1204	4	30	30
1205	1	-1111	-1111
1205	2	-1111	-1111
1205	3	40	-1111
1205	4	20	20
1207	1	-1111	-1111
1207	2	-1111	-1111
1207	3	25	30
1207	4	-1111	-1111
1208	1	-1111	-1111
1208	2	-1111	-1111
1208	3	30	-1111
1208	4	30	30
1210	1	-1111	-1111
1210	2	-1111	-1111
1210	3	50	-1111
1210	4	-1111	-1111
1213	1	-1111	-1111
1213	2	-1111	-1111
1213	3	40	40
1213	4	35	-1111
1215	1	-1111	-1111
1215	2	-1111	-1111
1215	3	50	-1111
1215	4	-1111	-1111
1216	1	-1111	-1111
1216	2	-1111	-1111
