PLACEID	RSID	CAPAC
202	1	4
202	2	3
202	3	3
202	4	2
202	5	2
202	6	7
202	7	7
302	1	7
302	2	2
302	3	8
302	4	9
302	5	6
302	6	3
302	7	7
304	1	4
304	2	10
304	3	2
304	4	9
304	5	2
304	6	7
305	1	10
305	2	10
305	3	2
309	1	9
309	2	4
309	3	7
309	4	2
309	5	3
310	1	2
310	2	9
310	3	10
310	4	4
310	5	3
311	1	10
311	2	10
311	3	2
311	4	9
311	5	4
311	6	7
311	7	3
312	1	2
312	2	10
312	3	9
312	4	3
312	5	7
313	1	2
313	2	7
313	3	4
314	1	7
314	2	2
314	3	2
314	4	3
314	5	3
404	1	10
404	2	10
404	3	10
405	1	4
405	2	2
405	3	7
405	4	7
406	1	2
406	2	2
406	3	10
406	4	3
503	1	1
503	2	2
503	3	7
503	4	3
505	1	4
505	2	6
505	3	6
505	4	2
505	5	10
505	6	7
506	1	3
506	2	10
506	3	2
506	4	2
507	1	10
507	2	4
507	3	10
507	4	7
507	5	7
507	6	7
601	1	3
601	2	1
601	3	4
601	4	7
601	5	7
701	1	9
701	2	9
701	3	10
701	4	7
702	1	2
702	2	2
702	3	9
702	4	10
702	5	7
702	6	10
702	7	3
703	1	3
703	2	10
703	3	7
703	4	9
703	5	9
703	6	10
707	1	9
707	2	9
707	3	10
707	4	7
707	5	10
707	6	4
707	7	10
708	1	7
708	2	10
708	3	9
708	4	9
709	1	9
709	2	9
709	3	7
710	1	3
710	2	3
710	3	9
710	4	9
710	5	10
710	6	10
711	1	10
711	2	7
711	3	10
711	4	10
712	1	9
712	2	10
712	3	10
712	4	10
712	5	10
713	1	9
713	2	9
713	3	9
713	4	9
713	5	7
714	1	10
714	2	7
714	3	9
714	4	9
715	1	10
715	2	10
715	3	3
715	4	7
715	5	10
716	1	3
716	2	10
716	3	10
716	4	10
716	5	7
716	6	10
717	1	10
717	2	10
717	3	10
717	4	9
718	1	9
718	2	7
718	3	7
719	1	10
719	2	3
719	3	3
719	4	10
719	5	10
719	6	7
801	1	9
801	2	10
801	3	3
801	4	3
801	5	7
801	6	10
801	7	7
802	1	9
802	2	9
802	3	9
802	4	10
802	5	7
803	1	10
803	2	10
803	3	10
803	4	7
803	5	7
804	1	9
804	2	9
804	3	4
804	4	9
804	5	2
804	6	7
804	7	7
903	1	6
903	2	7
903	3	10
1004	1	9
1004	2	7
1004	3	10
1005	1	10
1005	2	10
1005	3	10
1005	4	10
1104	1	10
1104	2	10
1104	3	9
1104	4	9
1104	5	9
1104	6	1
1201	1	8
1201	2	7
1201	3	8
1201	4	7
1202	1	10
1202	2	3
1202	3	9
1202	4	7
1203	1	8
1203	2	8
1203	3	8
1203	4	7
1203	5	10
1203	6	7
1204	1	8
1204	2	8
1204	3	8
1204	4	7
1204	5	7
1204	6	7
1204	7	7
1204	8	7
1204	9	7
1204	10	8
1204	11	8
1204	12	7
1205	1	8
1205	2	8
1205	3	8
1205	4	7
1205	5	8
1207	1	8
1207	2	8
1207	3	8
1207	4	7
1207	5	7
1207	6	7
1207	7	3
1207	8	4
1208	1	8
1208	2	8
1208	3	8
1208	4	7
1208	5	8
1208	6	7
1208	7	7
1208	8	8
1210	1	8
1210	2	8
1210	3	8
1210	4	7
1210	5	7
1210	6	10
1210	7	8
1210	8	7
