PLACEID	LCPRIDR5	ITEMPRC1	ITEMVND1	ITEMINF1
202	1	1.5	1	7
202	2	50	16	7
202	3	25	16	7
202	4	25	16	7
202	5	40	16	7
202	6	40	16	7
202	7	.699999988079071	10	3
202	8	.0299999993294477	10	3
202	9	.100000001490116	10	3
202	10	.0500000007450581	10	3
202	11	2	1	6
202	12	2.5	1	6
202	13	4	1	6
202	15	1.20000004768372	1	6
202	16	3.20000004768372	1	6
202	17	2.79999995231628	1	6
202	18	0	16	6
202	19	1	1	6
202	20	11	16	7
202	21	1.20000004768372	1	7
202	23	.400000005960464	1	7
202	24	5	16	6
202	25	1	1	6
202	27	10	1	7
202	28	13	1	7
202	29	8.5	1	7
202	30	3	1	7
202	32	16	1	6
202	33	7	1	6
202	34	1.20000004768372	1	6
202	35	2	1	6
202	36	5	1	6
202	37	0	16	7
202	38	1	16	7
202	39	.5	1	7
202	40	1	1	7
202	41	1.5	1	7
202	42	6	16	7
202	43	1.20000004768372	1	7
202	44	2	16	7
202	45	7	16	7
202	46	38	1	7
202	61	6	1	6
202	70	6	1	6
302	1	1.5	16	1
302	2	40	16	1
302	3	20	16	1
302	4	20	16	1
302	5	30	16	1
302	6	30	16	1
302	7	1	16	7
302	8	.100000001490116	16	7
302	9	.25	16	7
302	10	.200000002980232	16	7
302	11	1.5	16	1
302	12	2.29999995231628	1	1
302	13	0	16	1
302	15	1	16	1
302	16	3.5	16	1
302	17	2.20000004768372	16	1
302	18	0	16	1
302	19	1	1	1
302	20	10	16	1
302	21	1	1	1
302	23	.300000011920929	1	1
302	24	2	16	1
302	25	1.5	16	1
302	27	10	16	1
302	28	10	16	1
302	29	8	16	1
302	30	3.5	16	1
302	32	15	16	1
302	33	6	1	1
302	34	1	1	1
302	35	2	16	1
302	36	5	1	1
302	37	1	16	1
302	38	0	16	1
302	39	.300000011920929	1	1
302	40	2	16	1
302	41	2	16	1
302	42	0	16	1
302	43	1.5	16	1
302	44	2	16	1
302	45	7	16	1
302	46	38	16	1
302	61	6	16	1
302	70	8	16	1
304	1	2	16	2
304	2	60	16	2
304	3	25	16	2
304	4	25	16	2
304	5	30	16	2
304	6	25	16	2
304	7	1	16	6
304	8	.100000001490116	16	6
304	9	.25	16	6
304	10	.200000002980232	16	6
304	11	2	16	2
304	12	2.5	1	2
304	13	0	16	2
304	15	1	16	2
304	16	3	16	2
304	17	2.5	16	2
304	18	0	16	2
304	19	10	16	2
304	20	4	16	2
304	21	1	1	2
304	23	.300000011920929	1	2
304	24	2	1	2
304	25	1	1	2
304	27	10	16	2
304	28	12	16	2
304	29	13	16	2
304	30	5	16	2
304	32	10	1	2
304	33	6	16	2
304	34	1	16	2
304	35	2	16	2
304	36	5	1	2
304	37	1	16	2
304	38	0	16	2
304	39	.300000011920929	1	2
304	40	1.5	15	2
304	41	2	16	2
304	42	0	16	2
304	43	1	16	2
304	44	1.5	16	2
304	45	7	16	2
304	46	40	16	2
304	61	5.30000019073486	1	2
304	70	5	16	2
305	1	1.79999995231628	16	1
305	2	45	16	1
305	3	20	16	1
305	4	20	16	1
305	5	40	16	1
305	6	30	16	1
305	7	1	16	2
305	8	.100000001490116	16	2
305	9	.300000011920929	16	2
305	10	.25	16	2
305	11	1.5	16	1
305	12	2.5	16	1
305	13	0	16	1
305	15	.899999976158142	16	1
305	16	3	16	1
305	17	3	16	1
305	18	0	16	1
305	19	.5	16	1
305	20	8	16	1
305	21	1	1	1
305	23	.200000002980232	1	1
305	24	2	16	1
305	25	1	16	1
305	27	10	16	1
305	28	10	16	1
305	29	8	16	1
305	30	2.5	16	1
305	32	10	16	1
305	33	6	16	1
305	34	1	1	1
305	35	2	16	1
305	36	5	16	1
305	37	1	16	1
305	38	0	16	1
305	39	.300000011920929	1	1
305	40	1.5	16	1
305	41	3	16	1
305	42	0	16	1
305	43	1	16	1
305	44	3	16	1
305	45	7	16	1
305	46	40	16	1
305	61	5.30000019073486	16	1
305	70	6	16	1
309	1	1.5	16	3
309	2	40	16	3
309	3	20	16	3
309	4	20	16	3
309	5	30	16	3
309	6	30	16	3
309	7	.600000023841858	16	5
309	8	.0299999993294477	16	5
309	9	.300000011920929	16	5
309	10	.100000001490116	16	5
309	11	1.5	1	3
309	12	2.29999995231628	1	3
309	13	0	16	3
309	15	1	1	3
309	16	3	1	3
309	17	2.79999995231628	1	3
309	18	0	16	3
309	19	.5	1	3
309	20	3.5	1	3
309	21	1	1	3
309	23	.300000011920929	1	3
309	24	3	1	3
309	25	1.20000004768372	1	3
309	27	10	16	3
309	28	13	16	3
309	29	10	16	3
309	30	3.5	16	3
309	32	10	1	3
309	33	6	1	3
309	34	1	1	3
309	35	2	16	3
309	36	5	1	3
309	37	1	1	3
309	38	0	16	3
309	39	.300000011920929	1	3
309	40	1.5	1	3
309	41	2	16	3
309	42	0	16	3
309	43	1.5	16	3
309	44	2.5	16	3
309	45	7	16	3
309	46	35	16	3
309	61	5	1	3
309	70	7	16	3
310	1	1.79999995231628	16	3
310	2	40	16	3
310	3	20	16	3
310	4	20	16	3
310	5	30	16	3
310	6	35	16	3
310	7	.600000023841858	16	5
310	8	.0299999993294477	16	5
310	9	.300000011920929	16	5
310	10	.100000001490116	16	5
310	11	1	16	3
310	12	2.5	16	3
310	13	0	16	3
310	15	1	16	3
310	16	3	16	3
310	17	2.5	16	3
310	18	0	16	3
310	19	.5	16	3
310	20	5	16	3
310	21	1	16	3
310	23	2	16	3
310	24	2	16	3
310	25	1	16	3
310	27	10	16	3
310	28	11	16	3
310	29	0	16	3
310	30	2.5	16	3
310	32	10	16	3
310	33	6.5	16	3
310	34	1	16	3
310	35	2	16	3
310	36	5	16	3
310	37	1	16	3
310	38	0	16	3
310	39	.300000011920929	16	3
310	40	1.5	16	3
310	41	2	16	3
310	42	0	16	3
310	43	1	16	3
310	44	3	16	3
310	45	7	16	3
310	46	0	16	3
310	61	5.30000019073486	16	3
310	70	5	16	3
311	1	1.5	16	1
311	2	60	16	1
311	3	20	16	1
311	4	20	16	1
311	5	30	16	1
311	6	30	16	1
311	7	.600000023841858	16	7
311	8	.0299999993294477	16	7
311	9	.119999997317791	16	7
311	10	.0399999991059303	16	7
311	11	1	1	1
311	12	2	16	1
311	13	0	16	1
311	15	.800000011920929	16	1
311	16	3	1	1
311	17	2.79999995231628	1	1
311	18	0	16	1
311	19	1	1	1
311	20	6	16	1
311	21	1	1	1
311	23	.300000011920929	1	1
311	24	1.5	16	1
311	25	1.20000004768372	16	1
311	27	12	16	1
311	28	14	16	1
311	29	10	16	1
311	30	3	16	1
311	32	12	16	1
311	33	6	1	1
311	34	1	16	1
311	35	2	16	1
311	36	5	1	1
311	37	1	16	1
311	38	0	16	1
311	39	.400000005960464	1	1
311	40	2.5	16	1
311	41	2	16	1
311	42	0	16	1
311	43	1	16	1
311	44	3	16	1
311	45	5	16	1
311	46	40	16	1
311	61	5.80000019073486	1	1
311	70	7	16	1
312	1	1.79999995231628	16	2
312	2	45	16	2
312	3	15	16	2
312	4	15	16	2
312	5	35	16	2
312	6	35	16	2
312	7	1	16	5
312	8	.100000001490116	16	5
312	9	.25	16	5
312	10	.200000002980232	16	5
312	11	1.5	16	2
312	12	2.20000004768372	16	2
312	13	0	16	2
312	15	1	16	2
312	16	3.20000004768372	16	2
312	17	2.5	16	2
312	18	0	16	2
312	19	1	16	2
312	20	15	16	2
312	21	1.5	16	2
312	23	.200000002980232	16	2
312	24	3	16	2
312	25	1.20000004768372	16	2
312	27	10	16	2
312	28	12	16	2
312	29	7	16	2
312	30	3.5	16	2
312	32	15	16	2
312	33	6	16	2
312	34	1	16	2
312	35	2	16	2
312	36	5	16	2
312	37	1	16	2
312	38	0	16	2
312	39	.300000011920929	16	2
312	40	2	16	2
312	41	1.5	16	2
312	42	0	16	2
312	43	1.5	16	2
312	44	2	16	2
312	45	8	16	2
312	46	40	16	2
312	61	6	16	2
312	70	7	16	2
313	1	1	1	2
313	2	45	16	2
313	3	20	16	2
313	4	20	16	2
313	5	40	16	2
313	6	40	16	2
313	7	.5	16	3
313	8	.219999998807907	16	3
313	9	.300000011920929	16	3
313	10	.100000001490116	16	3
313	11	1.5	1	2
313	12	2.40000009536743	1	2
313	13	0	16	2
313	15	1	1	2
313	16	3.20000004768372	1	2
313	17	2.5	1	2
313	18	0	16	2
313	19	1	1	2
313	20	6	16	2
313	21	1.5	1	2
313	23	.300000011920929	1	2
313	24	2	1	2
313	25	1	1	2
313	27	9	1	2
313	28	10	1	2
313	29	8	16	2
313	30	3	1	2
313	32	10	1	2
313	33	6.5	1	2
313	34	1	1	2
313	35	2	16	2
313	36	5	1	2
