PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
202	1	13	2013	3	6	88	1	1	88	 
202	2	16	2013	3	15	88	1	0	 	 
202	3	13	2015	3	6	88	1	1	88	 
302	1	13	2014	4	6	88	2	1	88	 
302	2	16	2015	3	10	88	2	0	 	 
302	3	4	2016	3	4	10	1	1	88	 
304	1	11	2013	8	6	7	3	1	88	 
304	2	11	2014	8	6	7	3	1	88	 
304	3	11	2015	8	6	7	3	1	88	 
304	4	11	2016	8	6	7	3	1	88	 
305	1	16	2016	3	6	7	2	1	3	88
309	1	12	2016	4	6	88	2	0	 	 
310	1	4	2016	3	10	6	2	0	 	 
311	1	16	2014	3	19	10	2	3	88	 
311	2	16	2015	3	19	10	2	3	88	 
311	3	16	2016	3	19	10	2	3	88	 
312	1	16	2016	2	6	88	2	0	 	 
312	2	12	2016	4	6	88	3	0	 	 
313	1	4	2015	3	8	14	3	0	 	 
314	1	16	2014	3	10	88	2	0	 	 
314	2	16	2015	4	10	88	2	0	 	 
314	3	12	2015	11	5	88	1	0	 	 
503	1	16	2014	2	4	10	2	0	 	 
505	1	4	2013	11	8	88	1	1	88	 
506	1	11	2015	9	8	88	1	1	3	88
506	2	11	2016	9	8	88	2	1	3	88
507	1	10	2015	2	10	88	2	3	88	 
703	1	6	2015	4	8	88	1	1	3	88
710	1	14	2014	4	19	88	2	0	 	 
713	1	6	2014	2	6	7	2	4	88	 
903	1	10	2016	3	14	18	3	0	 	 
903	2	12	2016	4	15	5	1	0	 	 
903	3	7	2016	7	10	5	4	0	 	 
1228	1	13	2013	1	13	88	2	1	3	88
1228	2	4	2013	8	8	13	3	3	88	 
1505	1	3	2016	6	10	88	3	1	2	88
1507	1	13	2016	9	13	88	1	1	88	 
1510	1	6	2013	3	8	10	3	1	4	5
1510	2	6	2014	3	8	10	3	1	4	5
1510	3	6	2015	3	8	10	3	1	4	5
1510	4	6	2016	3	8	10	3	1	4	5
1511	1	6	2014	2	10	88	2	1	88	 
1511	2	13	2015	4	6	88	2	1	88	 
1511	3	16	2016	12	12	88	3	0	 	 
1601	1	3	2016	9	10	88	2	0	 	 
1601	2	7	2015	2	10	88	2	0	 	 
1601	3	6	2015	2	4	88	2	0	 	 
1801	1	3	2016	1	10	88	2	0	 	 
1801	2	7	2016	5	10	88	3	0	 	 
8008	1	3	2016	6	10	88	3	0	 	 
8008	2	12	2015	10	5	88	2	0	 	 
8008	3	13	2014	9	13	88	2	0	 	 
8008	4	13	2016	9	13	88	2	0	 	 
8012	1	13	2013	6	13	88	3	4	1	88
8014	1	4	2015	11	12	88	1	0	 	 
8020	1	16	2015	11	1	14	1	3	88	 
8029	1	7	2015	1	10	88	3	0	 	 
8037	1	16	2015	3	19	88	1	0	 	 
8039	1	16	2015	3	6	88	1	3	88	 
8064	1	12	2015	1	10	6	4	0	 	 
8064	2	7	2016	11	10	3	3	0	 	 
8064	3	7	2016	10	10	88	3	0	 	 
8064	4	8	2016	11	3	88	3	3	4	88
8070	1	10	2014	4	14	10	3	1	2	88
8079	1	13	2015	3	13	88	1	1	88	 
8079	2	13	2015	3	13	88	1	1	88	 
8079	3	6	2017	1	19	88	1	0	 	 
8129	1	13	2014	1	6	88	1	1	88	 
8129	2	13	2014	1	6	88	1	1	88	 
8141	1	13	2015	2	6	7	1	1	88	 
8142	1	3	2015	4	10	88	2	0	 	 
8145	1	13	2014	2	6	88	1	1	88	 
8145	2	13	2015	2	6	88	1	1	88	 
8145	3	13	2016	2	6	88	1	1	88	 
8146	1	13	2015	5	17	88	1	1	88	 
8148	1	7	16	1	5	10	3	0	 	 
8148	2	7	15	2	5	10	3	1	0	 
8148	3	7	14	1	5	10	3	0	 	 
8152	1	6	14	3	5	88	3	0	 	 
8152	2	7	15	5	10	88	4	0	 	 
8162	1	13	2015	9	6	7	1	1	88	 
8162	2	13	2016	10	6	7	1	1	88	 
8166	1	10	2014	6	10	88	3	1	88	 
8166	2	3	2014	3	10	88	2	0	 	 
8169	1	10	2014	1	10	6	3	0	 	 
8169	2	10	2015	1	10	6	3	0	 	 
8177	1	11	2013	6	8	88	1	0	 	 
8180	1	13	2014	2	6	88	1	1	88	 
8180	2	13	2015	2	6	88	1	1	88	 
8181	1	6	2013	4	10	6	2	0	 	 
8181	2	12	2013	5	5	6	2	0	 	 
8181	3	6	2014	3	10	6	2	0	 	 
8181	4	12	2014	5	5	6	2	0	 	 
8181	5	6	2015	5	10	6	2	0	 	 
8181	6	12	2015	5	5	6	2	0	 	 
8181	7	6	2016	3	10	6	2	0	 	 
8186	1	3	2016	3	10	88	3	0	 	 
8193	1	13	2015	5	13	88	2	1	88	 
8198	1	12	2014	5	5	88	1	0	 	 
8198	2	14	2015	3	9	88	1	0	 	 
8202	1	16	2014	1	6	8	1	1	88	 
8202	2	16	2015	1	6	8	1	1	88	 
8202	3	16	2016	1	6	8	1	1	88	 
8205	1	4	2015	4	10	6	1	0	 	 
