PLACEID	PLPRIDR5	PRBAFCT
202	1	88
202	2	88
202	3	88
202	4	88
202	5	88
202	6	88
202	7	88
202	8	2
202	9	1
202	10	88
202	11	2
202	12	2
202	13	88
202	14	1
202	15	1
302	1	88
302	2	88
302	3	88
302	4	88
302	5	88
302	6	88
302	7	88
302	8	2
302	9	2
302	10	88
302	11	88
302	12	2
302	13	88
302	14	88
302	15	88
304	1	88
304	2	88
304	3	88
304	4	2
304	5	88
304	6	0
304	7	88
304	8	0
304	9	2
304	10	88
304	11	88
304	12	0
304	13	88
304	14	1
304	15	88
305	1	88
305	2	88
305	3	0
305	4	0
305	5	88
305	6	0
305	7	88
305	8	2
305	9	1
305	10	88
305	11	88
305	12	2
305	13	88
305	14	0
305	15	88
309	1	88
309	2	88
309	3	88
309	4	88
309	5	88
309	6	88
309	7	88
309	8	2
309	9	1
309	10	88
309	11	88
309	12	1
309	13	88
309	14	2
309	15	88
310	1	88
310	2	88
310	3	0
310	4	0
310	5	88
310	6	0
310	7	88
310	8	2
310	9	0
310	10	88
310	11	88
310	12	0
310	13	88
310	14	1
310	15	88
311	1	88
311	2	88
311	3	88
311	4	88
311	5	88
311	6	88
311	7	88
311	8	2
311	9	2
311	10	88
311	11	88
311	12	2
311	13	88
311	14	88
311	15	88
312	1	88
312	2	88
312	3	88
312	4	88
312	5	88
312	6	88
312	7	88
312	8	2
312	9	2
312	10	88
312	11	88
312	12	2
312	13	88
312	14	88
312	15	88
313	1	0
313	2	0
313	3	0
313	4	88
313	5	88
313	6	1
313	7	88
313	8	1
313	9	1
313	10	88
313	11	0
313	12	0
313	13	88
313	14	1
313	15	88
314	1	88
314	2	88
314	3	0
314	4	0
314	5	88
314	6	0
314	7	88
314	8	2
314	9	2
314	10	88
314	11	0
314	12	2
314	13	0
314	14	0
314	15	88
404	1	88
404	2	88
404	3	88
404	4	88
404	5	88
404	6	88
404	7	88
404	8	1
404	9	88
404	10	88
404	11	88
404	12	2
404	13	88
404	14	2
404	15	88
405	1	88
405	2	88
405	3	0
405	4	2
405	5	88
405	6	0
405	7	88
405	8	2
405	9	0
405	10	88
405	11	0
405	12	0
405	13	0
405	14	0
405	15	1
406	1	88
406	2	88
406	3	0
406	4	0
406	5	88
406	6	0
406	7	0
406	8	1
406	9	0
406	10	88
406	11	0
406	12	0
406	13	0
406	14	0
406	15	88
503	1	88
503	2	88
503	3	88
503	4	88
503	5	88
503	6	88
503	7	88
503	8	0
503	9	88
503	10	88
503	11	88
503	12	0
503	13	88
503	14	2
503	15	88
505	1	88
505	2	88
505	3	1
505	4	1
505	5	88
505	6	88
505	7	88
505	8	0
505	9	1
505	10	88
505	11	88
505	12	2
505	13	88
505	14	2
505	15	88
506	1	88
506	2	88
506	3	0
506	4	0
506	5	88
506	6	0
506	7	88
506	8	2
506	9	2
506	10	88
506	11	88
506	12	0
506	13	88
506	14	0
506	15	88
507	1	88
507	2	88
507	3	88
507	4	88
507	5	88
507	6	88
507	7	88
507	8	88
507	9	2
507	10	88
507	11	88
507	12	2
507	13	88
507	14	88
507	15	88
601	1	88
601	2	88
601	3	88
601	4	88
601	5	88
601	6	88
601	7	88
601	8	2
601	9	2
601	10	88
601	11	2
601	12	2
601	13	88
601	14	2
601	15	88
701	1	88
701	2	1
701	3	0
701	4	0
701	5	0
701	6	0
701	7	0
701	8	0
701	9	0
701	10	88
701	11	0
701	12	0
701	13	0
701	14	0
701	15	0
702	1	88
702	2	0
702	3	1
702	4	0
702	5	0
702	6	1
702	7	0
702	8	0
702	9	0
702	10	88
702	11	0
702	12	0
702	13	0
702	14	0
702	15	88
703	1	88
703	2	0
703	3	1
703	4	0
703	5	0
703	6	0
703	7	0
703	8	0
703	9	0
703	10	88
703	11	0
703	12	0
703	13	0
703	14	0
703	15	88
707	1	88
707	2	0
707	3	0
707	4	0
707	5	0
707	6	0
707	7	0
707	8	0
707	9	88
707	10	88
707	11	0
707	12	0
707	13	0
707	14	0
707	15	88
708	1	0
708	2	0
708	3	0
708	4	0
708	5	0
708	6	0
708	7	0
708	8	0
708	9	0
708	10	0
708	11	0
708	12	0
708	13	0
708	14	0
708	15	0
709	1	88
709	2	1
709	3	0
709	4	0
709	5	0
709	6	0
709	7	0
709	8	0
709	9	1
709	10	88
709	11	0
709	12	0
709	13	0
709	14	1
709	15	88
710	1	88
710	2	0
710	3	0
710	4	0
710	5	0
710	6	0
710	7	0
710	8	0
710	9	0
710	10	88
710	11	0
710	12	0
710	13	0
710	14	0
710	15	88
711	1	88
711	2	0
711	3	0
711	4	0
711	5	0
711	6	0
711	7	0
711	8	0
711	9	2
711	10	88
711	11	0
711	12	0
711	13	0
711	14	0
711	15	88
712	1	88
712	2	0
712	3	0
712	4	0
712	5	0
712	6	0
712	7	0
712	8	0
712	9	0
712	10	88
712	11	0
712	12	0
712	13	0
712	14	0
712	15	88
713	1	88
713	2	1
713	3	0
713	4	0
713	5	1
713	6	2
713	7	2
713	8	0
713	9	2
713	10	88
713	11	0
713	12	0
713	13	0
713	14	1
713	15	88
714	1	88
714	2	1
714	3	0
714	4	0
714	5	0
714	6	0
714	7	0
714	8	0
714	9	0
714	10	88
714	11	0
714	12	0
714	13	0
714	14	1
714	15	88
715	1	88
715	2	0
715	3	0
715	4	0
715	5	0
715	6	0
715	7	0
715	8	0
715	9	0
715	10	88
715	11	0
715	12	0
715	13	0
715	14	0
715	15	88
716	1	88
716	2	1
716	3	0
716	4	0
716	5	0
716	6	0
716	7	0
716	8	0
716	9	0
716	10	88
716	11	0
716	12	0
716	13	0
716	14	0
716	15	88
717	1	88
717	2	0
717	3	0
717	4	0
717	5	0
717	6	0
717	7	0
717	8	0
717	9	0
717	10	88
717	11	0
717	12	0
717	13	1
717	14	0
717	15	88
718	1	88
718	2	0
718	3	0
718	4	0
718	5	0
718	6	0
718	7	0
718	8	0
718	9	1
718	10	88
718	11	0
718	12	0
718	13	0
718	14	0
718	15	88
719	1	88
719	2	0
719	3	0
719	4	0
719	5	0
719	6	0
719	7	0
719	8	0
719	9	0
719	10	88
719	11	0
719	12	0
719	13	0
719	14	0
719	15	88
801	1	0
801	2	0
801	3	0
801	4	0
801	5	0
801	6	0
801	7	0
801	8	0
801	9	0
801	10	0
801	11	0
801	12	0
801	13	0
801	14	0
801	15	88
802	1	88
802	2	0
802	3	0
802	4	0
802	5	0
802	6	0
802	7	0
802	8	0
802	9	0
802	10	88
802	11	0
802	12	0
802	13	0
802	14	0
802	15	1
803	1	88
803	2	0
803	3	0
803	4	0
803	5	0
803	6	0
803	7	0
803	8	0
803	9	0
803	10	88
803	11	0
803	12	0
803	13	0
803	14	0
803	15	0
804	1	88
804	2	0
804	3	0
804	4	0
804	5	0
804	6	0
804	7	0
804	8	0
804	9	2
804	10	0
804	11	0
804	12	0
804	13	0
804	14	0
804	15	0
903	1	88
903	2	1
903	3	2
903	4	0
903	5	88
903	6	88
903	7	88
903	8	88
903	9	0
903	10	88
903	11	88
903	12	2
903	13	88
903	14	88
903	15	88
1004	1	0
1004	2	0
1004	3	0
1004	4	0
1004	5	0
1004	6	1
1004	7	1
1004	8	1
1004	9	1
1004	10	0
1004	11	0
1004	12	0
1004	13	0
1004	14	1
1004	15	88
1005	1	0
1005	2	0
1005	3	1
1005	4	0
1005	5	0
1005	6	0
1005	7	0
1005	8	0
1005	9	1
1005	10	0
1005	11	0
1005	12	0
1005	13	0
1005	14	0
1005	15	0
1104	1	0
1104	2	0
1104	3	1
1104	4	0
1104	5	0
1104	6	0
1104	7	0
1104	8	1
1104	9	1
1104	10	0
1104	11	0
1104	12	1
1104	13	0
1104	14	1
1104	15	0
1201	1	0
1201	2	0
1201	3	0
1201	4	0
1201	5	0
1201	6	0
1201	7	0
1201	8	0
1201	9	0
1201	10	0
1201	11	0
1201	12	0
1201	13	0
1201	14	0
1201	15	1
1202	1	0
1202	2	0
1202	3	0
1202	4	0
1202	5	0
1202	6	0
1202	7	2
1202	8	1
1202	9	0
1202	10	0
1202	11	0
1202	12	0
1202	13	0
1202	14	2
1202	15	0
1203	1	0
1203	2	0
1203	3	0
1203	4	0
1203	5	0
1203	6	1
1203	7	2
1203	8	1
1203	9	2
1203	10	0
1203	11	0
1203	12	0
1203	13	1
1203	14	1
1203	15	88
1204	1	0
1204	2	0
1204	3	0
1204	4	0
1204	5	0
1204	6	2
1204	7	2
1204	8	2
1204	9	0
1204	10	0
1204	11	2
1204	12	0
1204	13	2
1204	14	0
1204	15	88
1205	1	0
1205	2	0
1205	3	0
1205	4	0
1205	5	0
1205	6	1
1205	7	0
1205	8	1
1205	9	0
1205	10	0
1205	11	0
1205	12	0
1205	13	0
1205	14	1
1205	15	88
1207	1	0
1207	2	0
1207	3	0
1207	4	0
1207	5	0
1207	6	0
1207	7	0
1207	8	2
1207	9	2
1207	10	0
1207	11	0
1207	12	0
1207	13	0
1207	14	0
1207	15	0
1208	1	88
1208	2	88
1208	3	88
1208	4	88
1208	5	88
1208	6	1
1208	7	1
1208	8	2
1208	9	0
1208	10	0
1208	11	1
1208	12	88
1208	13	1
1208	14	2
1208	15	88
1210	1	88
1210	2	88
1210	3	88
1210	4	88
1210	5	88
1210	6	2
1210	7	2
1210	8	1
1210	9	2
1210	10	88
1210	11	2
1210	12	88
1210	13	2
1210	14	2
1210	15	88
1213	1	88
1213	2	88
1213	3	88
1213	4	88
1213	5	88
1213	6	1
1213	7	1
1213	8	1
1213	9	0
1213	10	0
1213	11	0
1213	12	0
1213	13	1
1213	14	2
1213	15	88
1215	1	0
1215	2	0
1215	3	0
1215	4	0
1215	5	0
1215	6	0
1215	7	0
1215	8	2
1215	9	0
1215	10	0
1215	11	0
1215	12	0
1215	13	0
1215	14	0
1215	15	1
1216	1	0
1216	2	0
1216	3	0
1216	4	0
1216	5	0
1216	6	0
1216	7	0
1216	8	2
1216	9	0
1216	10	0
1216	11	0
1216	12	0
1216	13	0
1216	14	0
1216	15	88
1217	1	0
1217	2	0
1217	3	0
1217	4	0
1217	5	0
1217	6	0
1217	7	1
1217	8	0
1217	9	0
1217	10	0
1217	11	0
1217	12	0
1217	13	0
1217	14	0
1217	15	1
1219	1	0
1219	2	0
1219	3	0
1219	4	0
1219	5	0
1219	6	2
1219	7	2
1219	8	1
1219	9	0
1219	10	0
1219	11	0
1219	12	0
1219	13	0
1219	14	0
1219	15	88
1220	1	0
1220	2	0
1220	3	0
1220	4	0
1220	5	0
1220	6	0
1220	7	0
1220	8	0
1220	9	0
1220	10	0
1220	11	0
1220	12	0
1220	13	0
1220	14	0
1220	15	0
1223	1	0
1223	2	0
1223	3	0
1223	4	0
1223	5	0
1223	6	0
1223	7	0
1223	8	2
1223	9	0
