PLACEID	SERVIDR5	SERVAVLB
202	1	0
202	2	1
202	3	88
202	4	0
202	5	0
202	6	0
202	7	1
202	8	0
202	9	1
202	10	1
202	11	0
202	12	1
202	13	1
202	14	1
202	15	1
202	16	0
202	17	1
202	18	0
202	19	0
202	20	0
202	21	0
202	22	0
202	23	0
202	24	1
202	25	0
202	27	0
202	28	88
202	29	1
202	30	1
202	31	0
202	32	1
202	33	1
202	34	1
202	35	1
302	1	0
302	2	1
302	3	88
302	4	0
302	5	0
302	6	0
302	7	0
302	8	0
302	9	0
302	10	0
302	11	0
302	12	0
302	13	1
302	14	1
302	15	0
302	16	0
302	17	0
302	18	0
302	19	0
302	20	0
302	21	0
302	22	0
302	23	0
302	24	1
302	25	0
302	27	0
302	28	0
302	29	0
302	30	1
302	31	0
302	32	1
302	33	0
302	34	0
302	35	0
304	1	1
304	2	1
304	3	0
304	4	0
304	5	0
304	6	0
304	7	0
304	8	0
304	9	1
304	10	0
304	11	0
304	12	0
304	13	1
304	14	1
304	15	0
304	16	0
304	17	0
304	18	0
304	19	0
304	20	0
304	21	0
304	22	1
304	23	0
304	24	1
304	25	0
304	27	0
304	28	88
304	29	0
304	30	1
304	31	0
304	32	1
304	33	0
304	34	0
304	35	0
305	1	0
305	2	1
305	3	88
305	4	0
305	5	0
305	6	0
305	7	1
305	8	0
305	9	0
305	10	0
305	11	0
305	12	0
305	13	1
305	14	1
305	15	0
305	16	0
305	17	0
305	18	0
305	19	0
305	20	0
305	21	0
305	22	0
305	23	0
305	24	1
305	25	0
305	27	0
305	28	88
305	29	0
305	30	0
305	31	0
305	32	1
305	33	0
305	34	0
305	35	0
309	1	0
309	2	1
309	3	88
309	4	0
309	5	0
309	6	0
309	7	0
309	8	0
309	9	1
309	10	1
309	11	0
309	12	0
309	13	1
309	14	1
309	15	0
309	16	0
309	17	0
309	18	0
309	19	0
309	20	0
309	21	0
309	22	0
309	23	0
309	24	0
309	25	88
309	27	0
309	28	0
309	29	0
309	30	1
309	31	0
309	32	1
309	33	1
309	34	0
309	35	0
310	1	0
310	2	1
310	3	88
310	4	0
310	5	0
310	6	0
310	7	0
310	8	0
310	9	1
310	10	0
310	11	0
310	12	0
310	13	1
310	14	0
310	15	0
310	16	0
310	17	0
310	18	0
310	19	0
310	20	0
310	21	0
310	22	0
310	23	0
310	24	0
310	25	0
310	27	0
310	28	88
310	29	0
310	30	1
310	31	0
310	32	1
310	33	1
310	34	0
310	35	0
311	1	0
311	2	1
311	3	88
311	4	0
311	5	0
311	6	1
311	7	0
311	8	0
311	9	1
311	10	0
311	11	0
311	12	0
311	13	1
311	14	1
311	15	0
311	16	0
311	17	0
311	18	0
311	19	0
311	20	0
311	21	0
311	22	0
311	23	0
311	24	0
311	25	0
311	27	0
311	28	88
311	29	0
311	30	1
311	31	0
311	32	1
311	33	1
311	34	0
311	35	0
312	1	0
312	2	1
312	3	88
312	4	0
312	5	0
312	6	0
312	7	0
312	8	0
312	9	0
