CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
18001	1	1	2	2	2
18001	2	8	5	5	5
18002	1	1	1	1	1
18004	1	1	1	2	2
18005	1	1	1	2	1
18006	1	1	2	2	2
18007	1	1	1	2	2
18008	1	1	2	2	2
18008	2	8	4	4	4
18009	1	1	1	1	1
18010	1	1	3	3	3
18011	1	1	2	2	2
18012	1	1	1	1	1
18012	2	8	3	3	3
18013	1	1	2	2	2
18015	1	1	2	2	2
18016	1	1	2	2	2
18017	1	1	2	2	1
18018	1	1	2	2	2
18019	1	1	2	2	2
18020	1	1	1	1	1
18020	2	8	3	3	3
18021	1	1	2	2	2
18022	1	1	1	1	1
18024	1	1	2	2	2
18024	2	13	4	3	3
18025	1	1	1	1	1
18025	2	2	4	4	4
18026	1	1	1	1	1
18027	1	1	2	2	2
18028	1	1	1	2	2
18029	1	1	1	1	1
18030	1	1	2	2	2
18032	1	1	2	2	2
18034	1	1	1	1	1
18034	2	8	3	2	2
18035	1	1	2	2	1
18036	1	1	2	1	2
18036	2	8	3	3	4
18037	1	1	1	2	2
18037	2	8	3	3	3
18039	1	1	2	2	2
18040	1	1	2	2	2
18040	2	8	3	3	3
18041	1	1	3	3	3
18042	1	1	2	2	2
18042	2	8	4	4	4
18044	1	1	2	2	1
18045	1	1	2	2	2
18046	1	1	2	2	2
18047	1	1	2	2	2
18048	1	1	2	2	2
18049	1	1	2	2	2
18050	1	1	1	1	2
18050	2	13	3	2	3
18050	3	8	4	3	4
28001	1	1	3	3	3
28002	1	1	1	1	1
28003	1	1	1	1	1
28003	2	8	3	3	3
28004	1	1	1	2	1
28006	1	1	1	1	1
28007	1	1	1	1	1
28008	1	1	2	2	1
28009	1	1	2	2	2
28010	1	1	2	2	2
28011	1	1	1	2	2
28012	1	1	3	3	3
28013	1	1	2	2	3
28014	1	1	2	2	2
28015	1	1	2	1	2
28016	1	1	1	2	2
28017	1	1	2	2	2
28018	1	1	1	2	2
28020	1	1	2	2	2
28020	2	8	3	3	4
28022	1	1	2	2	2
28023	1	2	1	1	1
28023	2	1	2	2	2
28024	1	1	2	2	2
28025	1	1	2	3	2
38002	1	1	2	2	2
38003	1	1	2	3	3
38004	1	1	2	5	5
38005	1	1	2	2	2
38006	1	1	1	1	1
38008	1	1	1	1	2
38010	1	1	2	2	2
38014	1	1	2	2	2
38015	1	1	3	2	2
38015	2	9	3	3	3
38015	3	8	3	3	3
38016	1	1	2	2	2
38017	1	1	2	2	2
38019	1	1	2	2	2
38020	1	1	2	2	2
38021	1	1	1	1	1
38022	1	1	3	3	3
38023	1	1	2	2	2
38024	1	1	2	2	2
38025	1	1	3	2	2
48001	1	1	1	2	1
48002	1	1	2	2	2
48003	1	1	3	3	3
48004	1	1	2	2	2
48005	1	1	1	1	1
48006	1	1	2	2	2
48007	1	1	2	2	2
48009	1	1	2	2	2
48011	1	20	5	5	5
48014	1	1	2	3	2
48015	1	1	2	2	2
48016	1	1	2	2	2
48017	1	1	2	2	2
48019	1	1	2	2	2
48020	1	1	2	2	2
48021	1	1	1	1	1
48022	1	1	2	2	2
48023	1	1	2	2	2
48024	1	1	2	2	1
48025	1	1	2	2	2
48026	1	1	2	2	2
58002	1	1	3	2	2
58003	1	1	1	1	1
58004	1	1	2	2	2
58007	1	1	1	1	1
58008	1	1	2	2	2
58011	1	1	1	2	2
58012	1	1	2	2	2
58013	1	1	2	2	2
58014	1	1	2	2	2
58015	1	1	2	2	2
