CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
18001	1	51	 	1	2016	1	N	N	Y	N	Y	N	N	Y	Y	N	N	13	88	1	7
18004	1	51	 	2	2013	0	N	N	N	N	Y	N	N	Y	N	N	N	13	16	1	1
18009	1	51	 	1	2016	4	N	N	N	N	N	N	N	N	N	N	N	4	88	1	1
18011	1	51	 	1	2015	0	N	N	N	N	Y	N	Y	N	N	N	N	16	88	1	4
18017	1	51	 	1	2015	0	Y	 	 	 	 	 	 	 	 	 	 	11	24	1	4
18022	1	51	 	1	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	13	88	1	1
18025	1	51	 	5	2014	28	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
18025	2	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	1
18028	1	51	 	4	2014	8	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
18028	2	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
18029	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	1
18030	1	51	 	5	2016	3	N	N	N	N	N	N	N	Y	N	N	N	35	22	1	3
18030	2	51	 	5	2016	0	N	N	N	N	N	N	N	Y	N	N	N	35	5	1	1
18038	1	51	 	5	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	23	88	1	3
18039	1	51	 	5	2016	4	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
18039	2	51	 	5	2015	0	N	Y	Y	Y	N	N	N	N	N	N	N	6	88	1	1
18040	1	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
28004	1	51	 	5	2016	0	N	N	N	N	N	N	Y	N	N	N	N	1	88	1	4
28007	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
28009	1	51	 	8	2014	0	N	N	N	N	Y	N	N	Y	N	N	N	11	88	1	1
28010	1	51	 	1	2015	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	1	4
28016	1	51	 	2	2015	18	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
28017	1	51	 	1	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	13	16	1	3
38001	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	13	88	1	7
38002	1	51	 	5	2016	5	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
38002	2	51	 	5	2016	0	N	N	Y	Y	N	N	N	N	N	N	N	35	88	1	1
38003	1	51	 	3	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	35	88	1	7
38006	1	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
38008	1	51	 	3	2014	0	N	N	N	N	Y	N	N	N	N	N	N	11	16	1	7
38010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38011	1	51	 	3	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
38014	1	51	 	3	2013	0	N	N	N	Y	N	N	N	N	N	N	N	5	1	1	2
38015	1	51	 	3	2013	15	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
38015	2	51	 	3	2015	12	Y	 	 	 	 	 	 	 	 	 	 	1	22	1	1
38015	3	51	 	3	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	2	1	4
38016	1	51	 	3	2012	0	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
38021	1	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	7
38023	1	51	 	3	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
38025	1	51	 	3	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
48001	1	51	 	5	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	4	88	0	 
48004	1	51	 	2	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	2	1	2
48010	1	51	 	3	2013	20	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
48010	2	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
48011	1	51	 	4	2013	0	N	Y	Y	Y	N	N	N	N	N	N	N	17	88	0	 
48014	1	51	 	5	2013	10	N	N	Y	Y	N	N	N	N	N	N	N	2	13	1	7
48014	2	51	 	3	2014	0	N	N	N	N	Y	N	N	Y	N	N	N	11	9	1	3
48015	1	51	 	5	2014	0	N	Y	Y	Y	N	N	N	N	N	N	N	2	8	0	 
48016	1	51	 	3	2015	0	N	Y	N	N	N	N	N	Y	N	N	N	13	88	1	7
48017	1	51	 	2	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
48020	1	51	 	3	2013	36	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
48021	1	51	 	1	2015	4	N	N	N	N	N	N	N	N	Y	N	N	1	88	1	4
48021	2	51	 	1	2016	8	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	7
48021	3	51	 	1	2016	0	N	N	N	N	Y	N	N	N	Y	N	N	13	9	0	 
