CHILDCODE	TRANIDR4	TYPTRNR5	DELTRNR5	PAYTRNR5	DURTTLR5	RQATTDR5	TRNCMPR5	DURATTR5	CRTDIPR5
18001	1	2	2	0	1	5	1	 	0
18008	1	1	7	1	50	3	1	 	1
18008	2	1	1	0	0	1	1	 	1
18021	1	1	7	0	12	1	1	 	1
18028	1	1	2	1	16	2	0	8	1
18037	1	1	5	0	1	3	1	 	 
18040	1	1	3	0	2	7	1	 	1
18050	1	1	3	1	1	3	1	 	1
28004	1	2	3	0	6	6	0	2	0
28017	1	1	2	1	24	5	1	 	1
28020	1	1	3	0	4	1	1	 	0
28021	1	1	3	0	1	2	1	 	0
28024	1	1	3	1	3	3	1	 	1
38015	1	1	2	1	32	3	1	 	1
48021	1	2	3	1	1	7	1	 	1
48021	2	1	3	1	6	6	1	 	0
58007	1	1	1	0	4	7	1	 	0
58016	1	1	2	0	12	2	1	 	1
58030	1	3	5	0	2	7	1	 	 
68008	1	1	3	0	1	7	1	 	1
68009	1	1	3	0	1	7	1	 	0
68016	1	1	2	1	1	3	1	 	1
68023	1	1	1	0	12	5	0	8	0
78006	1	1	3	0	3	3	1	 	0
78008	1	1	3	0	2	5	1	 	0
78009	1	1	1	0	16	1	0	16	1
78016	1	1	1	0	1	3	1	 	1
78016	2	1	2	1	24	1	1	 	1
78017	1	1	1	0	4	5	1	 	1
78018	1	1	3	0	1	7	1	 	1
78020	1	1	3	0	1	3	1	 	0
78030	1	1	3	0	1	7	1	 	1
78032	1	2	5	0	6	6	1	 	 
78036	1	1	2	0	24	5	1	 	1
78051	1	1	3	0	1	5	1	 	0
78052	1	1	3	0	2	3	1	 	0
88010	1	1	3	1	8	5	1	 	0
88012	1	1	1	0	4	6	1	 	1
88022	1	1	3	0	5	5	1	 	0
88024	1	1	3	1	1	5	1	 	1
88026	1	1	3	0	4	5	1	 	0
98001	1	1	3	1	1	5	1	 	0
98008	1	1	2	1	2	6	1	 	1
98014	1	1	7	0	1	1	1	 	1
108003	1	1	2	1	3	5	1	 	1
108009	1	1	1	0	2	6	1	 	1
108021	1	1	1	0	2	1	1	 	1
108023	1	1	3	1	1	7	1	 	1
108026	1	1	3	0	1	3	1	 	1
118018	1	1	1	0	30	5	0	1	0
118018	2	1	2	1	48	5	1	 	1
128003	1	1	3	0	1	5	1	 	0
128012	1	1	2	1	2	6	1	 	1
128016	1	1	2	0	12	5	0	12	0
128019	1	1	2	1	24	2	1	 	1
128019	2	1	2	1	12	2	1	 	1
128019	3	1	2	1	12	2	1	 	1
128024	1	1	3	0	3	5	1	 	0
128024	2	1	3	0	4	6	1	 	1
128026	1	1	6	0	1	7	1	 	 
128032	1	1	3	0	2	4	1	 	1
128038	1	1	6	0	1	6	1	 	 
128051	1	1	3	0	8	5	1	 	0
138016	1	1	5	0	6	6	1	 	 
138023	1	1	3	1	3	2	1	 	1
138029	1	1	3	0	36	3	1	 	1
138029	2	2	7	1	1	3	1	 	1
138033	1	1	1	0	3	1	1	 	1
138040	1	2	6	0	1	7	1	 	 
138041	1	2	5	0	8	1	1	 	 
138042	1	1	1	0	30	2	1	 	1
138045	1	2	3	0	15	5	1	 	0
138047	1	1	2	1	1	5	1	 	1
138047	2	1	1	0	1	4	1	 	1
138051	1	1	3	0	1	6	1	 	1
148001	1	3	5	0	1	3	1	 	 
148016	1	2	6	0	2	5	1	 	 
148019	1	1	3	0	1	5	1	 	1
148020	1	1	7	1	24	2	0	16	1
148024	1	1	3	0	2	6	1	 	1
148025	1	2	3	0	12	7	1	 	0
148028	1	1	5	0	6	5	1	 	 
148043	1	1	1	0	1	7	1	 	1
148044	2	1	3	0	1	6	1	 	0
158007	1	1	3	0	1	2	0	1	0
158009	1	1	1	0	2	2	1	 	1
158010	1	1	1	0	4	1	0	2	1
158011	1	1	3	0	2	6	1	 	0
158013	1	1	1	0	3	2	1	 	1
158015	1	 	 	 	 	 	 	 	 
158023	1	1	1	0	6	4	1	 	1
158033	1	1	3	0	4	3	1	 	1
158035	1	3	2	0	0	3	1	 	0
158038	1	1	3	0	30	2	1	 	1
158047	1	1	3	0	5	5	1	 	1
158051	1	1	3	1	32	1	0	12	1
158052	1	1	3	0	5	3	1	 	0
158056	1	1	3	0	1	3	1	 	1
168001	1	1	3	1	3	2	1	 	1
168009	1	1	1	0	4	2	1	 	0
178021	1	1	7	1	24	3	1	 	0
178027	1	1	3	0	1	4	1	 	1
188010	1	2	4	0	4	3	1	 	0
188015	1	1	3	1	12	3	1	 	1
188015	2	1	3	1	8	3	1	 	1
188025	1	1	3	1	40	2	1	 	0
198007	1	1	3	1	16	2	1	 	1
198008	1	1	3	1	10	3	1	 	1
198012	1	1	3	1	24	5	1	 	0
198017	1	1	3	0	1	5	1	 	1
208009	1	4	1	0	12	5	1	 	0
208012	1	1	3	0	24	2	0	24	0
208025	1	1	7	1	16	3	1	 	1
208026	1	1	7	0	1	5	1	 	1
208033	1	1	3	0	1	5	1	 	1
208037	1	3	3	0	16	5	1	 	1
208041	1	1	3	0	4	1	1	 	1
208041	2	1	3	0	4	1	1	 	1
208042	1	2	6	1	2	7	1	 	 
208049	1	1	2	1	1	5	1	 	1
