CHILDCODE	FVVLIDR5	FVVALR5	SLVALR5
18001	1	6	15000
18001	2	7	10000
18001	3	4	2000
18001	4	21	500
18001	5	26	300
18002	1	6	36000
18002	2	21	500
18002	3	26	500
18002	4	10	400
18002	5	12	200
18003	1	7	3000
18003	2	25	500
18003	3	26	300
18003	4	4	100
18003	5	24	50
18004	1	25	800
18004	2	4	500
18004	3	21	300
18004	4	24	150
18004	5	12	100
18005	1	7	1500
18005	2	24	500
18005	3	4	200
18005	4	12	50
18005	5	22	50
18006	1	10	2000
18006	2	21	1200
18006	3	11	800
18006	4	12	500
18006	5	4	500
18007	1	11	800
18007	2	4	300
18007	3	12	150
18007	4	98	 
18007	5	98	 
18008	1	7	3000
18008	2	11	1500
18008	3	4	1200
18008	4	24	1200
18008	5	10	800
18009	1	24	2000
18009	2	4	1500
18009	3	11	700
18009	4	12	600
18009	5	23	200
18010	1	4	300
18010	2	11	200
18010	3	23	100
18010	4	12	100
18010	5	10	100
18011	1	24	200
18011	2	12	150
18011	3	4	100
18011	4	23	80
18011	5	10	70
18012	1	26	800
18012	2	21	500
18012	3	11	500
18012	4	5	400
18012	5	10	250
18013	1	4	1000
18013	2	11	300
18013	3	12	200
18013	4	24	200
18013	5	25	100
18015	1	7	2000
18015	2	4	300
18015	3	10	200
18015	4	12	150
18015	5	22	20
18016	1	6	500
18016	2	7	500
18016	3	26	500
18016	4	10	300
18016	5	11	200
18017	1	4	50
18017	2	12	50
18017	3	25	30
18017	4	98	 
18017	5	98	 
18018	1	7	2500
18018	2	4	1000
18018	3	21	800
18018	4	24	500
18018	5	12	300
18019	1	7	1500
18019	2	4	500
18019	3	12	200
18019	4	24	200
18019	5	10	80
18020	1	4	1500
18020	2	7	1000
18020	3	26	500
18020	4	21	500
18020	5	24	500
18021	1	26	600
18021	2	4	550
18021	3	11	500
18021	4	10	300
18021	5	12	200
18022	1	4	600
18022	2	10	250
18022	3	12	100
18022	4	24	50
18022	5	23	40
18023	1	4	700
18023	2	26	700
18023	3	21	600
18023	4	11	600
18023	5	12	500
18024	1	7	4000
18024	2	21	1500
18024	3	11	1000
18024	4	4	800
18024	5	31	300
18025	1	6	21000
18025	2	7	6000
18025	3	4	800
18025	4	11	400
18025	5	5	250
18026	1	7	2500
18026	2	4	500
18026	3	12	100
18026	4	10	100
18026	5	23	80
18027	1	6	5000
18027	2	4	1500
18027	3	11	1000
18027	4	10	800
18027	5	3	600
18028	1	11	300
18028	2	12	150
18028	3	10	100
18028	4	4	100
18028	5	23	30
18029	1	4	800
18029	2	24	650
18029	3	11	600
18029	4	10	350
18029	5	12	200
18030	1	11	2500
18030	2	24	1000
18030	3	21	1000
18030	4	4	1000
18030	5	10	300
18032	1	6	5000
18032	2	11	700
18032	3	12	700
18032	4	10	300
18032	5	4	150
18034	1	4	2500
