CHILDCODE	IMEVIDR5	RKEVR5	PR2013R5	PR2014R5	PR2015R5	PR2016R5
18001	1	12	 	4	4	4
18001	2	98	 	 	 	 
18001	3	98	 	 	 	 
18002	1	37	 	4	 	 
18002	2	39	 	4	 	 
18002	3	98	 	 	 	 
18003	1	5	 	 	 	4
18003	2	12	 	 	4	4
18003	3	38	 	 	4	 
18004	1	41	 	 	1	 
18004	2	40	1	 	 	 
18004	3	98	 	 	 	 
18005	1	41	 	1	 	 
18005	2	98	 	 	 	 
18005	3	98	 	 	 	 
18006	1	98	 	 	 	 
18006	2	98	 	 	 	 
18006	3	98	 	 	 	 
18007	1	25	 	4	 	 
18007	2	98	 	 	 	 
18007	3	98	 	 	 	 
18008	1	38	 	2	 	 
18008	2	98	 	 	 	 
18008	3	98	 	 	 	 
18009	1	40	2	 	 	 
18009	2	98	 	 	 	 
18009	3	98	 	 	 	 
18010	1	25	 	 	 	3
18010	2	98	 	 	 	 
18010	3	98	 	 	 	 
18011	1	98	 	 	 	 
18011	2	98	 	 	 	 
18011	3	98	 	 	 	 
18012	1	42	2	 	 	 
18012	2	98	 	 	 	 
18012	3	98	 	 	 	 
18013	1	37	 	 	2	 
18013	2	98	 	 	 	 
18013	3	98	 	 	 	 
18015	1	41	 	4	 	 
18015	2	42	 	2	2	2
18015	3	98	 	 	 	 
18016	1	25	2	2	2	2
18016	2	98	 	 	 	 
18016	3	98	 	 	 	 
18017	1	62	 	 	 	3
18017	2	98	 	 	 	 
18017	3	98	 	 	 	 
18018	1	98	 	 	 	 
18018	2	98	 	 	 	 
18018	3	98	 	 	 	 
18019	1	41	 	 	 	2
18019	2	98	 	 	 	 
18019	3	98	 	 	 	 
18020	1	39	 	 	 	3
18020	2	41	 	 	 	2
18020	3	69	 	 	2	 
18021	1	98	 	 	 	 
18021	2	98	 	 	 	 
18021	3	98	 	 	 	 
18022	1	2	 	 	 	2
18022	2	39	 	 	 	2
18022	3	98	 	 	 	 
18023	1	98	 	 	 	 
18023	2	98	 	 	 	 
18023	3	98	 	 	 	 
18024	1	38	 	2	 	 
18024	2	98	 	 	 	 
18024	3	98	 	 	 	 
18025	1	62	 	 	4	4
18025	2	98	 	 	 	 
18025	3	98	 	 	 	 
18026	1	45	 	 	4	4
18026	2	42	 	 	2	 
18026	3	98	 	 	 	 
18027	1	98	 	 	 	 
18027	2	98	 	 	 	 
18027	3	98	 	 	 	 
18028	1	25	 	 	3	3
18028	2	29	 	 	4	4
18028	3	98	 	 	 	 
18029	1	98	 	 	 	 
18029	2	98	 	 	 	 
