CHILDCODE	DNFDIDR4	DONTYPR5	DONRCVR5	DONAMTR5	DONMSRR5	DONPRCR5	PRCMSRR5
11004	1	10	70	1	5	2	5
11006	1	10	200	2	8	.5	8
11006	2	10	160	1	5	3	5
11008	1	10	180	1	5	2	5
11010	1	1	200	1	6	1.5	6
11010	2	9	200	1	7	.200000002980232	7
11011	1	1	200	3	6	9	6
11011	2	10	200	1	2	8	2
11011	3	3	1	1	2	5	2
11012	1	10	180	1	5	1.5	5
11012	2	15	5	4	2	3	2
11013	1	1	200	3	6	1.5	6
11013	2	10	200	3	5	.5	7
11016	1	9	200	2	7	.300000011920929	7
11016	2	1	200	2	6	1.5	6
11016	3	15	48	4	2	5	2
11016	4	10	48	6	9	4	9
11017	1	10	80	1	8	1.5	8
11017	2	10	80	1	7	1	7
11022	1	1	200	1	6	1.5	6
11022	2	10	200	1	7	.5	7
11024	1	1	60	1	6	1	6
11024	2	9	60	1	7	.5	7
11026	1	1	200	2	6	1.79999995231628	6
11026	2	9	200	1	7	.5	7
11026	3	10	40	1	7	.5	7
11030	1	1	100	1	6	1.5	6
11030	2	9	100	1	7	.200000002980232	7
11030	3	10	100	1	7	.5	7
11033	1	1	200	2	6	1.5	6
11033	2	9	200	2	7	.200000002980232	7
11033	3	10	240	2	7	1	7
11034	1	1	200	1	6	1.5	6
11034	2	9	200	1	7	.150000005960464	7
11036	1	1	240	1	6	1	6
11036	2	9	240	1	7	.200000002980232	7
11036	3	10	40	1	7	.5	7
11038	1	10	80	1	5	1	5
11040	1	1	200	1	6	2	6
11040	2	10	200	1	7	.5	7
11040	3	10	120	1	7	1	7
11042	1	1	200	2	6	3	6
11042	2	9	200	2	7	.200000002980232	7
11042	3	10	200	2	7	2	7
11044	1	1	200	1	6	1	6
11044	2	10	100	1	7	.200000002980232	7
11044	3	9	100	1	7	.5	7
11046	1	1	200	1	7	2	6
11046	2	10	200	1	7	.5	7
11050	1	7	12	12	2	6	2
11053	1	1	210	2	6	1	6
11053	2	10	210	2	7	.5	7
11060	1	10	2	1	9	5	9
11065	1	7	4	3	2	14	2
11065	2	1	200	2	1	3	1
11066	1	1	200	1	6	1	6
11066	2	10	100	1	7	.100000001490116	7
11066	3	9	100	1	7	.200000002980232	7
11067	1	1	200	1	6	1.5	6
11067	2	10	200	1	7	.5	7
11071	1	1	175	1	6	1.5	6
11071	2	9	175	1	7	.200000002980232	7
11076	1	1	200	1	6	1.70000004768372	6
11076	2	10	50	1	7	.400000005960464	7
11076	3	9	100	1	7	.150000005960464	6
11076	4	9	50	1	7	.5	7
11077	1	9	200	1	7	.200000002980232	7
11077	2	10	200	1	7	.5	7
11077	3	9	200	1	7	.5	7
11078	1	1	250	1	6	1.79999995231628	6
11078	2	9	250	1	7	.200000002980232	7
11078	3	7	250	1	7	.5	7
11080	1	1	175	1	6	1.5	6
11080	2	10	175	1	7	.5	7
11086	1	1	174	2	6	1	6
11086	2	9	174	2	7	1	7
11088	1	10	200	1	5	2	5
11091	1	10	200	1	7	1	7
11091	2	1	200	1	6	1	6
11093	1	1	80	1	6	1.5	6
11093	2	9	80	1	7	1	7
11096	1	15	1	20	7	.200000002980232	7
11100	1	1	200	2	6	1.70000004768372	6
11100	2	9	200	2	7	.200000002980232	7
11100	3	10	40	2	7	.5	7
21001	1	10	40	1	8	1.5	8
21001	2	10	40	1	8	1.5	8
21001	3	10	40	1	9	4	9
21001	4	10	40	1	8	1.5	8
21001	5	9	40	1	7	.5	7
21001	6	10	40	1	7	1	7
21001	7	10	40	1	9	4	9
21001	8	10	40	1	8	2	8
21001	9	9	40	1	7	.5	7
21002	1	3	35	1	8	1	8
21002	2	10	35	1	5	2.5	5
21002	3	10	25	1	5	2	5
21002	4	7	20	1	5	2	5
21004	1	3	40	1	8	1	8
21004	2	10	40	1	5	2	5
21004	3	10	40	1	5	2	5
21004	4	10	40	1	8	1.5	5
21004	5	10	40	1	9	1.5	9
21006	1	10	48	1	5	3	5
21006	2	9	72	1	8	1.5	8
21006	3	9	72	1	7	.5	7
21007	1	1	6	24	6	3	6
21007	2	3	6	6	2	2	2
21008	1	10	200	1	8	1.5	8
21008	2	10	40	1	5	2	5
21008	3	10	40	1	5	1	5
21008	4	9	200	1	7	.5	7
21009	1	1	36	3	6	10.5	6
21009	2	3	36	3	4	9	4
21011	1	10	40	1	5	3	5
21011	2	10	40	1	5	3	5
21011	3	1	120	1	8	1	8
21012	1	3	400	2	8	2	8
21012	2	10	400	2	8	2	8
21012	3	10	400	2	5	1.5	5
21012	4	10	400	2	5	1.5	5
21012	5	10	400	2	5	.5	5
21012	6	9	400	2	7	.5	7
21013	1	10	40	1	8	2	8
21013	2	10	40	1	5	2	5
21013	3	10	40	1	5	2	5
21013	4	10	40	1	8	.5	8
21013	5	10	40	1	8	1	8
21014	1	10	80	2	8	1	8
21014	2	10	80	2	9	3	9
21015	1	10	100	2	5	1	5
21015	2	10	180	2	8	1	8
21019	1	10	48	1	5	3	5
21019	2	10	172	1	8	1	8
21019	3	9	172	1	7	.5	7
21021	1	10	40	1	5	1	5
21021	2	10	40	1	5	3	5
21021	3	10	40	1	5	3	5
21021	4	10	40	1	5	1	5
21021	5	9	40	1	7	.5	7
21023	1	10	40	2	5	1	5
21023	2	10	40	2	8	2	8
21023	3	10	40	2	9	2	9
21023	4	10	40	2	9	2	9
21023	5	10	40	2	5	1.5	5
21023	6	9	40	2	7	.5	7
21024	1	10	75	1	8	2	8
21024	2	10	75	1	8	1.5	8
21024	3	10	75	1	9	5	9
21024	4	9	75	1	7	.5	7
21024	5	15	8	200	7	.100000001490116	7
21024	6	15	4	20	7	2	7
21027	1	15	5	25	7	.200000002980232	7
21028	1	10	40	1	5	2	5
21028	2	10	40	1	5	2	5
21028	3	1	120	1	8	1	8
21029	1	10	14	2	8	2	8
21029	2	10	48	1	5	2.5	5
21031	1	10	120	2	8	1	8
21031	2	9	120	2	7	.5	7
21031	3	10	80	2	5	1.5	5
21032	1	10	300	1	5	5	5
21032	2	10	300	1	5	6	5
21032	3	10	300	1	5	3	5
21032	4	10	300	1	5	5	5
21033	1	9	120	1	7	.5	7
21033	2	10	120	1	8	1	8
21033	3	10	80	1	5	1	9
21035	1	9	120	1	7	.5	7
21035	2	10	40	1	8	1	8
21035	3	10	40	1	9	2	9
21035	4	10	40	1	9	1	9
21035	5	10	40	1	8	1	8
21035	6	10	40	1	8	1	8
21036	1	3	80	2	8	1	8
21036	2	10	80	2	5	1	5
21036	3	10	80	2	5	1.5	5
21036	4	9	80	2	7	1	7
21036	5	10	80	2	5	1	5
21037	1	1	3	3	7	3.79999995231628	7
21037	2	3	1	1	2	3.20000004768372	2
21038	1	10	6	1	2	5	2
21038	2	1	6	4	6	3	6
21038	3	10	50	1	8	1.5	8
21038	4	10	50	1	8	1.5	8
21038	5	10	50	1	9	3	9
21038	6	10	50	1	9	3	9
21039	1	1	40	1	8	1	8
21039	2	3	40	1	8	1	8
21039	3	9	40	1	10	.5	10
21039	4	10	40	1	9	2	9
21040	1	3	80	2	8	.5	8
21040	2	10	80	2	5	2	5
21040	3	10	80	2	5	2	5
21040	4	9	80	2	7	1.5	7
21040	5	10	80	2	5	1	5
21040	6	9	80	2	7	.5	7
21041	1	10	40	1	5	7	5
21041	2	10	40	1	5	7	5
21041	3	10	40	1	8	2	8
21041	4	9	40	1	7	.5	7
21042	1	10	200	1	5	2	5
21044	1	10	80	2	8	1	8
21044	2	9	80	2	7	.699999988079071	7
21044	3	10	120	2	9	7.5	9
21046	1	10	80	2	5	2	5
21046	2	10	80	2	5	3	5
21046	3	10	240	2	8	1	8
21047	1	10	40	1	8	2	8
21047	2	10	40	1	9	3	8
21047	3	10	40	1	8	1	8
21047	4	10	40	1	7	1	7
21047	5	10	40	1	9	3	9
21047	6	10	40	1	8	2	8
21049	1	1	3	2.5	6	3	6
21049	2	3	3	.5	2	3	2
21051	1	10	96	1	8	1	8
21051	2	9	96	1	7	.5	7
21051	4	10	32	2	5	5	5
21051	6	5	32	1	3	2	3
21054	1	1	120	1	8	3	8
21056	1	10	72	1	5	2	5
21056	2	10	108	1	8	1	8
21056	3	9	108	1	7	.5	7
21057	1	10	4	1	5	3	5
21058	1	10	40	1	9	2	9
21058	2	10	40	1	8	1	8
21058	3	10	40	1	5	.5	8
21058	4	9	40	1	7	.5	7
21059	1	10	80	1	7	1	7
21059	2	9	120	1	7	.5	7
21059	3	10	120	1	7	1	7
21060	1	10	50	1	8	1	8
21060	2	10	50	1	9	3	9
21062	1	1	12	2	6	3.5	6
21062	2	3	12	2	4	1.79999995231628	4
21062	3	10	80	1	9	3	9
21062	4	10	120	1	8	1.5	8
21062	5	9	120	1	7	.5	7
21064	1	15	5	50	2	30	2
21064	2	15	5	7	2	1	2
21064	3	15	5	3	2	2	2
21064	4	15	10	24	7	.100000001490116	7
21065	1	10	185	1	8	2	8
21065	2	9	185	1	7	.5	7
21065	3	15	4	50	2	100	2
21066	1	15	32	1	5	1	5
21066	2	3	192	1	8	1	8
21066	3	9	192	1	10	.5	10
21066	4	8	32	1	9	2	9
21066	5	7	32	1	5	1	5
21067	1	3	2	1	4	3	4
21067	2	10	2	3	8	.5	8
21068	1	1	1248	1	8	1	8
21068	2	3	48	1	8	1	8
21068	3	8	48	1	8	1	8
21068	4	9	96	1	10	.699999988079071	10
21068	5	10	48	1	9	1.20000004768372	9
21068	6	7	48	1	5	1.20000004768372	5
21069	1	10	185	2	8	2	8
21069	2	9	185	2	7	.300000011920929	7
