CHILDCODE	LVSKIDR5	AYANR5	NMAMR5	VLAMR5
11001	1	 	 	 
11001	2	 	 	 
11001	6	 	 	 
11001	9	 	 	 
11001	13	 	 	 
11001	14	 	 	 
11001	15	 	 	 
11001	16	 	 	 
11001	17	 	 	 
11001	51	 	 	 
11001	52	 	 	 
11001	53	 	 	 
11001	54	 	 	 
11001	55	 	 	 
11001	56	 	 	 
11001	57	 	 	 
11001	58	 	 	 
11002	1	 	 	 
11002	2	 	 	 
11002	6	 	 	 
11002	9	 	 	 
11002	13	 	 	 
11002	14	 	 	 
11002	15	 	 	 
11002	16	 	 	 
11002	17	 	 	 
11002	51	 	 	 
11002	52	 	 	 
11002	53	 	 	 
11002	54	 	 	 
11002	55	 	 	 
11002	56	 	 	 
11002	57	 	 	 
11002	58	 	 	 
11003	1	 	 	 
11003	2	 	 	 
11003	6	 	 	 
11003	9	 	 	 
11003	13	 	 	 
11003	14	 	 	 
11003	15	 	 	 
11003	16	 	 	 
11003	17	 	 	 
11003	51	 	 	 
11003	52	 	 	 
11003	53	 	 	 
11003	54	 	 	 
11003	55	 	 	 
11003	56	 	 	 
11003	57	 	 	 
11003	58	 	 	 
11004	1	0	 	 
11004	2	0	 	 
11004	6	0	 	 
11004	9	0	 	 
11004	13	0	 	 
11004	14	0	 	 
11004	15	0	 	 
11004	16	1	2	50
11004	17	0	 	 
11004	51	0	 	 
11004	52	0	 	 
11004	53	0	 	 
11004	54	0	 	 
11004	55	0	 	 
11004	56	0	 	 
11004	57	0	 	 
11004	58	0	 	 
11005	1	 	 	 
11005	2	 	 	 
11005	6	 	 	 
11005	9	 	 	 
11005	13	 	 	 
11005	14	 	 	 
11005	15	 	 	 
11005	16	 	 	 
11005	17	 	 	 
11005	51	 	 	 
11005	52	 	 	 
11005	53	 	 	 
11005	54	 	 	 
11005	55	 	 	 
11005	56	 	 	 
11005	57	 	 	 
11005	58	 	 	 
11006	1	 	 	 
11006	2	 	 	 
11006	6	 	 	 
11006	9	 	 	 
11006	13	 	 	 
11006	14	 	 	 
11006	15	 	 	 
11006	16	 	 	 
11006	17	 	 	 
11006	51	 	 	 
11006	52	 	 	 
11006	53	 	 	 
11006	54	 	 	 
11006	55	 	 	 
11006	56	 	 	 
11006	57	 	 	 
11006	58	 	 	 
11007	1	 	 	 
11007	2	 	 	 
11007	6	 	 	 
11007	9	 	 	 
11007	13	 	 	 
11007	14	 	 	 
11007	15	 	 	 
11007	16	 	 	 
11007	17	 	 	 
11007	51	 	 	 
11007	52	 	 	 
11007	53	 	 	 
11007	54	 	 	 
11007	55	 	 	 
11007	56	 	 	 
11007	57	 	 	 
11007	58	 	 	 
11008	1	 	 	 
11008	2	 	 	 
11008	6	 	 	 
11008	9	 	 	 
11008	13	 	 	 
11008	14	 	 	 
11008	15	 	 	 
11008	16	 	 	 
11008	17	 	 	 
11008	51	 	 	 
11008	52	 	 	 
11008	53	 	 	 
11008	54	 	 	 
11008	55	 	 	 
11008	56	 	 	 
11008	57	 	 	 
11008	58	 	 	 
11009	1	 	 	 
11009	2	 	 	 
11009	6	 	 	 
11009	9	 	 	 
11009	13	 	 	 
11009	14	 	 	 
11009	15	 	 	 
11009	16	 	 	 
11009	17	 	 	 
11009	51	 	 	 
11009	52	 	 	 
11009	53	 	 	 
11009	54	 	 	 
11009	55	 	 	 
11009	56	 	 	 
11009	57	 	 	 
11009	58	 	 	 
11010	1	 	 	 
11010	2	 	 	 
11010	6	 	 	 
11010	9	 	 	 
11010	13	 	 	 
11010	14	 	 	 
11010	15	 	 	 
11010	16	 	 	 
11010	17	 	 	 
11010	51	 	 	 
11010	52	 	 	 
11010	53	 	 	 
11010	54	 	 	 
11010	55	 	 	 
11010	56	 	 	 
11010	57	 	 	 
11010	58	 	 	 
11011	1	 	 	 
11011	2	 	 	 
11011	6	 	 	 
11011	9	 	 	 
11011	13	 	 	 
11011	14	 	 	 
11011	15	 	 	 
11011	16	 	 	 
11011	17	 	 	 
11011	51	 	 	 
11011	52	 	 	 
11011	53	 	 	 
11011	54	 	 	 
11011	55	 	 	 
11011	56	 	 	 
11011	57	 	 	 
11011	58	 	 	 
11012	1	0	 	 
11012	2	0	 	 
11012	6	0	 	 
11012	9	0	 	 
11012	13	0	 	 
11012	14	0	 	 
11012	15	0	 	 
11012	16	1	18	500
11012	17	0	 	 
11012	51	0	 	 
11012	52	0	 	 
11012	53	0	 	 
11012	54	0	 	 
11012	55	0	 	 
11012	56	0	 	 
11012	57	0	 	 
11012	58	0	 	 
11013	1	 	 	 
11013	2	 	 	 
11013	6	 	 	 
11013	9	 	 	 
11013	13	 	 	 
11013	14	 	 	 
11013	15	 	 	 
11013	16	 	 	 
11013	17	 	 	 
11013	51	 	 	 
11013	52	 	 	 
11013	53	 	 	 
11013	54	 	 	 
11013	55	 	 	 
11013	56	 	 	 
11013	57	 	 	 
11013	58	 	 	 
11014	1	0	 	 
11014	2	0	 	 
11014	6	0	 	 
11014	9	0	 	 
11014	13	0	 	 
11014	14	0	 	 
11014	15	0	 	 
11014	16	1	15	150
11014	17	0	 	 
11014	51	0	 	 
11014	52	0	 	 
11014	53	0	 	 
11014	54	0	 	 
11014	55	0	 	 
11014	56	0	 	 
11014	57	0	 	 
11014	58	0	 	 
11015	1	0	 	 
11015	2	0	 	 
11015	6	0	 	 
11015	9	0	 	 
11015	13	0	 	 
11015	14	0	 	 
11015	15	1	5	1225
11015	16	1	10	525
11015	17	0	 	 
11015	51	0	 	 
11015	52	0	 	 
11015	53	0	 	 
11015	54	0	 	 
11015	55	0	 	 
11015	56	0	 	 
11015	57	0	 	 
11015	58	0	 	 
11016	1	 	 	 
11016	2	 	 	 
11016	6	 	 	 
11016	9	 	 	 
11016	13	 	 	 
11016	14	 	 	 
11016	15	 	 	 
11016	16	 	 	 
11016	17	 	 	 
11016	51	 	 	 
11016	52	 	 	 
11016	53	 	 	 
11016	54	 	 	 
11016	55	 	 	 
11016	56	 	 	 
11016	57	 	 	 
11016	58	 	 	 
11017	1	0	 	 
11017	2	0	 	 
11017	6	0	 	 
11017	9	0	 	 
11017	13	0	 	 
11017	14	0	 	 
11017	15	0	 	 
11017	16	1	1	15
11017	17	0	 	 
11017	51	0	 	 
11017	52	0	 	 
11017	53	0	 	 
11017	54	0	 	 
11017	55	0	 	 
11017	56	0	 	 
11017	57	0	 	 
11017	58	0	 	 
11018	1	 	 	 
11018	2	 	 	 
11018	6	 	 	 
11018	9	 	 	 
11018	13	 	 	 
11018	14	 	 	 
11018	15	 	 	 
11018	16	 	 	 
11018	17	 	 	 
11018	51	 	 	 
11018	52	 	 	 
11018	53	 	 	 
11018	54	 	 	 
11018	55	 	 	 
11018	56	 	 	 
11018	57	 	 	 
11018	58	 	 	 
11019	1	 	 	 
11019	2	 	 	 
11019	6	 	 	 
11019	9	 	 	 
11019	13	 	 	 
11019	14	 	 	 
11019	15	 	 	 
11019	16	 	 	 
11019	17	 	 	 
11019	51	 	 	 
11019	52	 	 	 
11019	53	 	 	 
11019	54	 	 	 
11019	55	 	 	 
11019	56	 	 	 
11019	57	 	 	 
11019	58	 	 	 
11020	1	 	 	 
11020	2	 	 	 
11020	6	 	 	 
