CHILDCODE	NONFODR5	BGHTR5	SPYRR5	SPNMR5
11001	1	1	100	 
11001	2	1	80	 
11001	3	1	350	3
11001	4	1	150	0
11001	5	1	120	 
11001	6	1	70	 
11001	7	1	110	1
11001	8	1	35	0
11001	9	1	35	0
11001	10	1	115	3
11001	11	0	 	 
11001	12	1	45	1
11001	13	0	 	 
11001	15	1	300	1
11001	16	0	 	 
11001	17	0	 	 
11001	18	0	 	 
11001	19	0	 	 
11001	20	0	 	 
11001	21	0	 	 
11001	22	0	 	 
11001	23	0	 	 
11001	24	0	 	 
11001	25	0	 	 
11001	26	0	 	 
11001	27	0	 	 
11001	28	0	 	 
11001	29	0	 	 
11001	30	1	180	 
11001	31	1	680	 
11002	1	1	150	 
11002	2	1	300	 
11002	3	1	400	4
11002	4	0	 	 
11002	5	1	50	 
11002	6	0	 	 
11002	7	1	50	4
11002	8	0	 	 
11002	9	0	 	 
11002	10	1	180	4
11002	11	1	2310	4
11002	12	0	 	 
11002	13	0	 	 
11002	15	1	300	4
11002	16	0	 	 
11002	17	0	 	 
11002	18	0	 	 
11002	19	0	 	 
11002	20	0	 	 
11002	21	0	 	 
11002	22	0	 	 
11002	23	0	 	 
11002	24	0	 	 
11002	25	0	 	 
11002	26	1	340	0
11002	27	0	 	 
11002	28	0	 	 
11002	29	1	4400	0
11002	30	0	 	 
11002	31	0	 	 
11003	1	0	 	 
11003	2	0	 	 
11003	3	0	 	 
11003	4	0	 	 
11003	5	0	 	 
11003	6	1	50	 
11003	7	1	50	0
11003	8	1	100	2
11003	9	1	120	0
11003	10	1	240	2
11003	11	0	 	 
11003	12	1	25	0
11003	13	0	 	 
11003	15	1	300	1
11003	16	0	 	 
11003	17	0	 	 
11003	18	1	100	1
11003	19	0	 	 
11003	20	0	 	 
11003	21	0	 	 
11003	22	1	2100	1
11003	23	0	 	 
11003	24	0	 	 
11003	25	0	 	 
11003	26	0	 	 
11003	27	0	 	 
11003	28	0	 	 
11003	29	0	 	 
11003	30	1	400	 
11003	31	1	450	 
11004	1	1	120	 
11004	2	0	 	 
11004	3	1	250	0
11004	4	1	250	4
11004	5	1	12	 
11004	6	1	50	 
11004	7	1	45	0
11004	8	1	12	4
11004	9	1	210	4
11004	10	1	130	0
11004	11	0	 	 
11004	12	1	30	1
11004	13	1	400	2
11004	15	1	140	2
11004	16	0	 	 
11004	17	1	70	0
11004	18	1	100	1
11004	19	1	15	1
11004	20	1	50	0
11004	21	0	 	 
11004	22	1	300	1
11004	23	0	 	 
11004	24	0	 	 
11004	25	1	2500	0
11004	26	1	12000	0
11004	27	0	 	 
11004	28	0	 	 
11004	29	1	2440	0
11004	30	0	 	 
11004	31	0	 	 
11005	1	1	50	 
11005	2	1	30	 
11005	3	0	 	 
11005	4	1	120	4
11005	5	1	60	 
11005	6	1	80	 
11005	7	0	 	 
11005	8	1	60	4
11005	9	1	140	4
11005	10	1	70	0
11005	11	0	 	 
11005	12	0	 	 
11005	13	0	 	 
11005	15	1	250	3
11005	16	0	 	 
11005	17	0	 	 
11005	18	0	 	 
11005	19	0	 	 
11005	20	0	 	 
11005	21	0	 	 
11005	22	1	80	1
11005	23	0	 	 
11005	24	0	 	 
11005	25	0	 	 
11005	26	0	 	 
11005	27	0	 	 
11005	28	0	 	 
11005	29	1	380	0
11005	30	1	80	 
11005	31	1	120	 
11006	1	1	200	 
11006	2	1	200	 
11006	3	1	350	2
11006	4	0	 	 
11006	5	1	140	 
11006	6	1	140	 
11006	7	1	150	2
11006	8	0	 	 
11006	9	0	 	 
11006	10	1	280	2
11006	11	0	 	 
11006	12	1	30	1
11006	13	0	 	 
11006	15	1	300	1
11006	16	0	 	 
11006	17	0	 	 
11006	18	1	80	1
11006	19	0	 	 
11006	20	0	 	 
11006	21	0	 	 
11006	22	0	 	 
11006	23	0	 	 
11006	24	0	 	 
11006	25	0	 	 
11006	26	1	840	0
11006	27	0	 	 
11006	28	0	 	 
11006	29	0	 	 
11006	30	0	 	 
11006	31	0	 	 
11007	1	1	1500	 
11007	2	0	 	 
11007	3	1	500	4
11007	4	0	 	 
11007	5	1	800	 
11007	6	0	 	 
11007	7	1	200	4
11007	8	0	 	 
11007	9	0	 	 
11007	10	1	250	4
11007	11	1	950	4
11007	12	1	50	4
11007	13	0	 	 
11007	15	1	600	2
11007	16	1	200	4
11007	17	0	 	 
11007	18	1	400	1
11007	19	1	300	2
11007	20	1	2000	1
11007	21	0	 	 
11007	22	0	 	 
11007	23	0	 	 
11007	24	0	 	 
11007	25	1	2500	0
11007	26	0	 	 
11007	27	0	 	 
11007	28	0	 	 
11007	29	1	700	0
11007	30	0	 	 
11007	31	0	 	 
11008	1	1	1000	 
11008	2	1	500	 
11008	3	1	1000	0
11008	4	1	500	4
11008	5	1	200	 
11008	6	1	200	 
11008	7	1	300	0
11008	8	1	200	4
11008	9	1	150	4
11008	10	1	350	0
11008	11	0	 	 
11008	12	0	 	 
11008	13	0	 	 
11008	15	1	720	1
11008	16	1	1200	1
11008	17	0	 	 
11008	18	1	50	1
11008	19	1	40	3
11008	20	1	300	1
11008	21	0	 	 
11008	22	0	 	 
11008	23	0	 	 
11008	24	0	 	 
11008	25	0	 	 
11008	26	1	6000	0
11008	27	0	 	 
11008	28	0	 	 
11008	29	0	 	 
11008	30	0	 	 
11008	31	0	 	 
11009	1	1	500	 
11009	2	1	1500	 
11009	3	0	 	 
11009	4	1	700	2
11009	5	0	 	 
11009	6	1	700	 
11009	7	0	 	 
11009	8	1	950	2
11009	9	1	370	3
11009	10	0	 	 
11009	11	1	1200	2
11009	12	0	 	 
11009	13	0	 	 
11009	15	1	450	2
11009	16	0	 	 
11009	17	0	 	 
11009	18	1	50	1
11009	19	1	350	1
11009	20	0	 	 
11009	21	0	 	 
11009	22	1	350	2
11009	23	0	 	 
11009	24	0	 	 
11009	25	0	 	 
11009	26	1	168000	0
11009	27	0	 	 
11009	28	0	 	 
11009	29	0	 	 
11009	30	0	 	 
11009	31	0	 	 
11010	1	0	 	 
11010	2	1	300	 
11010	3	1	100	0
11010	4	1	100	4
11010	5	0	 	 
11010	6	1	100	 
11010	7	1	80	0
11010	8	1	80	4
11010	9	1	150	4
11010	10	1	150	0
11010	11	0	 	 
