CHILDCODE	SHCKIDR5	EVNTR5	EV2013R5	EV2014R5	EV2015R5	EV2016R5
11001	1	0	 	 	 	 
11001	2	0	 	 	 	 
11001	3	0	 	 	 	 
11001	4	0	 	 	 	 
11001	5	0	 	 	 	 
11001	6	0	 	 	 	 
11001	10	0	 	 	 	 
11001	12	0	 	 	 	 
11001	13	0	 	 	 	 
11001	14	0	 	 	 	 
11001	20	0	 	 	 	 
11001	24	0	 	 	 	 
11001	25	0	 	 	 	 
11001	26	0	 	 	 	 
11001	27	0	 	 	 	 
11001	28	0	 	 	 	 
11001	29	0	 	 	 	 
11001	30	0	 	 	 	 
11001	31	0	 	 	 	 
11001	32	0	 	 	 	 
11001	33	0	 	 	 	 
11001	34	0	 	 	 	 
11001	35	0	 	 	 	 
11001	36	0	 	 	 	 
11001	37	0	 	 	 	 
11001	38	0	 	 	 	 
11001	39	0	 	 	 	 
11001	40	0	 	 	 	 
11001	41	0	 	 	 	 
11001	42	0	 	 	 	 
11001	45	0	 	 	 	 
11001	46	0	 	 	 	 
11001	58	0	 	 	 	 
11001	62	0	 	 	 	 
11001	63	0	 	 	 	 
11001	69	0	 	 	 	 
11002	1	0	 	 	 	 
11002	2	0	 	 	 	 
11002	3	0	 	 	 	 
11002	4	0	 	 	 	 
11002	5	0	 	 	 	 
11002	6	0	 	 	 	 
11002	10	0	 	 	 	 
11002	12	0	 	 	 	 
11002	13	0	 	 	 	 
11002	14	0	 	 	 	 
11002	20	0	 	 	 	 
11002	24	0	 	 	 	 
11002	25	0	 	 	 	 
11002	26	0	 	 	 	 
11002	27	0	 	 	 	 
11002	28	0	 	 	 	 
11002	29	0	 	 	 	 
11002	30	0	 	 	 	 
11002	31	0	 	 	 	 
11002	32	0	 	 	 	 
11002	33	0	 	 	 	 
11002	34	0	 	 	 	 
11002	35	0	 	 	 	 
11002	36	0	 	 	 	 
11002	37	0	 	 	 	 
11002	38	0	 	 	 	 
11002	39	0	 	 	 	 
11002	40	0	 	 	 	 
11002	41	0	 	 	 	 
11002	42	0	 	 	 	 
11002	45	0	 	 	 	 
11002	46	0	 	 	 	 
11002	58	0	 	 	 	 
11002	62	0	 	 	 	 
11002	63	0	 	 	 	 
11002	69	0	 	 	 	 
11003	1	0	 	 	 	 
11003	2	0	 	 	 	 
11003	3	0	 	 	 	 
11003	4	0	 	 	 	 
11003	5	0	 	 	 	 
11003	6	0	 	 	 	 
11003	10	0	 	 	 	 
11003	12	0	 	 	 	 
11003	13	0	 	 	 	 
11003	14	0	 	 	 	 
11003	20	0	 	 	 	 
11003	24	0	 	 	 	 
11003	25	1	0	0	1	1
11003	26	0	 	 	 	 
11003	27	0	 	 	 	 
11003	28	0	 	 	 	 
11003	29	0	 	 	 	 
11003	30	0	 	 	 	 
11003	31	0	 	 	 	 
11003	32	0	 	 	 	 
11003	33	0	 	 	 	 
11003	34	0	 	 	 	 
11003	35	0	 	 	 	 
11003	36	0	 	 	 	 
11003	37	0	 	 	 	 
11003	38	0	 	 	 	 
11003	39	0	 	 	 	 
11003	40	0	 	 	 	 
11003	41	0	 	 	 	 
11003	42	0	 	 	 	 
11003	45	0	 	 	 	 
11003	46	0	 	 	 	 
11003	58	0	 	 	 	 
11003	62	0	 	 	 	 
11003	63	0	 	 	 	 
11003	69	0	 	 	 	 
11004	1	0	 	 	 	 
11004	2	0	 	 	 	 
11004	3	0	 	 	 	 
11004	4	0	 	 	 	 
11004	5	0	 	 	 	 
11004	6	0	 	 	 	 
11004	10	0	 	 	 	 
11004	12	0	 	 	 	 
11004	13	0	 	 	 	 
11004	14	0	 	 	 	 
11004	20	0	 	 	 	 
11004	24	0	 	 	 	 
11004	25	0	 	 	 	 
11004	26	0	 	 	 	 
11004	27	0	 	 	 	 
11004	28	0	 	 	 	 
11004	29	0	 	 	 	 
11004	30	0	 	 	 	 
11004	31	0	 	 	 	 
