CHILDCODE	SRMNIDR5	SRCRECR5	RCVLSTR5	OFTRCVR5	RCVAMTR5
11001	1	0	 	 	 
11001	2	0	 	 	 
11001	3	0	 	 	 
11002	1	0	 	 	 
11002	2	0	 	 	 
11002	3	0	 	 	 
11003	1	0	 	 	 
11003	2	0	 	 	 
11003	3	0	 	 	 
11004	1	0	 	 	 
11004	2	0	 	 	 
11004	3	0	 	 	 
11005	1	0	 	 	 
11005	2	0	 	 	 
11005	3	0	 	 	 
11006	1	0	 	 	 
11006	2	0	 	 	 
11006	3	0	 	 	 
11007	1	0	 	 	 
11007	2	0	 	 	 
11007	3	0	 	 	 
11008	1	0	 	 	 
11008	2	0	 	 	 
11008	3	0	 	 	 
11009	1	0	 	 	 
11009	2	0	 	 	 
11009	3	0	 	 	 
11010	1	0	 	 	 
11010	2	0	 	 	 
11010	3	1	600	12	7200
11011	1	0	 	 	 
11011	2	0	 	 	 
11011	3	0	 	 	 
11012	1	0	 	 	 
11012	2	0	 	 	 
11012	3	0	 	 	 
11013	1	0	 	 	 
11013	2	0	 	 	 
11013	3	0	 	 	 
11014	1	0	 	 	 
11014	2	0	 	 	 
11014	3	0	 	 	 
11015	1	0	 	 	 
11015	2	0	 	 	 
11015	3	0	 	 	 
11016	1	0	 	 	 
11016	2	0	 	 	 
11016	3	0	 	 	 
11017	1	0	 	 	 
11017	2	0	 	 	 
11017	3	0	 	 	 
11018	1	0	 	 	 
11018	2	0	 	 	 
11018	3	0	 	 	 
11019	1	0	 	 	 
11019	2	0	 	 	 
11019	3	0	 	 	 
11020	1	0	 	 	 
11020	2	0	 	 	 
11020	3	0	 	 	 
11021	1	0	 	 	 
11021	2	0	 	 	 
11021	3	0	 	 	 
11022	1	0	 	 	 
11022	2	0	 	 	 
11022	3	0	 	 	 
11023	1	0	 	 	 
11023	2	0	 	 	 
11023	3	0	 	 	 
11024	1	0	 	 	 
11024	2	0	 	 	 
11024	3	0	 	 	 
11025	1	0	 	 	 
11025	2	0	 	 	 
11025	3	0	 	 	 
11026	1	0	 	 	 
11026	2	0	 	 	 
11026	3	0	 	 	 
11027	1	0	 	 	 
11027	2	0	 	 	 
11027	3	0	 	 	 
11028	1	0	 	 	 
11028	2	0	 	 	 
11028	3	0	 	 	 
11029	1	0	 	 	 
11029	2	0	 	 	 
11029	3	0	 	 	 
11030	1	0	 	 	 
11030	2	0	 	 	 
11030	3	0	 	 	 
11031	1	0	 	 	 
11031	2	0	 	 	 
11031	3	0	 	 	 
11032	1	0	 	 	 
11032	2	0	 	 	 
11032	3	0	 	 	 
11033	1	0	 	 	 
11033	2	0	 	 	 
11033	3	0	 	 	 
11034	1	0	 	 	 
11034	2	0	 	 	 
11034	3	0	 	 	 
11035	1	0	 	 	 
11035	2	0	 	 	 
11035	3	0	 	 	 
11036	1	0	 	 	 
11036	2	0	 	 	 
11036	3	0	 	 	 
11037	1	0	 	 	 
11037	2	0	 	 	 
11037	3	0	 	 	 
11038	1	0	 	 	 
11038	2	0	 	 	 
11038	3	0	 	 	 
11039	1	0	 	 	 
11039	2	0	 	 	 
11039	3	0	 	 	 
11040	1	0	 	 	 
11040	2	0	 	 	 
11040	3	0	 	 	 
11041	1	0	 	 	 
11041	2	0	 	 	 
11041	3	0	 	 	 
11042	1	0	 	 	 
11042	2	0	 	 	 
11042	3	0	 	 	 
11043	1	0	 	 	 
11043	2	0	 	 	 
11043	3	0	 	 	 
11044	1	0	 	 	 
11044	2	0	 	 	 
11044	3	0	 	 	 
11045	1	0	 	 	 
11045	2	0	 	 	 
11045	3	0	 	 	 
11046	1	0	 	 	 
11046	2	0	 	 	 
11046	3	0	 	 	 
11047	1	0	 	 	 
11047	2	0	 	 	 
11047	3	0	 	 	 
11048	1	0	 	 	 
11048	2	0	 	 	 
11048	3	0	 	 	 
11049	1	0	 	 	 
11049	2	0	 	 	 
11049	3	0	 	 	 
