CHILDCODE	DINT	PRIDRSR5	HHSIZE	HEADID	RESPOND	HEADLANG	CARELANG	CHLDLANG	PECLOC5	PECODPT5	PECODISTR5	PECODIS5	ANTHRHSE5	ANTHRADD5	PECODIS15	PEMUDANZ5	PEUBIC5	PHONE5	PEHPOST5	PEDCVIV5	PEDPAGT5	PEDPOC5	PEDPPA5	CHLDDNI5	TIENDNI5	DOCDNI5	ADDSAME5	CLUSTID5	YLCOMM5	PLACEID5	LINKCMM5	PLACENR5	LONGCOMM5	TRNSCOMM5	MINIADM5	PEMINIID5	TYPESITE5	PEMUDR45
11001	13:53	2	8	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	99	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11002	15/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11003	19/08/2016	1	3	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	1
11004	16/08/2016	2	4	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11005	14/08/2016	3	7	1	3	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11006	12/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11007	14/08/2016	1	4	1	1	31	31	31	 	24	 	 	0	 	 	 	 	1	1	1	0	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11008	14/08/2016	2	5	1	2	31	31	31	 	24	 	 	0	 	 	 	 	1	0	 	 	 	 	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11009	19/08/2016	4	6	1	2	31	31	31	 	24	 	 	1	1	 	 	 	1	1	0	1	0	0	1	1	3	1	 	1	PE01C01	0	 	 	 	0	 	1	0
11010	10/08/2016	18	5	18	18	31	31	31	 	24	 	 	0	 	 	 	 	1	1	0	1	0	0	1	1	1	1	 	1	PE01C01	0	 	 	 	0	 	1	0
