PLACEID	CRTPIDR5	CERTPOOR	GRNTCERT
1	13	303	303
1	14	251	251
1	15	159	159
1	16	215	215
2	13	683	474
2	14	604	460
2	15	478	340
2	16	418	295
3	13	341	341
3	14	271	271
3	15	192	192
3	16	224	224
4	13	77	77
4	14	60	60
4	15	53	53
4	16	49	49
5	13	157	157
5	14	135	135
5	15	109	109
5	16	415	415
6	13	176	160
6	14	133	125
6	15	80	80
6	16	157	145
7	13	365	365
7	14	335	335
7	15	268	268
7	16	308	308
8	13	166	166
8	14	165	165
8	15	135	135
8	16	181	181
9	13	285	285
9	14	241	241
9	15	174	174
9	16	258	258
10	13	121	121
10	14	89	89
10	15	77	77
10	16	138	138
11	13	177	177
11	14	143	143
11	15	182	182
11	16	139	139
12	13	141	86
12	14	86	88
12	15	98	98
12	16	68	68
13	13	28	28
13	14	18	18
13	15	19	19
13	16	25	25
14	13	245	245
14	14	182	182
14	15	158	158
14	16	299	299
15	13	343	343
15	14	288	288
15	15	566	566
15	16	496	-77
16	13	189	189
16	14	132	132
16	15	465	465
16	16	300	300
17	13	938	-88
17	14	610	-88
17	15	160	-88
17	16	572	-88
18	13	478	-88
18	14	410	-88
18	15	306	-88
18	16	656	-88
19	13	196	196
19	14	161	161
19	15	298	298
19	16	132	-77
20	13	111	111
20	14	57	57
20	15	135	135
20	16	79	-77
21	13	950	-88
21	14	800	-88
21	15	760	-88
21	16	4300	-88
22	13	84	84
22	14	77	77
22	15	69	69
22	16	75	75
23	13	65	65
23	14	56	56
23	15	43	43
23	16	45	45
24	13	184	184
24	14	179	179
24	15	179	179
24	16	154	154
25	13	146	146
25	14	110	110
25	15	91	91
25	16	170	170
26	13	1431	143
26	14	94	94
26	15	240	240
26	16	155	155
27	13	192	192
27	14	189	189
27	15	178	178
27	16	162	162
28	13	109	0
28	14	82	0
28	15	44	0
28	16	143	0
29	13	16	0
29	14	0	 
29	15	0	 
29	16	43	0
32	13	264	0
32	14	215	0
32	15	88	0
32	16	171	0
33	13	180	180
33	14	90	90
33	15	455	455
33	16	268	268
34	13	0	 
34	14	0	 
34	15	0	 
34	16	45	0
35	13	918	-77
35	14	697	0
35	15	433	0
35	16	884	0
36	13	-77	0
36	14	255	0
36	15	141	0
36	16	619	0
