PLACEID	MNTRIDR5	TRANS	TITRANS
1	1	4	15
1	2	8	15
1	3	3	25
2	1	4	35
2	2	8	25
3	1	4	15
3	2	3	30
3	3	8	15
4	1	4	20
4	2	8	10
4	3	5	20
5	1	4	30
5	2	88	 
6	1	4	15
6	2	8	8
7	1	4	5
8	1	4	15
8	2	3	20
8	3	6	10
9	1	4	30
10	1	4	20
11	1	4	40
12	1	4	65
13	1	4	25
14	1	4	5
15	1	4	60
15	2	88	 
15	3	88	 
16	1	4	30
16	2	8	40
16	3	6	20
17	1	4	30
17	2	6	20
17	3	3	50
18	1	4	30
18	2	6	20
18	3	7	20
19	1	4	40
19	2	8	50
19	3	6	30
20	1	4	10
20	2	3	15
21	1	4	30
21	2	6	15
22	1	4	10
23	1	4	15
23	2	3	30
23	3	6	5
24	1	4	10
24	2	13	15
24	3	3	20
25	1	4	20
25	2	13	25
25	3	3	30
26	1	4	10
26	2	13	15
26	3	3	20
27	1	4	10
27	2	3	20
27	3	13	15
28	1	4	10
28	2	3	20
28	3	6	10
29	1	4	7
32	1	4	5
32	2	3	10
32	3	6	3
33	1	4	10
33	2	3	15
33	3	6	10
34	1	4	10
34	2	3	15
35	1	4	15
36	1	4	15
