PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
1	1	6	2016	11	5	12	2	1	88	 
2	1	6	2016	11	10	14	1	5	4	3
2	2	12	2014	7	13	17	88	1	4	88
3	1	12	2015	8	13	88	1	1	88	 
4	1	6	2015	11	12	8	1	0	 	 
6	1	6	2014	10	13	14	3	1	5	4
7	1	9	2016	2	10	6	3	1	5	88
7	2	2	2014	9	8	10	88	1	3	88
9	1	9	2015	10	10	88	3	1	88	 
10	1	9	2016	3	10	88	1	1	88	 
11	1	9	2016	2	10	5	3	1	2	4
12	1	9	2015	11	10	18	3	0	 	 
13	1	9	2016	1	10	88	4	0	 	 
14	1	9	2016	3	10	88	88	1	88	 
15	1	7	2015	12	10	5	88	1	88	 
17	1	11	2013	11	5	15	1	1	88	 
18	1	2	2016	7	17	8	1	1	3	88
18	2	11	2016	7	5	88	1	0	 	 
20	1	6	2013	3	8	10	3	1	88	 
21	1	14	2014	8	8	17	1	1	2	88
21	2	11	2014	3	5	88	1	1	2	88
23	1	 	 	 	 	 	 	 	 	 
24	1	2	2016	7	8	10	2	0	 	 
24	2	10	2015	9	10	88	3	0	 	 
25	1	2	2013	5	8	10	2	0	 	 
25	2	2	2014	5	9	10	1	0	 	 
25	3	2	2015	6	10	88	1	0	 	 
25	4	2	2016	7	10	8	2	0	 	 
25	5	7	2016	1	10	88	2	0	 	 
26	1	2	2016	5	8	10	1	0	 	 
26	2	7	2015	1	10	88	3	0	 	 
27	1	2	2016	6	8	10	2	88	 	 
27	2	10	2015	1	6	88	3	88	 	 
27	3	7	2015	1	10	88	3	88	 	 
33	1	12	2015	10	13	88	88	1	88	 
35	1	2	2016	11	10	88	1	1	88	 
36	1	16	2014	10	8	88	1	4	88	 
