PLACEID	SERVIDR5	AVLOC
1	1	1
1	2	1
1	3	0
1	4	0
1	5	1
1	10	1
1	11	0
1	12	1
1	13	1
1	14	1
1	15	0
1	16	1
1	17	1
1	23	0
1	25	1
2	1	1
2	2	1
2	3	0
2	4	0
2	5	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1
2	17	0
2	23	0
2	25	1
3	1	1
3	2	1
3	3	0
3	4	0
3	5	1
3	10	0
3	11	0
3	12	1
3	13	1
3	14	1
3	15	1
3	16	1
3	17	0
3	23	0
3	25	1
4	1	0
4	2	1
4	3	0
4	4	0
4	5	1
4	10	1
4	11	1
4	12	1
4	13	1
4	14	0
4	15	1
4	16	1
4	17	0
4	23	0
4	25	1
5	1	0
5	2	1
5	3	0
5	4	0
5	5	1
5	10	0
5	11	0
5	12	1
5	13	1
5	14	1
5	15	1
5	16	1
5	17	0
5	23	0
5	25	1
6	1	1
6	2	1
6	3	0
6	4	0
6	5	1
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
6	15	1
6	16	1
6	17	0
6	23	0
6	25	1
7	1	1
7	2	1
7	3	0
7	4	0
7	5	1
7	10	1
7	11	0
7	12	1
7	13	1
7	14	1
7	15	1
7	16	1
7	17	0
7	23	0
7	25	0
8	1	1
8	2	1
8	3	1
8	4	0
8	5	1
8	10	1
8	11	1
8	12	1
8	13	1
8	14	1
8	15	1
8	16	1
8	17	0
8	23	0
8	25	1
9	1	0
9	2	1
9	3	0
9	4	0
9	5	0
9	10	1
9	11	1
9	12	1
9	13	1
9	14	1
9	15	1
9	16	1
9	17	0
9	23	0
9	25	1
10	1	0
10	2	1
10	3	0
10	4	0
10	5	1
10	10	1
10	11	1
10	12	1
10	13	1
10	14	1
10	15	1
10	16	1
10	17	1
10	23	0
10	25	0
11	1	1
11	2	1
11	3	0
11	4	0
11	5	1
11	10	1
11	11	0
11	12	0
11	13	1
11	14	1
11	15	1
11	16	1
11	17	1
11	23	0
11	25	0
12	1	1
12	2	1
12	3	0
12	4	0
12	5	1
12	10	1
12	11	1
12	12	1
12	13	1
12	14	1
12	15	1
12	16	1
12	17	0
12	23	0
12	25	1
13	1	1
13	2	1
13	3	0
13	4	0
13	5	1
13	10	1
13	11	1
13	12	1
13	13	1
13	14	1
13	15	1
13	16	1
13	17	0
13	23	0
13	25	1
14	1	1
14	2	1
14	3	0
14	4	0
14	5	1
14	10	0
14	11	0
14	12	1
14	13	1
14	14	1
14	15	1
14	16	1
14	17	1
14	23	0
14	25	1
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	10	0
15	11	1
15	12	0
15	13	1
15	14	0
15	15	0
15	16	0
15	17	0
15	23	0
15	25	1
16	1	0
16	2	1
16	3	0
16	4	0
16	5	1
16	10	0
16	11	1
16	12	1
16	13	1
16	14	0
16	15	1
16	16	1
16	17	1
16	23	0
16	25	1
17	1	0
17	2	1
17	3	0
17	4	1
17	5	1
17	10	0
17	11	1
17	12	0
17	13	1
17	14	1
17	15	1
17	16	0
17	17	1
17	23	0
17	25	0
18	1	1
18	2	1
18	3	1
18	4	0
18	5	1
18	10	0
18	11	0
18	12	0
18	13	1
18	14	1
18	15	1
18	16	1
18	17	0
18	23	0
18	25	1
19	1	1
19	2	1
19	3	0
19	4	0
19	5	1
19	10	0
19	11	1
19	12	1
19	13	1
19	14	0
19	15	1
19	16	0
19	17	0
19	23	0
19	25	1
20	1	1
20	2	0
20	3	0
20	4	0
20	5	1
20	10	1
20	11	1
20	12	1
20	13	1
20	14	1
20	15	1
