CHILDCODE	EDCHSTR5	EDGRADER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	SCHNMER5
11001	13	0	 	 	 	 	 
11001	14	24	1	3	1	 	 
11001	15	25	1	3	1	 	 
11001	16	38	4	3	1	 	 
11002	13	0	 	 	 	 	 
11002	14	24	1	3	0	98	334
11002	15	25	1	3	1	 	 
11002	16	26	4	3	1	 	 
11003	13	0	 	 	 	 	 
11003	14	0	 	 	 	 	 
11003	15	0	 	 	 	 	 
11003	16	0	 	 	 	 	 
11004	13	0	 	 	 	 	 
11004	14	0	 	 	 	 	 
11004	15	0	 	 	 	 	 
11004	16	0	 	 	 	 	 
11005	13	25	1	3	1	98	334
11005	14	26	1	3	1	 	 
11005	15	0	 	 	 	 	 
11005	16	0	 	 	 	 	 
11006	13	18	1	3	1	1	202
11006	14	21	1	3	0	1	202
11006	15	22	1	3	1	 	 
11006	16	0	 	 	 	 	 
11007	13	0	 	 	 	 	 
11007	14	0	 	 	 	 	 
11007	15	0	 	 	 	 	 
11007	16	0	 	 	 	 	 
11008	13	12	1	3	1	1	182
11008	14	0	 	 	 	 	 
11008	15	0	 	 	 	 	 
11008	16	0	 	 	 	 	 
11009	13	37	1	3	1	1	198
11009	14	0	 	 	 	 	 
11009	15	0	 	 	 	 	 
11009	16	0	 	 	 	 	 
11010	13	0	 	 	 	 	 
11010	14	0	 	 	 	 	 
11010	15	0	 	 	 	 	 
11010	16	0	 	 	 	 	 
11011	13	29	1	3	0	1	201
11011	14	30	1	3	1	 	 
11011	15	31	1	3	1	 	 
11011	16	32	4	3	1	 	 
11012	13	0	 	 	 	 	 
11012	14	0	 	 	 	 	 
11012	15	0	 	 	 	 	 
11012	16	0	 	 	 	 	 
11015	13	30	1	3	1	98	301
11015	14	31	1	3	1	 	 
11015	15	32	1	3	1	 	 
11015	16	0	 	 	 	 	 
11016	13	25	1	3	1	98	337
11016	14	26	1	3	1	 	 
11016	15	0	 	 	 	 	 
11016	16	0	 	 	 	 	 
11018	13	0	 	 	 	 	 
11018	14	0	 	 	 	 	 
11018	15	0	 	 	 	 	 
11018	16	0	 	 	 	 	 
11019	13	30	1	3	1	98	311
11019	14	31	1	3	1	 	 
11019	15	34	1	3	1	 	 
11019	16	0	 	 	 	 	 
11020	13	25	1	3	1	98	335
11020	14	26	1	3	1	 	 
11020	15	0	 	 	 	 	 
11020	16	0	 	 	 	 	 
11021	13	15	1	3	1	1	203
11021	14	16	1	3	1	 	 
11021	15	0	 	 	 	 	 
11021	16	0	 	 	 	 	 
11022	13	12	1	3	0	1	182
11022	14	14	1	3	0	98	199
11022	15	15	1	3	1	 	 
11022	16	0	 	 	 	 	 
11024	13	0	 	 	 	 	 
11024	14	0	 	 	 	 	 
11024	15	0	 	 	 	 	 
11024	16	0	 	 	 	 	 
11025	13	12	1	3	1	1	182
11025	14	14	1	3	0	1	203
11025	15	15	1	3	1	 	 
11025	16	0	 	 	 	 	 
11026	13	0	 	 	 	 	 
11026	14	0	 	 	 	 	 
11026	15	0	 	 	 	 	 
11026	16	0	 	 	 	 	 
11029	13	0	 	 	 	 	 
11029	14	0	 	 	 	 	 
11029	15	0	 	 	 	 	 
11029	16	0	 	 	 	 	 
11030	13	29	1	3	0	98	297
11030	14	30	1	3	1	 	 
11030	15	31	1	3	1	 	 
11030	16	32	4	3	1	 	 
11031	13	25	1	3	1	98	335
11031	14	26	1	3	1	 	 
11031	15	0	 	 	 	 	 
11031	16	0	 	 	 	 	 
11032	13	0	 	 	 	 	 
11032	14	0	 	 	 	 	 
11032	15	0	 	 	 	 	 
11032	16	0	 	 	 	 	 
11033	13	30	1	3	1	98	304
11033	14	31	1	3	1	 	 
11033	15	32	1	3	1	 	 
11033	16	0	 	 	 	 	 
11034	13	30	1	3	1	98	314
11034	14	31	1	3	1	 	 
11034	15	34	1	3	1	 	 
11034	16	0	 	 	 	 	 
11035	13	0	 	 	 	 	 
11035	14	0	 	 	 	 	 
11035	15	0	 	 	 	 	 
11035	16	0	 	 	 	 	 
11037	13	30	1	3	1	98	306
11037	14	31	1	3	1	 	 
11037	15	34	1	3	1	 	 
11037	16	0	 	 	 	 	 
11038	13	25	1	3	1	1	201
11038	14	38	1	3	1	 	 
11038	15	29	1	3	0	1	201
11038	16	30	4	3	1	 	 
11039	13	0	 	 	 	 	 
11039	14	0	 	 	 	 	 
11039	15	0	 	 	 	 	 
11039	16	0	 	 	 	 	 
11040	13	0	 	 	 	 	 
11040	14	0	 	 	 	 	 
11040	15	0	 	 	 	 	 
11040	16	0	 	 	 	 	 
11041	13	0	 	 	 	 	 
11041	14	0	 	 	 	 	 
11041	15	0	 	 	 	 	 
11041	16	0	 	 	 	 	 
11042	13	0	 	 	 	 	 
11042	14	0	 	 	 	 	 
11042	15	0	 	 	 	 	 
11042	16	0	 	 	 	 	 
11043	13	0	 	 	 	 	 
11043	14	0	 	 	 	 	 
11043	15	0	 	 	 	 	 
11043	16	0	 	 	 	 	 
11044	13	0	 	 	 	 	 
11044	14	0	 	 	 	 	 
11044	15	0	 	 	 	 	 
11044	16	0	 	 	 	 	 
11047	13	0	 	 	 	 	 
11047	14	0	 	 	 	 	 
11047	15	0	 	 	 	 	 
11047	16	0	 	 	 	 	 
11048	13	25	1	1	1	98	291
11048	14	26	3	1	1	 	 
11048	15	26	1	1	1	 	 
11048	16	0	 	 	 	 	 
11050	13	17	1	3	1	1	202
11050	14	18	1	3	1	 	 
11050	15	20	1	3	1	 	 
11050	16	0	 	 	 	 	 
11052	13	25	1	3	1	98	287
11052	14	26	1	3	1	 	 
11052	15	0	 	 	 	 	 
11052	16	0	 	 	 	 	 
11061	13	0	 	 	 	 	 
11061	14	0	 	 	 	 	 
11061	15	0	 	 	 	 	 
11061	16	0	 	 	 	 	 
11063	13	0	 	 	 	 	 
11063	14	0	 	 	 	 	 
11063	15	0	 	 	 	 	 
11063	16	0	 	 	 	 	 
11069	13	0	 	 	 	 	 
11069	14	0	 	 	 	 	 
11069	15	0	 	 	 	 	 
11069	16	0	 	 	 	 	 
11074	13	18	1	3	1	1	202
11074	14	0	 	 	 	 	 
11074	15	17	1	3	0	1	334
11074	16	18	4	3	1	 	 
11088	13	24	1	3	0	98	338
11088	14	25	1	3	1	 	 
11088	15	26	1	3	1	 	 
11088	16	29	4	3	1	 	 
21002	13	0	 	 	 	 	 
21002	14	0	 	 	 	 	 
21002	15	0	 	 	 	 	 
21002	16	0	 	 	 	 	 
21004	13	0	 	 	 	 	 
21004	14	0	 	 	 	 	 
21004	15	0	 	 	 	 	 
21004	16	0	 	 	 	 	 
21005	13	0	 	 	 	 	 
21005	14	29	1	3	0	98	297
21005	15	30	1	3	1	 	 
21005	16	31	4	3	1	 	 
21007	13	0	 	 	 	 	 
21007	14	0	 	 	 	 	 
21007	15	0	 	 	 	 	 
21007	16	0	 	 	 	 	 
21008	13	0	 	 	 	 	 
21008	14	0	 	 	 	 	 
21008	15	0	 	 	 	 	 
21008	16	0	 	 	 	 	 
21009	13	29	1	3	0	98	299
21009	14	30	1	3	1	 	 
21009	15	31	1	3	1	 	 
21009	16	32	4	3	1	 	 
21011	13	0	 	 	 	 	 
21011	14	0	 	 	 	 	 
21011	15	0	 	 	 	 	 
21011	16	0	 	 	 	 	 
21012	13	0	 	 	 	 	 
21012	14	0	 	 	 	 	 
21012	15	0	 	 	 	 	 
21012	16	0	 	 	 	 	 
21013	13	0	 	 	 	 	 
21013	14	0	 	 	 	 	 
21013	15	0	 	 	 	 	 
21013	16	0	 	 	 	 	 
21015	13	0	 	 	 	 	 
21015	14	0	 	 	 	 	 
21015	15	0	 	 	 	 	 
21015	16	0	 	 	 	 	 
21017	13	0	 	 	 	 	 
21017	14	0	 	 	 	 	 
21017	15	0	 	 	 	 	 
21017	16	0	 	 	 	 	 
21018	13	0	 	 	 	 	 
21018	14	0	 	 	 	 	 
21018	15	0	 	 	 	 	 
21018	16	0	 	 	 	 	 
21020	13	0	 	 	 	 	 
21020	14	0	 	 	 	 	 
21020	15	0	 	 	 	 	 
21020	16	0	 	 	 	 	 
21022	13	18	1	3	1	1	198
21022	14	20	1	3	1	 	 
21022	15	0	 	 	 	 	 
21022	16	0	 	 	 	 	 
21023	13	30	1	3	1	1	201
21023	14	31	1	3	1	 	 
21023	15	32	1	3	1	 	 
21023	16	0	 	 	 	 	 
21024	13	0	 	 	 	 	 
21024	14	0	 	 	 	 	 
21024	15	0	 	 	 	 	 
21024	16	0	 	 	 	 	 
21025	13	30	1	3	1	98	320
21025	14	31	1	3	1	 	 
21025	15	32	1	3	1	 	 
21025	16	0	 	 	 	 	 
21026	13	0	 	 	 	 	 
21026	14	0	 	 	 	 	 
21026	15	0	 	 	 	 	 
21026	16	0	 	 	 	 	 
21027	13	0	 	 	 	 	 
21027	14	0	 	 	 	 	 
21027	15	0	 	 	 	 	 
21027	16	0	 	 	 	 	 
21029	13	30	1	3	1	98	320
21029	14	31	1	3	1	 	 
21029	15	32	1	3	1	 	 
21029	16	34	1	3	1	 	 
21030	13	24	1	3	0	98	334
21030	14	25	1	3	1	 	 
21030	15	26	1	3	1	 	 
21030	16	0	 	 	 	 	 
21031	13	0	 	 	 	 	 
21031	14	0	 	 	 	 	 
21031	15	0	 	 	 	 	 
21031	16	0	 	 	 	 	 
21032	13	0	 	 	 	 	 
21032	14	0	 	 	 	 	 
21032	15	0	 	 	 	 	 
21032	16	0	 	 	 	 	 
21033	13	0	 	 	 	 	 
21033	14	0	 	 	 	 	 
21033	15	0	 	 	 	 	 
21033	16	0	 	 	 	 	 
21034	13	0	 	 	 	 	 
21034	14	0	 	 	 	 	 
21034	15	0	 	 	 	 	 
21034	16	0	 	 	 	 	 
21036	13	29	1	3	0	98	313
21036	14	30	1	3	1	 	 
21036	15	31	1	3	1	 	 
21036	16	32	4	3	1	 	 
21037	13	0	 	 	 	 	 
21037	14	0	 	 	 	 	 
21037	15	0	 	 	 	 	 
21037	16	0	 	 	 	 	 
21039	13	30	1	3	1	1	201
21039	14	31	1	3	1	 	 
21039	15	32	1	3	1	 	 
21039	16	0	 	 	 	 	 
21040	13	0	 	 	 	 	 
21040	14	0	 	 	 	 	 
21040	15	0	 	 	 	 	 
21040	16	0	 	 	 	 	 
21041	13	0	 	 	 	 	 
21041	14	0	 	 	 	 	 
21041	15	0	 	 	 	 	 
21041	16	0	 	 	 	 	 
21042	13	0	 	 	 	 	 
21042	14	0	 	 	 	 	 
21042	15	0	 	 	 	 	 
21042	16	0	 	 	 	 	 
21043	13	0	 	 	 	 	 
21043	14	0	 	 	 	 	 
21043	15	0	 	 	 	 	 
21043	16	0	 	 	 	 	 
21044	13	0	 	 	 	 	 
21044	14	0	 	 	 	 	 
21044	15	0	 	 	 	 	 
21044	16	0	 	 	 	 	 
21046	13	0	 	 	 	 	 
21046	14	0	 	 	 	 	 
21046	15	0	 	 	 	 	 
21046	16	0	 	 	 	 	 
21047	13	0	 	 	 	 	 
21047	14	0	 	 	 	 	 
21047	15	0	 	 	 	 	 
21047	16	0	 	 	 	 	 
21048	13	0	 	 	 	 	 
21048	14	0	 	 	 	 	 
21048	15	0	 	 	 	 	 
21048	16	0	 	 	 	 	 
21056	13	0	 	 	 	 	 
21056	14	0	 	 	 	 	 
21056	15	0	 	 	 	 	 
21056	16	0	 	 	 	 	 
21069	13	30	1	3	1	98	306
21069	14	31	1	3	1	 	 
21069	15	32	1	3	1	 	 
21069	16	0	 	 	 	 	 
21072	13	21	1	6	0	98	292
21072	14	38	1	3	0	98	1232
21072	15	29	1	3	0	98	1233
21072	16	30	4	3	1	 	 
21083	13	0	 	 	 	 	 
21083	14	0	 	 	 	 	 
21083	15	0	 	 	 	 	 
21083	16	0	 	 	 	 	 
21089	13	0	 	 	 	 	 
21089	14	0	 	 	 	 	 
21089	15	0	 	 	 	 	 
21089	16	0	 	 	 	 	 
21094	13	30	1	3	0	98	320
21094	14	31	1	3	1	 	 
21094	15	32	1	3	1	 	 
21094	16	0	 	 	 	 	 
31001	13	19	1	3	1	98	349
31001	14	32	1	3	1	 	 
31001	15	34	1	3	1	 	 
31001	16	0	 	 	 	 	 
31003	13	0	 	 	 	 	 
31003	14	0	 	 	 	 	 
31003	15	0	 	 	 	 	 
31003	16	0	 	 	 	 	 
31004	13	0	 	 	 	 	 
31004	14	0	 	 	 	 	 
31004	15	0	 	 	 	 	 
31004	16	0	 	 	 	 	 
31006	13	0	 	 	 	 	 
31006	14	0	 	 	 	 	 
31006	15	0	 	 	 	 	 
31006	16	0	 	 	 	 	 
31007	13	0	 	 	 	 	 
31007	14	0	 	 	 	 	 
31007	15	0	 	 	 	 	 
31007	16	0	 	 	 	 	 
31008	13	0	 	 	 	 	 
31008	14	0	 	 	 	 	 
31008	15	0	 	 	 	 	 
31008	16	0	 	 	 	 	 
31009	13	0	 	 	 	 	 
31009	14	0	 	 	 	 	 
31009	15	0	 	 	 	 	 
31009	16	0	 	 	 	 	 
31010	13	0	 	 	 	 	 
31010	14	0	 	 	 	 	 
31010	15	0	 	 	 	 	 
31010	16	0	 	 	 	 	 
31011	13	30	1	3	1	98	296
31011	14	31	1	3	1	 	 
31011	15	32	3	3	1	 	 
31011	16	0	 	 	 	 	 
31012	13	0	 	 	 	 	 
31012	14	0	 	 	 	 	 
31012	15	0	 	 	 	 	 
31012	16	0	 	 	 	 	 
31013	13	0	 	 	 	 	 
31013	14	0	 	 	 	 	 
31013	15	0	 	 	 	 	 
31013	16	0	 	 	 	 	 
31018	13	0	 	 	 	 	 
31018	14	0	 	 	 	 	 
31018	15	0	 	 	 	 	 
31018	16	0	 	 	 	 	 
31020	13	0	 	 	 	 	 
31020	14	0	 	 	 	 	 
31020	15	0	 	 	 	 	 
31020	16	0	 	 	 	 	 
31021	13	30	1	3	0	98	338
31021	14	31	1	3	1	 	 
31021	15	32	1	3	1	 	 
31021	16	0	 	 	 	 	 
31023	13	0	 	 	 	 	 
31023	14	0	 	 	 	 	 
31023	15	0	 	 	 	 	 
31023	16	0	 	 	 	 	 
31024	13	0	 	 	 	 	 
31024	14	0	 	 	 	 	 
31024	15	0	 	 	 	 	 
31024	16	0	 	 	 	 	 
31025	13	0	 	 	 	 	 
31025	14	0	 	 	 	 	 
31025	15	0	 	 	 	 	 
31025	16	0	 	 	 	 	 
31027	13	0	 	 	 	 	 
31027	14	0	 	 	 	 	 
31027	15	0	 	 	 	 	 
31027	16	0	 	 	 	 	 
31028	13	0	 	 	 	 	 
31028	14	0	 	 	 	 	 
31028	15	0	 	 	 	 	 
31028	16	0	 	 	 	 	 
31029	13	0	 	 	 	 	 
31029	14	0	 	 	 	 	 
31029	15	0	 	 	 	 	 
31029	16	0	 	 	 	 	 
31031	13	0	 	 	 	 	 
31031	14	0	 	 	 	 	 
31031	15	0	 	 	 	 	 
31031	16	0	 	 	 	 	 
31033	13	0	 	 	 	 	 
31033	14	0	 	 	 	 	 
31033	15	21	1	3	0	5	1111
31033	16	22	4	3	1	 	 
31034	13	0	 	 	 	 	 
31034	14	0	 	 	 	 	 
31034	15	0	 	 	 	 	 
31034	16	0	 	 	 	 	 
31035	13	0	 	 	 	 	 
31035	14	0	 	 	 	 	 
31035	15	0	 	 	 	 	 
31035	16	0	 	 	 	 	 
31036	13	22	1	3	1	1	200
31036	14	23	1	3	1	 	 
31036	15	0	 	 	 	 	 
31036	16	0	 	 	 	 	 
31037	13	0	 	 	 	 	 
31037	14	0	 	 	 	 	 
31037	15	0	 	 	 	 	 
31037	16	0	 	 	 	 	 
31038	13	0	 	 	 	 	 
31038	14	0	 	 	 	 	 
31038	15	0	 	 	 	 	 
31038	16	0	 	 	 	 	 
31039	13	0	 	 	 	 	 
31039	14	0	 	 	 	 	 
31039	15	0	 	 	 	 	 
31039	16	0	 	 	 	 	 
