CHILDCODE	MOVEIDR5	YRMOVER5	MTHSTYR5	WHMOVER5	TYPKEBR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVALLHR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
11002	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
11003	1	2016	0	1	5	N	N	N	N	Y	N	N	Y	N	N	N	N	28	88	0	 
11004	1	2015	20	3	4	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	0	 
11005	1	2014	12	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11005	2	2016	13	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	11	25	1	3
11006	1	2016	4	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
11007	1	2014	33	1	4	N	N	N	N	Y	N	N	N	N	N	N	N	11	88	1	3
11009	1	2014	20	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
11010	1	2015	2	3	5	N	N	N	N	N	N	N	N	Y	N	N	Y	1	88	1	4
11010	2	2014	3	3	5	N	N	N	N	N	N	N	N	Y	N	N	Y	1	88	1	4
11012	1	2016	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
11015	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11015	2	2017	1	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	9	1	4
11016	1	2016	0	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	6
11016	2	2015	7	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	2	17	1	2
11020	1	2013	38	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	0	 
11021	1	2015	2	1	4	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
11021	2	2016	5	3	2	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	0	 
11021	3	2016	2	3	2	N	N	N	N	Y	N	N	N	N	N	N	N	2	88	0	 
11021	4	2017	1	3	3	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	6
11025	1	2015	6	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	4	1	5
11026	1	2016	8	1	3	Y	 	 	 	 	 	 	 	 	 	 	 	11	88	1	3
11029	1	2016	3	3	2	N	N	N	N	N	N	N	N	Y	N	N	N	1	88	1	4
11029	2	2015	6	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	2	1	1	5
11029	3	2014	5	3	5	N	N	N	N	N	N	N	N	N	N	N	Y	2	1	1	4
11030	1	2014	0	3	1	N	N	N	Y	N	N	N	N	N	N	N	N	5	88	0	 
11031	1	2013	38	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	0	 
11032	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	0	 
11033	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	1	4
11034	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
11035	1	2016	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
11037	1	2014	24	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11037	2	2016	12	1	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
11040	1	2015	0	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
11040	2	2016	1	3	3	N	N	N	N	N	N	N	N	Y	N	N	N	4	88	0	 
11040	3	2017	1	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	4	88	0	 
11042	1	2014	13	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	1	0	 
11043	1	2013	12	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
11043	2	2014	4	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
11043	3	2016	5	3	5	Y	 	 	 	 	 	 	 	 	 	 	 	2	22	1	1
11044	1	2016	0	3	4	N	N	N	N	Y	N	N	Y	N	N	N	N	1	88	1	7
11047	1	2016	4	3	3	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	5
11048	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	4
11050	1	2016	1	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
11052	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
11061	2	2015	5	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
11069	1	2016	0	3	4	N	N	N	Y	N	N	N	N	N	N	N	Y	1	88	1	5
11088	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	0	 
21002	1	2014	0	3	4	N	N	Y	Y	N	N	N	N	N	N	N	N	1	88	0	 
21004	1	2015	0	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	9	0	 
21005	1	2014	4	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	88	1	5
21005	2	2015	23	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	1	5
21007	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21008	1	2016	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21009	1	2013	0	3	10	Y	 	 	 	 	 	 	 	 	 	 	 	5	79	0	 
21011	1	2016	0	3	1	N	N	N	N	N	N	N	N	N	N	N	Y	4	88	1	6
21011	2	2017	1	3	4	N	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	5
21012	1	2016	0	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	17	1	5
21012	2	2015	19	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	17	1	2
21013	1	2014	21	3	3	N	Y	N	N	N	N	N	N	N	N	N	N	1	88	0	 
21015	1	2015	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
21020	1	2015	2	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21022	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	17	1	5
21022	2	2016	4	2	1	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	4
21022	3	2016	1	3	1	N	N	N	N	N	N	N	N	Y	N	N	N	2	21	1	4
21024	1	2016	0	3	4	N	N	N	N	N	N	N	N	N	N	N	Y	2	17	1	5
21025	1	2016	4	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	2
21026	1	2016	2	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
21026	2	2015	2	3	2	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
21026	3	2014	2	3	3	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
21026	4	2013	2	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21027	1	2014	7	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
21027	2	2016	7	3	4	N	N	N	Y	N	N	N	N	N	N	N	N	1	88	1	5
21029	1	2017	0	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	4
21029	2	2016	7	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	17	1	5
21029	3	2016	2	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
21030	1	2014	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	5	2	0	 
21031	1	2016	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	1	5
21033	1	2013	24	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	35	88	0	 
21034	1	2015	0	3	2	Y	 	 	 	 	 	 	 	 	 	 	 	2	88	1	5
21037	1	2013	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
21039	1	2016	2	2	4	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
21039	2	2016	2	2	4	Y	 	 	 	 	 	 	 	 	 	 	 	1	88	0	 
21040	1	2015	0	3	4	N	N	N	N	N	N	N	N	N	N	N	Y	1	88	0	 
21041	1	2015	0	3	3	Y	 	 	 	 	 	 	 	 	 	 	 	2	17	1	5
21042	1	2013	0	3	2	N	N	N	N	N	N	N	N	Y	N	N	N	2	88	1	2
21043	1	2013	24	3	3	N	N	Y	N	N	N	N	N	N	N	N	N	11	88	1	3
21046	1	2014	18	3	3	N	N	N	N	Y	N	N	N	N	N	N	N	1	88	1	5
21048	1	2013	30	2	3	Y	 	 	 	 	 	 	 	 	 	 	 	1	4	1	4
21056	1	2015	0	3	4	Y	 	 	 	 	 	 	 	 	 	 	 	23	88	1	1
21069	1	2014	0	3	1	Y	 	 	 	 	 	 	 	 	 	 	 	5	1	1	2
