CHILDCODE	ASSTIDR5	ASSETR5	TOTASSR5	ASACTR5	NMOWNR5	VLASTR5
11001	1	1	3	11	3	30
11001	2	6	1	11	0	 
11001	3	88	 	 	 	 
11002	1	 	 	 	 	 
11002	2	 	 	 	 	 
11002	3	 	 	 	 	 
11003	1	25	2	23	2	150000
11003	2	88	 	 	 	 
11003	3	88	 	 	 	 
11004	1	3	2	11	2	4000
11004	2	2	1	11	1	1000
11004	3	4	1	11	1	500
11005	1	25	1	7	1	15000
11005	2	13	5	7	5	5000
11005	3	88	 	 	 	 
11006	1	1	20	11	20	200
11006	2	3	1	11	1	50
11006	3	23	3	11	3	1000
11007	1	25	1	24	1	200000
11007	2	88	 	 	 	 
11007	3	88	 	 	 	 
11008	1	1	1	11	1	100
11008	2	3	1	11	1	4000
11008	3	88	 	 	 	 
11009	1	40	1	10	1	12000
11009	2	40	3	10	3	6000
11009	3	40	2	10	2	4000
11010	1	25	1	7	1	8000
11010	2	13	3	7	1	200
11010	3	88	 	 	 	 
11011	1	15	5	23	5	500
11011	2	40	1	23	1	200
11011	3	88	 	 	 	 
11012	1	 	 	 	 	 
11012	2	 	 	 	 	 
11012	3	 	 	 	 	 
11015	1	 	 	 	 	 
11015	2	 	 	 	 	 
11015	3	 	 	 	 	 
11016	1	 	 	 	 	 
11016	2	 	 	 	 	 
11016	3	 	 	 	 	 
11018	1	1	2	11	2	20
11018	2	3	1	11	1	30
11018	3	88	 	 	 	 
11019	1	 	 	 	 	 
11019	2	 	 	 	 	 
11019	3	 	 	 	 	 
11020	1	 	 	 	 	 
11020	2	 	 	 	 	 
11020	3	 	 	 	 	 
11021	1	 	 	 	 	 
11021	2	 	 	 	 	 
11021	3	 	 	 	 	 
11022	1	1	6	11	6	-77
11022	2	3	1	11	1	-77
11022	3	88	 	 	 	 
11024	1	25	2	10	2	6000
11024	2	3	1	11	1	40
11024	3	1	10	11	10	30
11025	1	1	4	11	4	-77
11025	2	2	1	11	1	1500
11025	3	3	1	11	1	-77
11026	1	1	1	11	1	0
11026	2	40	-77	26	-77	 
11026	3	88	 	 	 	 
11029	1	1	3	11	3	50
11029	2	88	 	 	 	 
11029	3	88	 	 	 	 
11030	1	 	 	 	 	 
11030	2	 	 	 	 	 
11030	3	 	 	 	 	 
11031	1	 	 	 	 	 
11031	2	 	 	 	 	 
11031	3	 	 	 	 	 
11032	1	 	 	 	 	 
11032	2	 	 	 	 	 
11032	3	 	 	 	 	 
11033	1	 	 	 	 	 
11033	2	 	 	 	 	 
11033	3	 	 	 	 	 
11034	1	 	 	 	 	 
11034	2	 	 	 	 	 
11034	3	 	 	 	 	 
11035	1	13	7	7	7	50
11035	2	88	 	 	 	 
11035	3	88	 	 	 	 
11037	1	 	 	 	 	 
11037	2	 	 	 	 	 
11037	3	 	 	 	 	 
11038	1	25	1	22	1	20000
11038	2	5	1	11	1	10000
11038	3	3	1	11	1	100
11039	1	14	5	9	5	15000
11039	2	3	1	11	1	350
11039	3	1	3	11	3	150
11040	1	 	 	 	 	 
11040	2	 	 	 	 	 
11040	3	 	 	 	 	 
11041	1	40	6	26	6	3000
11041	2	40	1	26	1	20000
11041	3	23	4	23	4	500
11042	1	15	5	12	5	1500
11042	2	1	3	11	3	800
11042	3	3	1	11	1	200
11043	1	25	2	23	2	250
11043	2	88	 	 	 	 
11043	3	88	 	 	 	 
11044	1	 	 	 	 	 
11044	2	 	 	 	 	 
11044	3	 	 	 	 	 
11047	1	1	3	11	3	0
11047	2	13	5	5	5	0
11047	3	88	 	 	 	 
11048	1	 	 	 	 	 
11048	2	 	 	 	 	 
11048	3	 	 	 	 	 
11050	1	1	5	11	5	100
11050	2	3	1	11	1	100
11050	3	88	 	 	 	 
11052	1	 	 	 	 	 
11052	2	 	 	 	 	 
11052	3	 	 	 	 	 
11061	1	24	1	23	1	500
11061	2	15	3	23	2	400
11061	3	88	 	 	 	 
11063	1	5	1	11	1	2000
11063	2	3	1	11	1	300
11063	3	1	2	11	2	200
11069	1	2	1	11	1	700
11069	2	1	5	11	5	400
11069	3	3	1	11	1	150
11074	1	4	1	11	0	 
11074	2	3	1	11	1	120
11074	3	1	2	11	2	30
11088	1	 	 	 	 	 
11088	2	 	 	 	 	 
11088	3	 	 	 	 	 
21002	1	 	 	 	 	 
21002	2	 	 	 	 	 
21002	3	 	 	 	 	 
21004	1	 	 	 	 	 
21004	2	 	 	 	 	 
21004	3	 	 	 	 	 
21005	1	 	 	 	 	 
21005	2	 	 	 	 	 
21005	3	 	 	 	 	 
21007	1	15	5	12	5	2000
21007	2	25	1	12	1	500
21007	3	88	 	 	 	 
21008	1	 	 	 	 	 
21008	2	 	 	 	 	 
21008	3	 	 	 	 	 
21009	1	 	 	 	 	 
21009	2	 	 	 	 	 
21009	3	 	 	 	 	 
21011	1	 	 	 	 	 
21011	2	 	 	 	 	 
21011	3	 	 	 	 	 
21012	1	 	 	 	 	 
21012	2	 	 	 	 	 
21012	3	 	 	 	 	 
21013	1	1	4	11	4	90
21013	2	3	1	11	1	120
21013	3	88	 	 	 	 
21015	1	 	 	 	 	 
21015	2	 	 	 	 	 
21015	3	 	 	 	 	 
21017	1	24	1	23	1	5000
21017	2	23	4	23	4	1000
21017	3	25	1	5	1	7000
21018	1	30	1	30	1	900
21018	2	40	1	30	1	500
21018	3	88	 	 	 	 
21020	1	25	1	23	1	2000
21020	2	23	5	23	5	1000
21020	3	88	 	 	 	 
21022	1	 	 	 	 	 
21022	2	 	 	 	 	 
21022	3	 	 	 	 	 
21023	1	1	4	11	4	80
21023	2	3	1	11	1	150
21023	3	23	1	23	1	1000
21024	1	 	 	 	 	 
21024	2	 	 	 	 	 
21024	3	 	 	 	 	 
21025	1	22	4	22	4	130
21025	2	23	2	23	2	500
21025	3	24	1	23	1	2000
