CHILDCODE	MATHTEST	MATHDAY	MATHMTH	MATHYEAR	MTHITM01	MTHITM02	MTHITM03	MTHITM04	MTHITM05	MTHITM06	MTHITM07	MTHITM08	MTHITM09	MTHITM10	MTHITM11	MTHITM12	MTHITM13	MTHITM14	MTHITM15	MTHITM16	MTHITM17	MTHITM18	MTHITM19	MTHITM20	MTHITM21	MTHITM22	MTHITM23	MTHITM24	MTHITM25	MTHITM26	MTHITM27	MTHITM28	MTHITM29	MTHITM30	MTHITM31	MATHEND	READTEST	RDGCMP01	RDGCMP02	RDGCMP03	RDGCMP04	RDGCMP05	RDGCMP06	RDGCMP07	RDGCMP08	RDGCMP09	RDGCMP10	RDGCMP11	RDGCMP12	RDGCMP13	RDGCMP14	RDGCMP15	RDGCMP16	RDGCMP17	RDGCMP18	RDGCMP19	RDGCMP20	RDGCMP21	RDGCMP22	RDGCMP23	RDGCMP24	RDGCMP25	RDGCMP26	READEND	correct01maths	correct02maths	correct03maths	correct04maths	correct05maths	correct06maths	correct08maths	correct09maths	correct10maths	correct11maths	correct12maths	correct13maths	correct14maths	correct15maths	correct16maths	correct17maths	correct18maths	correct19maths	correct20maths	correct21maths	correct22maths	correct23maths	correct24maths	correct26maths	correct27maths	correct29maths	correct07maths	correct25maths	correct28maths	correct30maths	correct31maths	maths_raw	maths_perco	correct01read	correct02read	correct03read	correct04read	correct05read	correct06read	correct07read	correct08read	correct09read	correct10read	correct11read	correct12read	correct13read	correct14read	correct15read	correct16read	correct17read	correct18read	correct19read	correct20read	correct21read	correct22read	correct23read	correct24read	correct25read	correct26read	read_raw	read_perco
10001	1	3	11	2016	60	4	2	32	3	18.0300006866455	3/4	4	30	3	3	1	2	4	1	3	3	1	2	2	4	4	2	1	28	2	4	1200/4800	3	2	40	 	1	4	4	1	2	2	2	3	2	1	2	1	3	3	3	1	2	3	4	4	2	3	3	1	3	4	4	 	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	1	23	74.1935501098633	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	11	42.3076934814453
10002	1	15	11	2016	41.7000007629395	4	2	32	3	18.0300006866455	3/4	4	30	3	1	1	2	4	1	1	2	2	3	2	1	2	2	2	16	2	4	1780	3	6	250	 	1	4	3	1	4	3	1	2	4	3	2	2	3	4	4	4	1	3	4	1	2	3	2	3	4	1	4	 	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	19	61.2903213500977	1	1	1	1	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	18	69.2307662963867
10003	1	2	11	2016	9.60000038146973	5	2	22	3	18.0300006866455	3/4	2	30	2	1	2	2	4	1	3	2	3	2	4	1	3	2	3	3.5	1	4	500	3	2	50	 	1	4	3	1	4	4	2	1	1	3	2	4	1	4	3	2	1	3	1	4	2	3	2	3	1	1	4	 	0	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	12	38.7096786499023	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1	1	18	69.2307662963867
10004	1	11	11	2016	62.5	4	1	-99	3	18.0300006866455	18/24	4	30	2	4	1	2	2	1	3	1	1	3	2	3	2	2	3	12	2	3	120	3	6	250000000	 	1	4	3	1	4	3	2	3	1	4	2	1	1	2	3	2	1	1	4	1	2	3	2	3	4	1	4	 	0	1	0	 	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	18	58.0645179748535	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	20	76.9230804443359
10005	1	18	3	2017	60	5	99	3	-99	188	-99	99	-99	1	1	3	2	1	3	3	2	3	1	2	2	3	4	1	-99	4	4	-99	99	-99	-99	 	1	4	3	1	4	3	2	1	1	3	4	4	1	3	4	2	1	3	1	1	4	3	3	3	4	1	4	 	1	0	 	0	 	0	 	 	0	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	 	 	 	 	 	 	8	25.8064517974854	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	21	80.7692337036133
10006	1	 	 	2017	60	3	3	30	3	18.0300006866455	3/4	4	30	2	2	1	3	1	2	3	2	3	4	2	1	2	3	1	36	3	4	28	2	-99	40	 	1	4	3	2	1	3	2	1	4	1	4	3	2	2	2	3	3	1	3	1	2	3	3	4	2	3	4	 	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	 	1	13	41.9354820251465	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	8	30.769229888916
10007	1	2	11	2016	60	4	2	31	3	18.0300006866455	0.75	4	1.20000004768372	3	3	1	2	4	1	3	1	1	3	3	3	2	2	1	20	2	1	120	4	7	2500000000	 	1	4	3	1	4	3	2	3	1	3	2	1	3	3	2	1	1	4	1	3	2	1	3	3	4	1	4	 	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	20	64.5161285400391	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1	1	1	1	1	18	69.2307662963867
10008	1	14	11	2016	60	3	2	45	3	18.0300006866455	3/4	4	30	1	1	1	2	2	1	2	1	4	2	2	3	1	3	2	24	3	1	120	3	5	2.5	 	1	4	3	1	2	3	2	3	1	3	2	4	4	1	2	2	1	3	4	1	2	3	2	3	 	1	4	 	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	15	48.3870964050293	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	20	76.9230804443359
10009	1	2	11	2016	.200000002980232	3	1	23	3	18.2099990844727	27/16	4	50	2	1	1	2	4	1	3	3	1	2	2	4	4	2	2	7KM15	2	1	3000	3	5	22500000	 	1	4	3	1	4	3	2	3	1	3	3	4	1	4	1	2	1	3	1	3	2	2	3	1	1	1	4	 	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	12	38.7096786499023	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	19	73.0769195556641
10010	1	16	11	2016	60	3	2	32	3	18.0300006866455	3/4	3	30	3	1	1	2	2	1	3	1	1	2	2	3	2	2	1	0.45	2	4	120	3	6	25	 	1	4	3	1	4	3	2	3	1	3	2	1	1	3	4	4	1	4	4	1	2	3	2	2	4	1	4	 	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	23	74.1935501098633	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	21	80.7692337036133
10011	1	19	3	2017	60	5	2	20	3	18.0300006866455	6/5	4	30	2	4	1	2	2	1	3	4	1	2	2	3	2	2	1	28 KM/H	2	4	4900	1	-99	-99	 	1	4	3	4	4	2	2	3	4	3	4	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	 	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	 	 	18	58.0645179748535	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23.0769233703613
10012	1	11	11	2016	60	4	1	32	3	18.0300006866455	3/4	4	30	3	1	1	2	2	1	3	1	1	1	2	3	2	4	1	28	2	4	120	1	8	25	 	1	4	3	1	4	3	2	4	1	3	2	1	1	3	2	2	1	1	4	1	2	3	2	1	4	1	4	 	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	24	77.4193572998047	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	20	76.9230804443359
10013	1	27	12	2016	60	4	2	32	3	18.0300006866455	3/4	4	30	3	1	1	2	2	1	3	1	1	3	2	3	2	2	1	1.75	2	4	120	3	11	40	 	1	4	3	1	1	3	2	4	1	3	2	4	1	4	1	4	1	1	2	1	2	3	1	3	4	4	4	 	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	27	87.0967712402344	1	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	1	16	61.538459777832
