CHILDCODE	FOODIDR5	HHCONSR5	VLRPR5	OWNVR5	GFTVR5	GFSRR5
10001	0	1	110	0	0	 
10001	1	1	80	0	0	 
10001	2	1	0	350	0	 
10001	3	1	300	0	0	 
10001	4	0	 	 	 	 
10001	5	1	100	0	0	 
10001	6	1	150	0	0	 
10001	7	0	 	 	 	 
10001	8	0	 	 	 	 
10001	9	1	30	0	100	1
10001	10	0	 	 	 	 
10001	11	1	150	0	0	 
10001	12	1	15	0	30	1
10001	13	1	0	0	50	1
10001	14	1	100	0	0	 
10001	15	1	80	0	0	 
10001	16	1	25	0	0	 
10001	17	0	 	 	 	 
10001	18	0	 	 	 	 
10001	19	1	50	0	0	 
10001	20	0	 	 	 	 
10001	21	0	 	 	 	 
10001	24	0	 	 	 	 
10002	0	1	50	0	0	 
10002	1	0	 	 	 	 
10002	2	1	0	225	0	 
10002	3	1	75	5	0	 
10002	4	0	 	 	 	 
10002	5	1	100	0	0	 
10002	6	1	250	0	0	 
10002	7	0	 	 	 	 
10002	8	1	150	0	0	 
10002	9	1	120	0	0	 
10002	10	0	 	 	 	 
10002	11	1	40	0	0	 
10002	12	1	50	50	0	 
10002	13	1	100	0	0	 
10002	14	1	50	0	0	 
10002	15	1	40	0	0	 
10002	16	1	25	0	0	 
10002	17	0	 	 	 	 
10002	18	0	 	 	 	 
10002	19	1	150	0	0	 
10002	20	0	 	 	 	 
10002	21	1	200	0	0	 
10002	24	0	 	 	 	 
10003	0	0	 	 	 	 
10003	1	1	88	0	0	 
10003	2	1	0	350	0	 
10003	3	0	 	 	 	 
10003	4	0	 	 	 	 
10003	5	1	10	0	0	 
10003	6	1	150	0	0	 
10003	7	0	 	 	 	 
10003	8	0	 	 	 	 
10003	9	1	100	0	0	 
10003	10	0	 	 	 	 
10003	11	0	 	 	 	 
10003	12	1	50	15	0	 
10003	13	1	50	15	0	 
10003	14	1	30	0	0	 
10003	15	1	25	0	0	 
10003	16	0	 	 	 	 
10003	17	0	 	 	 	 
10003	18	0	 	 	 	 
10003	19	0	 	 	 	 
10003	20	0	 	 	 	 
10003	21	0	 	 	 	 
10003	24	0	 	 	 	 
10004	0	0	 	 	 	 
10004	1	0	 	 	 	 
10004	2	1	0	200	0	 
10004	3	0	 	 	 	 
10004	4	0	 	 	 	 
10004	5	1	30	0	0	 
10004	6	1	300	0	0	 
10004	7	0	 	 	 	 
10004	8	1	70	0	0	 
10004	9	1	150	0	0	 
10004	10	0	 	 	 	 
10004	11	1	50	0	0	 
10004	12	1	70	0	0	 
10004	13	1	0	50	0	 
10004	14	1	20	0	0	 
10004	15	1	50	0	0	 
10004	16	1	25	5	0	 
10004	17	0	 	 	 	 
10004	18	1	100	0	0	 
10004	19	1	50	0	0	 
