CHILDCODE	HHLNIDR5	HHLNSCR5	FMLNR5	DIFFPYR5
10001	1	1	1	1
10002	1	3	1	1
10003	1	1	1	1
10007	1	1	1	1
10007	2	2	1	1
10008	1	6	1	2
10009	1	2	1	3
10010	1	8	2	1
10014	1	1	1	2
10016	1	2	1	1
10019	1	10	77	3
10021	1	10	1	1
10024	1	1	1	1
10024	2	2	1	1
10025	1	1	1	1
10026	1	10	2	1
10030	1	1	1	2
10032	1	1	1	1
10032	2	5	1	1
10034	1	2	1	2
10037	1	7	2	1
10041	1	10	1	2
10043	1	8	2	3
10046	1	6	1	2
10047	1	2	1	3
10049	1	10	2	3
10050	1	10	1	2
10052	1	6	1	1
10060	1	1	1	1
10061	1	1	1	1
10062	1	2	1	2
10063	1	1	1	1
10064	1	2	1	3
10065	1	1	1	3
10065	2	10	2	3
10070	1	1	1	1
10072	1	10	1	3
10072	2	10	1	3
10076	1	2	1	1
10078	1	2	1	2
10079	1	2	1	2
10080	1	1	1	1
10080	2	2	1	2
10082	1	3	1	1
10084	1	8	2	1
10086	1	8	2	1
10088	1	10	2	2
10089	1	8	2	1
10093	1	2	1	1
10095	1	7	2	1
10097	1	2	1	1
10097	2	6	1	1
10100	1	10	1	2
10104	1	1	1	1
10109	1	1	1	2
10118	1	2	1	3
10122	1	1	1	1
10140	1	10	1	3
20001	1	1	1	1
20003	1	1	1	1
20004	1	2	1	2
20005	1	2	1	3
20007	1	1	1	1
20009	1	1	1	2
20011	1	1	1	1
20017	1	1	1	1
20018	1	2	1	2
20019	1	1	1	2
20020	1	1	1	1
20021	1	2	1	2
20023	1	8	2	1
20026	1	1	1	2
20028	1	2	1	2
20036	1	1	1	2
20038	1	8	2	1
20039	1	1	1	1
20039	2	8	2	1
20043	1	8	2	1
20044	1	1	1	2
20046	1	1	1	1
20053	1	8	2	1
20054	1	8	2	1
20056	1	1	1	1
20057	1	1	1	2
20060	1	8	2	2
20065	1	8	2	3
20067	1	4	1	2
20069	1	8	2	1
20073	1	1	1	3
20080	1	1	1	2
20081	1	1	1	1
20088	1	1	1	2
20098	1	8	2	1
20105	1	1	1	1
20108	1	8	2	1
20110	1	2	1	1
20112	1	8	2	2
20114	1	1	1	1
20117	1	2	1	1
20119	1	8	2	2
20122	1	1	1	1
20125	1	8	2	1
20129	1	2	1	2
20131	1	8	2	2
30002	1	1	1	2
30003	1	2	1	1
30003	2	1	1	1
30005	1	1	1	1
30007	1	1	1	2
30010	1	2	1	2
30012	1	1	1	1
30012	2	2	1	2
30013	1	1	1	1
30015	1	1	1	2
30016	1	1	1	1
30016	2	2	1	1
30018	1	1	1	1
