CHILDCODE	LVSKIDR5	AYANR5	NMAMR5
10001	1	 	 
10001	2	 	 
10001	3	 	 
10001	4	 	 
10001	7	 	 
10001	8	 	 
10001	9	 	 
10001	13	 	 
10001	14	 	 
10001	15	 	 
10001	16	 	 
10001	17	 	 
10001	58	 	 
10002	1	 	 
10002	2	 	 
10002	3	 	 
10002	4	 	 
10002	7	 	 
10002	8	 	 
10002	9	 	 
10002	13	 	 
10002	14	 	 
10002	15	 	 
10002	16	 	 
10002	17	 	 
10002	58	 	 
10003	1	 	 
10003	2	 	 
10003	3	 	 
10003	4	 	 
10003	7	 	 
10003	8	 	 
10003	9	 	 
10003	13	 	 
10003	14	 	 
10003	15	 	 
10003	16	 	 
10003	17	 	 
10003	58	 	 
10004	1	0	 
10004	2	0	 
10004	3	0	 
10004	4	0	 
10004	7	1	1
10004	8	0	 
10004	9	0	 
10004	13	0	 
10004	14	0	 
10004	15	0	 
10004	16	0	 
10004	17	0	 
10004	58	0	 
10005	1	 	 
10005	2	 	 
10005	3	 	 
10005	4	 	 
10005	7	 	 
10005	8	 	 
10005	9	 	 
10005	13	 	 
10005	14	 	 
10005	15	 	 
10005	16	 	 
10005	17	 	 
10005	58	 	 
10006	1	 	 
10006	2	 	 
10006	3	 	 
10006	4	 	 
10006	7	 	 
10006	8	 	 
10006	9	 	 
10006	13	 	 
10006	14	 	 
10006	15	 	 
10006	16	 	 
10006	17	 	 
10006	58	 	 
10007	1	 	 
10007	2	 	 
10007	3	 	 
10007	4	 	 
10007	7	 	 
10007	8	 	 
10007	9	 	 
10007	13	 	 
10007	14	 	 
10007	15	 	 
10007	16	 	 
10007	17	 	 
10007	58	 	 
10008	1	0	 
10008	2	0	 
10008	3	0	 
10008	4	0	 
10008	7	0	 
10008	8	0	 
10008	9	0	 
10008	13	0	 
10008	14	0	 
10008	15	0	 
10008	16	1	3
10008	17	0	 
10008	58	0	 
10009	1	 	 
10009	2	 	 
10009	3	 	 
10009	4	 	 
10009	7	 	 
10009	8	 	 
10009	9	 	 
10009	13	 	 
10009	14	 	 
10009	15	 	 
10009	16	 	 
10009	17	 	 
10009	58	 	 
10010	1	0	 
10010	2	0	 
10010	3	0	 
10010	4	0	 
10010	7	0	 
10010	8	0	 
10010	9	0	 
10010	13	0	 
10010	14	0	 
10010	15	0	 
10010	16	0	 
10010	17	0	 
10010	58	1	2
10011	1	 	 
10011	2	 	 
10011	3	 	 
10011	4	 	 
10011	7	 	 
10011	8	 	 
10011	9	 	 
10011	13	 	 
10011	14	 	 
10011	15	 	 
10011	16	 	 
10011	17	 	 
10011	58	 	 
10012	1	 	 
10012	2	 	 
10012	3	 	 
10012	4	 	 
10012	7	 	 
10012	8	 	 
10012	9	 	 
10012	13	 	 
10012	14	 	 
10012	15	 	 
10012	16	 	 
10012	17	 	 
10012	58	 	 
10013	1	 	 
10013	2	 	 
10013	3	 	 
10013	4	 	 
10013	7	 	 
10013	8	 	 
10013	9	 	 
10013	13	 	 
10013	14	 	 
10013	15	 	 
10013	16	 	 
10013	17	 	 
10013	58	 	 
10014	1	 	 
10014	2	 	 
10014	3	 	 
10014	4	 	 
10014	7	 	 
10014	8	 	 
10014	9	 	 
10014	13	 	 
10014	14	 	 
10014	15	 	 
10014	16	 	 
10014	17	 	 
10014	58	 	 
10015	1	0	 
10015	2	0	 
10015	3	0	 
10015	4	0	 
10015	7	0	 
10015	8	0	 
10015	9	0	 
10015	13	0	 
10015	14	0	 
10015	15	0	 
10015	16	1	10
10015	17	0	 
10015	58	1	2
10016	1	 	 
10016	2	 	 
10016	3	 	 
10016	4	 	 
10016	7	 	 
10016	8	 	 
10016	9	 	 
10016	13	 	 
10016	14	 	 
10016	15	 	 
10016	16	 	 
10016	17	 	 
10016	58	 	 
10017	1	0	 
10017	2	0	 
10017	3	1	3
10017	4	0	 
10017	7	0	 
10017	8	0	 
10017	9	0	 
10017	13	0	 
10017	14	0	 
10017	15	0	 
10017	16	1	20
10017	17	0	 
10017	58	0	 
10018	1	0	 
10018	2	0	 
10018	3	0	 
10018	4	0	 
10018	7	1	1
10018	8	0	 
10018	9	0	 
10018	13	0	 
10018	14	0	 
10018	15	0	 
10018	16	0	 
10018	17	0	 
10018	58	0	 
10019	1	0	 
10019	2	0	 
10019	3	0	 
10019	4	0	 
10019	7	1	2
10019	8	0	 
10019	9	0	 
10019	13	0	 
10019	14	0	 
10019	15	0	 
10019	16	1	20
10019	17	0	 
10019	58	0	 
10020	1	 	 
10020	2	 	 
10020	3	 	 
10020	4	 	 
10020	7	 	 
10020	8	 	 
10020	9	 	 
10020	13	 	 
10020	14	 	 
10020	15	 	 
10020	16	 	 
10020	17	 	 
10020	58	 	 
10021	1	 	 
10021	2	 	 
10021	3	 	 
10021	4	 	 
10021	7	 	 
10021	8	 	 
10021	9	 	 
10021	13	 	 
10021	14	 	 
10021	15	 	 
10021	16	 	 
10021	17	 	 
10021	58	 	 
10022	1	 	 
10022	2	 	 
10022	3	 	 
10022	4	 	 
10022	7	 	 
10022	8	 	 
10022	9	 	 
10022	13	 	 
10022	14	 	 
10022	15	 	 
10022	16	 	 
10022	17	 	 
10022	58	 	 
10024	1	 	 
10024	2	 	 
10024	3	 	 
10024	4	 	 
10024	7	 	 
10024	8	 	 
10024	9	 	 
10024	13	 	 
10024	14	 	 
10024	15	 	 
10024	16	 	 
10024	17	 	 
10024	58	 	 
10025	1	0	 
10025	2	0	 
10025	3	1	1
10025	4	0	 
10025	7	0	 
10025	8	0	 
10025	9	0	 
10025	13	0	 
10025	14	0	 
10025	15	0	 
10025	16	0	 
10025	17	0	 
10025	58	0	 
10026	1	0	 
10026	2	0	 
10026	3	0	 
10026	4	0	 
10026	7	0	 
10026	8	0	 
10026	9	0	 
10026	13	0	 
10026	14	0	 
10026	15	0	 
10026	16	1	2
10026	17	0	 
10026	58	0	 
10027	1	0	 
10027	2	0	 
10027	3	0	 
10027	4	0	 
10027	7	0	 
10027	8	0	 
10027	9	0	 
10027	13	0	 
10027	14	0	 
10027	15	0	 
10027	16	1	50
10027	17	0	 
10027	58	0	 
10029	1	 	 
10029	2	 	 
10029	3	 	 
10029	4	 	 
10029	7	 	 
10029	8	 	 
10029	9	 	 
10029	13	 	 
10029	14	 	 
10029	15	 	 
10029	16	 	 
10029	17	 	 
10029	58	 	 
10030	1	0	 
10030	2	0	 
10030	3	1	3
10030	4	0	 
10030	7	0	 
10030	8	0	 
10030	9	0	 
10030	13	0	 
10030	14	0	 
10030	15	0	 
10030	16	0	 
10030	17	0	 
10030	58	0	 
10031	1	 	 
10031	2	 	 
10031	3	 	 
10031	4	 	 
10031	7	 	 
10031	8	 	 
10031	9	 	 
10031	13	 	 
10031	14	 	 
10031	15	 	 
10031	16	 	 
10031	17	 	 
10031	58	 	 
10032	1	 	 
10032	2	 	 
10032	3	 	 
10032	4	 	 
10032	7	 	 
10032	8	 	 
10032	9	 	 
10032	13	 	 
10032	14	 	 
10032	15	 	 
10032	16	 	 
10032	17	 	 
10032	58	 	 
10033	1	 	 
10033	2	 	 
10033	3	 	 
10033	4	 	 
10033	7	 	 
10033	8	 	 
10033	9	 	 
10033	13	 	 
10033	14	 	 
10033	15	 	 
10033	16	 	 
10033	17	 	 
10033	58	 	 
10034	1	 	 
10034	2	 	 
10034	3	 	 
10034	4	 	 
10034	7	 	 
10034	8	 	 
10034	9	 	 
10034	13	 	 
10034	14	 	 
10034	15	 	 
10034	16	 	 
10034	17	 	 
10034	58	 	 
10035	1	 	 
10035	2	 	 
10035	3	 	 
10035	4	 	 
10035	7	 	 
10035	8	 	 
10035	9	 	 
10035	13	 	 
10035	14	 	 
10035	15	 	 
10035	16	 	 
10035	17	 	 
10035	58	 	 
10036	1	0	 
10036	2	0	 
10036	3	1	1
10036	4	0	 
10036	7	0	 
10036	8	0	 
10036	9	0	 
10036	13	0	 
10036	14	0	 
10036	15	0	 
10036	16	0	 
10036	17	0	 
10036	58	0	 
10037	1	0	 
10037	2	0	 
10037	3	1	2
10037	4	0	 
10037	7	0	 
10037	8	0	 
10037	9	0	 
10037	13	0	 
10037	14	0	 
10037	15	0	 
10037	16	0	 
10037	17	0	 
10037	58	0	 
10038	1	 	 
10038	2	 	 
10038	3	 	 
10038	4	 	 
10038	7	 	 
10038	8	 	 
10038	9	 	 
10038	13	 	 
10038	14	 	 
10038	15	 	 
10038	16	 	 
10038	17	 	 
10038	58	 	 
10039	1	0	 
10039	2	0	 
10039	3	0	 
10039	4	0	 
10039	7	0	 
10039	8	0	 
10039	9	0	 
10039	13	0	 
10039	14	0	 
10039	15	0	 
10039	16	0	 
10039	17	0	 
10039	58	1	7
10040	1	0	 
10040	2	0	 
10040	3	1	1
10040	4	0	 
10040	7	0	 
10040	8	0	 
10040	9	0	 
10040	13	0	 
10040	14	0	 
10040	15	0	 
10040	16	0	 
10040	17	0	 
10040	58	0	 
10041	1	0	 
10041	2	0	 
10041	3	0	 
10041	4	0	 
10041	7	0	 
10041	8	0	 
10041	9	0	 
10041	13	0	 
10041	14	0	 
10041	15	0	 
10041	16	0	 
10041	17	0	 
10041	58	1	7
10042	1	 	 
10042	2	 	 
10042	3	 	 
10042	4	 	 
10042	7	 	 
10042	8	 	 
10042	9	 	 
10042	13	 	 
10042	14	 	 
10042	15	 	 
10042	16	 	 
10042	17	 	 
10042	58	 	 
10043	1	 	 
10043	2	 	 
10043	3	 	 
10043	4	 	 
10043	7	 	 
10043	8	 	 
10043	9	 	 
10043	13	 	 
10043	14	 	 
10043	15	 	 
10043	16	 	 
10043	17	 	 
10043	58	 	 
10044	1	 	 
10044	2	 	 
10044	3	 	 
10044	4	 	 
10044	7	 	 
10044	8	 	 
10044	9	 	 
10044	13	 	 
10044	14	 	 
10044	15	 	 
10044	16	 	 
10044	17	 	 
10044	58	 	 
10045	1	0	 
10045	2	0	 
10045	3	0	 
10045	4	0	 
10045	7	0	 
10045	8	0	 
10045	9	0	 
10045	13	0	 
10045	14	0	 
10045	15	0	 
10045	16	1	30
10045	17	0	 
10045	58	0	 
10046	1	 	 
10046	2	 	 
10046	3	 	 
