CHILDCODE	SIBFNDR5	DINT	SIBWGHBR	SIBWGDOC	ENRSIBR5	SIBCARR5	SIBDOMR5	SIBFRMR5	SIBOUTR5	SIBPARR5	SIB20R5	FEAS01R5	FEAS02R5	FEAS03R5	FEAS04R5	FEAS05R5	FEAS06R5	FEAS07R5	FEAS08R5	FEAS09R5	FEAS10R5	FEAS11R5	FEAS12R5	FEAS13R5	FEAS14R5	FEAS15R5	FEAS16R5	FEAS17R5	FEAS18R5	FEAS19R5	FEAS20R5	FEAS21R5	FEAS22R5	FEAS23R5	FEAS24R5	SASHCLR5	SASHWKR5	SPLDECR5	SNOCHCR5	SCLTRGR5	STRYHDR5	SFTRWRR5	SEMBBKR5	SASHSHR5	SBRJOBR5	SWRUNIR5
10001	1	02/11/2016 11:11:09	 	 	1	0	1	0	0	1	0	2	4	1	2	3	3	77	3	3	77	3	2	77	77	2	2	2	3	2	2	2	3	3	2	3	1	2	1	4	4	5	3	3	5	4
10002	1	15/11/2016 11:17:25	 	 	1	0	1	0	0	1	0	3	4	2	3	2	4	2	2	3	2	3	2	3	3	3	2	3	3	3	3	3	3	3	2	3	3	4	4	2	4	77	4	4	4	4
10003	1	03/11/2016 03:26:45	 	 	1	0	0	0	0	1	0	3	4	2	3	2	4	2	3	3	3	4	2	2	3	3	2	3	3	3	3	2	3	4	4	4	 	3	 	3	4	3	4	3	4	3
10006	1	12/03/2017 11:08:36	 	 	0	0	1	1	1	1	1	3	 	3	3	3	 	2	 	3	3	 	3	3	3	 	3	 	3	3	 	3	3	 	3	4	3	3	3	2	5	4	3	 	5	 
10007	1	02/11/2016 10:18:43	 	 	1	0	0	0	0	1	0	3	4	3	3	2	4	3	4	4	3	4	3	3	3	3	2	3	3	3	3	2	3	3	3	3	 	3	 	2	4	4	3	3	4	3
10008	1	14/11/2016 14:01:32	 	 	0	0	0	0	1	1	1	3	 	3	3	3	 	3	 	3	3	 	4	4	4	 	4	 	4	4	 	4	4	 	4	3	4	3	5	4	4	4	3	 	4	 
10009	1	02/11/2016 16:14:07	 	 	1	0	1	0	1	1	0	3	4	2	3	2	4	2	3	3	3	4	3	3	3	3	3	3	3	3	2	3	3	4	3	3	3	4	1	3	4	4	4	3	5	4
10010	0	16/11/2016 12:06:31	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	0	20/03/2017 16:42:30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10012	0	11/11/2016 10:52:33	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	0	27/12/2016 19:40:18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10014	1	11/11/2016 14:05:40	 	 	1	1	1	0	0	1	0	3	3	2	3	2	3	2	3	3	3	4	2	3	3	3	3	4	2	3	3	3	3	3	2	2	4	4	4	2	2	4	2	4	4	4
10016	1	25/11/2016 13:45:56	 	 	1	0	0	0	0	1	0	2	3	2	3	2	3	2	79	3	2	3	2	3	3	3	2	3	3	3	3	2	3	79	3	3	 	2	 	2	4	4	4	4	4	4
10017	1	03/11/2016 09:59:56	 	 	1	0	1	0	0	1	0	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	3	3	2	3	2	3	3	3	3	2	2	3	2	4	3	3	3	4	4
10018	0	03/11/2016 14:36:20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10019	1	03/11/2016 15:03:31	 	 	1	0	1	0	0	1	0	3	3	2	3	3	3	2	3	3	2	3	3	2	2	3	2	3	2	3	3	3	3	2	2	4	3	4	2	4	4	4	2	4	4	4
10021	0	26/12/2016 13:42:17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10022	1	13/11/2016 11:30:28	 	 	1	0	1	0	0	1	0	4	3	2	3	2	3	2	4	3	3	3	3	3	3	3	2	3	2	3	3	2	3	3	3	4	4	2	2	3	4	4	4	3	4	4
10024	0	10/11/2016 16:54:56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
